"rownum","ModsKey","AtlasModTiers"
0,10353,2
1,10354,2
2,10355,3
3,10356,2
4,10357,3
5,10358,2
6,10359,3
7,10360,2
8,10361,3
9,10362,2
10,10363,2
11,10364,3
12,10365,2
13,10366,3
14,10367,2
15,10368,3
16,10369,2
17,10370,3
18,10371,2
19,10372,3
20,10373,2
21,10374,3
22,10375,2
23,10376,2
24,10377,2
25,10378,2
26,10379,3
27,10380,2
28,10381,3
29,10382,2
30,10383,3
31,10384,2
32,10385,3
33,10386,2
34,10387,3
35,10388,2
36,10389,3
37,10390,2
38,10391,3
39,10392,2
40,10393,2
41,10394,3
42,10395,2
43,10396,3
44,10397,2
45,10398,3
46,10399,2
47,10400,3
48,10401,2
49,10402,3
50,10403,2
51,10404,3
52,10405,2
53,10406,3
54,10407,2
55,10408,3
56,10409,2
57,10410,3
58,10411,2
59,10412,3
60,10413,2
61,10414,3
62,10415,2
63,10416,3
64,10417,2
65,10418,3
66,10419,2
67,10420,3
68,10421,2
69,10422,3
70,10423,2
71,10424,3
72,10425,2
73,10426,3
74,10427,2
75,10428,3
76,10429,2
77,10430,3
78,10431,2
79,10432,3
80,10433,2
81,10434,3
82,10435,2
83,10436,3
84,10437,2
85,10438,3
86,10439,2
87,10440,3
88,10441,2
89,10442,3
90,10443,2
91,10444,3
92,10445,2
93,10446,3
94,10447,2
95,10448,3
96,10449,2
97,10450,3
98,10451,2
99,10452,3
100,10453,2
101,10454,2
102,10455,2
103,10456,3
104,10457,3
105,10458,3
106,10459,2
107,10460,3
108,10461,2
109,10462,3
110,12003,2
111,12004,3
112,12014,2
113,12015,3
114,12018,2
115,12019,3
116,12020,2
117,12021,3
118,12022,2
119,12023,2
120,12024,2
121,12025,3
122,12026,2
123,12027,3
124,12028,2
125,12029,2
126,12030,3
127,12033,2
128,12034,3
129,12120,2
130,12121,3
131,12265,2
132,12266,3
133,12155,2
134,12156,3
135,12194,2
136,12195,3
137,12391,2
138,12392,3
139,12387,2
140,12388,3
141,13315,2
142,13316,3
