"rownum","Key","SpawnWeight_TagsKeys","SpawnWeight_Values","ModsKey","MinLevel","MaxLevel","IsPrefix"
0,"ProxyKey1",[0],[45],9037,2,39,1
1,"ProxyKey2",[0],[45],9036,40,100,1
2,"ProxyKey3",[0],[45],9038,40,100,1
3,"ProxyKey4","[158,0]","[0,94]",9039,2,100,1
4,"ProxyKey5","[162,0]","[0,0]",9040,40,100,1
5,"ProxyKey6","[152,0]","[0,45]",9041,56,100,1
6,"ProxyKey7","[57,0]","[45,0]",9042,68,100,1
7,"ProxyKey8","[57,0]","[1,0]",9043,68,100,1
8,"ProxyKey9",[0],[94],9045,2,39,1
9,"ProxyKey10",[0],[94],9044,40,100,1
10,"ProxyKey11","[158,0]","[0,94]",9047,2,39,1
11,"ProxyKey12","[158,0]","[0,94]",9046,40,100,1
12,"ProxyKey13",[0],[94],9049,2,39,1
13,"ProxyKey14",[0],[94],9048,40,100,1
14,"ProxyKey15",[0],[94],9051,2,39,1
15,"ProxyKey16",[0],[94],9050,40,100,1
16,"ProxyKey17",[0],[45],9052,2,100,1
17,"ProxyKey18",[0],[94],9054,2,39,1
18,"ProxyKey19",[0],[94],9053,40,100,1
19,"ProxyKey20",[0],[94],9055,40,100,1
20,"ProxyKey21",[0],[45],9056,56,100,1
21,"ProxyKey22",[0],[94],9057,40,100,1
22,"ProxyKey23","[57,0]","[9,0]",9058,68,100,1
23,"ProxyKey24",[0],[94],9059,40,100,1
24,"ProxyKey25",[0],[45],9060,56,100,1
25,"ProxyKey26",[0],[45],9061,40,100,1
26,"ProxyKey27",[0],[45],9062,40,100,1
27,"ProxyKey28",[0],[9],9064,23,39,1
28,"ProxyKey29",[0],[9],9063,40,100,1
29,"ProxyKey30","[61,0]","[9,0]",9065,40,100,1
30,"ProxyKey31",[0],[45],9066,40,100,1
31,"ProxyKey32",[0],[45],9067,40,100,1
32,"ProxyKey33",[0],[94],9068,2,100,1
33,"ProxyKey34",[0],[94],9069,40,100,1
34,"ProxyKey35",[0],[94],9070,2,100,1
35,"ProxyKey36",[0],[94],9071,40,100,1
36,"ProxyKey37",[0],[94],9072,2,100,1
37,"ProxyKey38",[0],[94],9073,40,100,1
38,"ProxyKey39",[0],[0],9074,2,100,1
39,"ProxyKey40",[0],[0],9075,40,100,1
40,"ProxyKey41",[0],[94],9076,2,100,1
41,"ProxyKey42",[0],[94],9077,40,100,1
42,"ProxyKey43",[0],[94],9078,40,100,1
43,"ProxyKey44","[57,0]","[4,0]",9079,68,100,1
44,"ProxyKey45",[0],[45],9080,2,100,1
45,"ProxyKey46",[0],[9],9082,2,39,1
46,"ProxyKey47",[0],[9],9081,40,100,1
47,"ProxyKey48",[0],[94],9083,2,100,1
48,"ProxyKey49",[0],[45],9084,2,100,1
49,"ProxyKey50",[0],[94],9085,2,100,1
50,"ProxyKey51",[0],[94],9086,2,100,1
51,"ProxyKey52",[0],[45],9087,2,100,1
52,"ProxyKey53",[0],[5000],8418,40,100,""
53,"ProxyKey54","[164,0]","[0,2500]",9090,40,100,""
54,"ProxyKey55",[0],[5000],9091,40,100,""
55,"ProxyKey56",[0],[5000],9092,40,100,""
56,"ProxyKey57",[0],[5000],9093,40,100,""
57,"ProxyKey58",[0],[5000],9094,40,100,""
58,"ProxyKey59",[0],[2500],9099,56,100,""
59,"ProxyKey60",[0],[500],9100,56,100,""
60,"ProxyKey61","[57,0]","[500,0]",9101,68,100,""
61,"ProxyKey62","[164,57,0]","[0,250,0]",9102,68,100,""
62,"ProxyKey63","[164,57,0]","[0,250,0]",9103,68,100,""
63,"ProxyKey64",[0],[2500],9104,40,100,""
64,"ProxyKey65",[0],[5000],9105,40,100,""
65,"ProxyKey66",[0],[5000],9106,40,100,""
66,"ProxyKey67",[0],[5000],9107,40,100,""
67,"ProxyKey68",[0],[2500],9108,56,100,""
68,"ProxyKey69","[164,57,0]","[0,500,0]",9109,40,100,""
69,"ProxyKey70","[164,57,0]","[0,500,0]",9110,68,100,""
70,"ProxyKey71","[164,57,0]","[0,500,0]",9111,68,100,""
71,"ProxyKey72","[57,0]","[3,0]",9112,68,100,""
72,"ProxyKey73","[57,0]","[5000,0]",9095,68,100,""
73,"ProxyKey74","[57,0]","[5000,0]",9096,68,100,""
74,"ProxyKey75","[57,0]","[5000,0]",9097,68,100,""
75,"ProxyKey76","[57,0]","[5000,0]",9098,68,100,""
76,"ProxyKey77","[164,57,0]","[0,250,0]",9113,68,100,""
