"rownum","BaseItemType","Name","Type","LifePerUse","ManaPerUse","RecoveryTime","RecoveryTime2","BuffDefinition","i32_60","UtilityBuff"
0,2603,"Lesser Life Flask",1,50,0,30,30,"",0,[]
1,2604,"Medium Life Flask",1,90,0,50,50,"",0,[]
2,2605,"Greater Life Flask",1,150,0,40,40,"",0,[]
3,2606,"Grand Life Flask",1,260,0,50,50,"",0,[]
4,2607,"Giant Life Flask",1,340,0,40,40,"",0,[]
5,2608,"Colossal Life Flask",1,450,0,40,40,"",0,[]
6,2609,"Gargantuan Life Flask",1,710,0,50,50,"",0,[]
7,2610,"Transcendent Life Flask",1,840,0,40,40,"",0,[]
8,2611,"Ultimate Life Flask",1,920,0,30,30,"",0,[]
9,2612,"Lesser Mana Flask",2,0,50,20,20,"",0,[]
10,2613,"Medium Mana Flask",2,0,70,30,30,"",0,[]
11,2614,"Greater Mana Flask",2,0,90,25,25,"",0,[]
12,2615,"Grand Mana Flask",2,0,110,25,25,"",0,[]
13,2616,"Giant Mana Flask",2,0,165,35,35,"",0,[]
14,2617,"Colossal Mana Flask",2,0,165,25,25,"",0,[]
15,2618,"Gargantuan Mana Flask",2,0,185,20,20,"",0,[]
16,2619,"Transcendent Mana Flask",2,0,285,35,35,"",0,[]
17,2620,"Ultimate Mana Flask",2,0,310,30,30,"",0,[]
18,2621,"Thawing Charm",3,0,0,30,30,"",0,[1]
19,2622,"Staunching Charm",3,0,0,30,30,"",0,[0]
20,2623,"Antidote Charm",3,0,0,30,30,"",0,[4]
21,2624,"Dousing Charm",3,0,0,30,30,"",0,[2]
22,2625,"Grounding Charm",3,0,0,30,30,"",0,[3]
23,2626,"Stone Charm",3,0,0,30,30,"",0,[5]
24,2627,"Silver Charm",3,0,0,30,30,"",0,[6]
25,2628,"Ruby Charm",3,0,0,40,40,"",0,[7]
26,2629,"Sapphire Charm",3,0,0,40,40,"",0,[8]
27,2630,"Topaz Charm",3,0,0,40,40,"",0,[9]
28,2631,"Amethyst Charm",3,0,0,40,40,"",0,[10]
29,2632,"Golden Charm",3,0,0,10,10,"",0,[11]
30,2633,"Cleansing Charm",3,0,0,30,30,"",0,[12]
