"rownum","Id","i32_8","bool_12","bool_13"
0,"ShaperInfluenceOutcome1",62584,1,""
1,"ShaperInfluenceOutcome2",57353,1,""
2,"ShaperInfluenceOutcome3",48007,1,""
3,"ShaperInfluenceOutcome4",25190,1,""
4,"AfflictionPlugin",2161,"",""
5,"UltimatumPlugin",31963,"",""
6,"ExpeditionPlugin",2154,"",""
7,"SanctumPlugin",8373,"",""
8,"CaravanTravel",59728,"",1
9,"ZigguratTown",57974,"",1
10,"TreasureVaultPlugin",64173,1,""
11,"DominusEstatePlugin",24485,"",""
12,"PairedRoomLayoutPlugin",62942,"",""
13,"AzmeriPlugin",17645,"",""
14,"ShipPlugin",11470,"",""
15,"PortTown",42361,"",1
16,"IncursionTemplePlugin",26226,"",""
