"rownum","Id","Reward","Reward (French)","Reward (German)","Reward (Japanese)","Reward (Korean)","Reward (Portuguese)","Reward (Russian)","Reward (Spanish)","Reward (Thai)","Reward (Traditional Chinese)","Icon","Downside","Item"
0,"MerchantHeal","Restore {0} Honour","Restaure {0} d'Honneur","Stellt {0} Ehre wieder her","[Honour|名誉]を{0}回復する","명예 {0} 회복","Restaura {0} Honra","Восстанавливает {0} чести","Restauras {0} de honor","รับเกียรติ {0}","恢復 {0} 榮譽","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/MerchantHealingFlask","",""
1,"GainRandomMinorBoonGainRandomMinorAffliction","","","","","","","","","","","Art/2DArt/UIImages/InGame/Sanctum/DevilsDealIcons/GainRandomMinorBoonGainRandomMinorAffliction","",""
2,"GainSpecMajorBoonGainThreeRandomAfflictions","","","","","","","","","","","Art/2DArt/UIImages/InGame/Sanctum/DevilsDealIcons/GainSpecMajorBoonGainThreeRandomAfflictions","",""
3,"GainSpecMajorBoonLoseRandomMinorBoon","","","","","","","","","","","Art/2DArt/UIImages/InGame/Sanctum/DevilsDealIcons/GainSpecMajorBoonLoseRandomMinorBoon","",""
4,"GainSpecMinorBoonGainRandomMinorAffliction","","","","","","","","","","","Art/2DArt/UIImages/InGame/Sanctum/DevilsDealIcons/GainSpecMinorBoonGainRandomMinorAffliction","",""
5,"GainSpecMinorBoonGainSpecMinorAffliction","","","","","","","","","","","Art/2DArt/UIImages/InGame/Sanctum/DevilsDealIcons/GainSpecMinorBoonGainSpecMinorAffliction","",""
6,"GainThreeRandomMinorBoonsGainSpecMajorAffliction","","","","","","","","","","","Art/2DArt/UIImages/InGame/Sanctum/DevilsDealIcons/GainThreeRandomMinorBoonsGainSpecMajorAffliction","",""
7,"LoseRandomMinorAfflictionLoseRandomMinorBoon","","","","","","","","","","","Art/2DArt/UIImages/InGame/Sanctum/DevilsDealIcons/LoseRandomMinorAfflictionLoseRandomMinorBoon","",""
8,"LoseSpecMinorAfflictionGainRandomMinorAffliction","","","","","","","","","","","Art/2DArt/UIImages/InGame/Sanctum/DevilsDealIcons/LoseSpecMinorAfflictionGainRandomMinorAffliction","",""
9,"LoseSpecMinorAfflictionLoseSpecificMinorBoon","","","","","","","","","","","Art/2DArt/UIImages/InGame/Sanctum/DevilsDealIcons/LoseSpecMinorAfflictionLoseSpecificMinorBoon","",""
10,"TakeDamageMinorBoonSpecific","","","","","","","","","","","Art/2DArt/UIImages/InGame/Sanctum/DevilsDealIcons/GainSpecMajorBoonTakeSmallDamage","",""
11,"TakeDamageMajorBoonSpecific","","","","","","","","","","","Art/2DArt/UIImages/InGame/Sanctum/DevilsDealIcons/GainSpecMajorBoonTakeLargeDamage","",""
12,"TakeDamageMinorBoonRandom","","","","","","","","","","","Art/2DArt/UIImages/InGame/Sanctum/DevilsDealIcons/GainRandomMajorBoonTakeSmallDamage","",""
13,"TakeDamageMajorBoonRandom","","","","","","","","","","","Art/2DArt/UIImages/InGame/Sanctum/DevilsDealIcons/GainRandomMajorBoonTakeLargeDamage","",""
14,"GainWaterLoseMinorBoon","","","","","","","","","","","Art/2DArt/UIImages/InGame/Sanctum/DevilsDealIcons/GainSpecMajorBoonLoseRandomMinorBoon","",""
15,"PurchaseRelic1x2","Urn Relic","Relique urne","Urnen-Relikt","壷のレリック","단지 유물","Relíquia: Urna","Урна","Reliquia de urna","ไหตกทอด","古甕聖物","","",1859
16,"PurchaseRelic1x3","Amphora Relic","Relique amphore","Amphoren-Relikt","アンフォラのレリック","손잡이 항아리 유물","Relíquia: Ânfora","Амфора","Reliquia de ánfora","โถตกทอด","陶罐聖物","","",1860
17,"PurchaseRelic1x4","Vase Relic","Relique vase","Vasen-Relikt","瓶のレリック","화병 유물","Relíquia: Vaso","Ваза","Reliquia de vasija","แจกันตกทอด","器皿聖物","","",1861
18,"PurchaseRelic2x1","Seal Relic","Relique sceau","Siegel-Relikt","紋章のレリック","인장 유물","Relíquia: Selo","Печать","Reliquia de sello","ตราตกทอด","草紙聖物","","",1862
19,"PurchaseRelic2x2","Coffer Relic","Relique coffre","Truhen-Relikt","金庫のレリック","궤짝 유물","Relíquia: Arca","Ларец","Reliquia de cofre","กำปั่นตกทอด","寶箱聖物","","",1863
20,"PurchaseRelic3x1","Tapestry Relic","Relique tapisserie","Tapisserie-Relikt","タペストリーのレリック","융단 유물","Relíquia: Tapeçaria","Гобелен","Reliquia de tapiz","พรมตกทอด","聖經聖物","","",1864
21,"PurchaseRelic4x1","Incense Relic","Relique encens","Weihrauch-Relikt","香のレリック","향 유물","Relíquia: Incensário","Курительница","Reliquia de incienso","ธูปตกทอด","香爐聖物","","",1865
