"rownum","Id","Description","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","Action","DescriptionRuthless","DescriptionRuthless (French)","DescriptionRuthless (German)","DescriptionRuthless (Japanese)","DescriptionRuthless (Korean)","DescriptionRuthless (Portuguese)","DescriptionRuthless (Russian)","DescriptionRuthless (Spanish)","DescriptionRuthless (Thai)","DescriptionRuthless (Traditional Chinese)","ActionRuthless","AchievementItems"
0,"LabDefenceAisling1","Add a Veiled Mod to a Rare item","Ajoute un Mod crypté à un Objet rare","Fügt einem seltenen Gegenstand einen verhüllten Modifikator hinzu","レアアイテムにヴェールモッドを1個追加する","희귀 아이템에 장막 속성 추가","Adiciona um modificador oculto a um item raro","Добавить завуалированное свойство на редкий предмет","Agrega un mod. encriptado a un objeto raro","เพิ่ม ม็อดผนึก 1 อย่าง ให้กับ ไอเทมแรร์","新增 1 個隱匿詞綴至稀有物品上","\r\n\r\n\r\n\r\nadd_veiled_mods 0</div></div>","","","","","","","","","","","",[]
1,"LabDefenceAisling2","Add a Veiled Mod to a Rare item, with a low chance of adding a second Veiled Mod","Ajoute un Mod crypté à un Objet rare, avec de faibles chances d'en ajouter un second","Fügt einem seltenen Gegenstand einen verhüllten Modifikator hinzu, und, mit einer geringen Chance, einen zweiten verhüllten Modifikator","レアアイテムにヴェールモッドを1個追加し、低い確率で2個目のヴェールモッドを追加する","희귀 아이템에 장막 속성 추가, 드물게 두 번째 장막 속성 추가","Adiciona um modificador oculto a um item raro, com uma pequena chance de adicionar um segundo modificador oculto","Добавить завуалированное свойство на редкий предмет с небольшим шансом добавления второго завуалированного свойства","Agrega un mod. encriptado a un objeto raro, con una probabilidad baja de agregar un segundo mod. encriptado","เพิ่ม ม็อดผนึก 1 อย่าง ให้กับ ไอเทมแรร์ โดยมีโอกาสต่ำที่จะเพิ่ม ม็อดผนึก อย่างที่สอง","新增 1 個隱匿詞綴至稀有物品上，有低機率新增第 2 個隱匿詞綴","\r\n\r\n\r\n\r\nadd_veiled_mods 5</div></div>","","","","","","","","","","","",[]
2,"LabDefenceAisling3","Add a Veiled Modifier to a Rare item, with a chance of adding a second Veiled Modifier","Ajoute un Mod crypté à un Objet rare, avec des chances d'en ajouter un second","Fügt einem seltenen Gegenstand einen verhüllten Modifikator hinzu, und, mit einer Chance, einen zweiten verhüllten Modifikator","レアアイテムにヴェールモッドを1個追加し、確率で2個目のヴェールモッドを追加する","희귀 아이템에 장막 속성 추가, 종종 두 번째 장막 속성 추가","Adiciona um modificador oculto a um item raro, com uma chance de adicionar um segundo modificador oculto","Добавить завуалированное свойство на редкий предмет с шансом добавления второго завуалированного свойства","Agrega un modificador encriptado a un objeto raro, con una probabilidad de agregar un segundo modificador encriptado","เพิ่ม ม็อดผนึก 1 อย่าง ให้กับ ไอเทมแรร์ โดยมีโอกาสที่จะเพิ่ม ม็อดผนึก อย่างที่สอง","新增 1 個隱匿詞綴至稀有物品上，有機率新增第 2 個隱匿詞綴","\r\n\r\n\r\n\r\nadd_veiled_mods 15</div></div>","","","","","","","","","","","",[]
3,"LabDefenceAisling4","Replace a random Modifier on a Rare item with a Veiled Modifier","Remplace un Mod aléatoire sur un objet Rare par un Mod crypté","Ersetzt einen zufälligen Modifikator auf einem seltenen Gegenstand durch einen verhüllten Modifikator","レアアイテム上のランダムなモッド1個をヴェールモッドに置き換える","희귀 아이템의 무작위 속성을 장막 속성으로 변경","Substitui um modificador aleatório de um item raro por um modificador oculto","Заменить случайное свойство на редком предмете на завуалированное ","Reemplaza un modificador aleatorio de un objeto raro con un modificador encriptado","แทนที่ ม็อดแบบสุ่ม 1 อย่าง ใน ไอเทมแรร์ ด้วย ม็อดผนึก 1 อย่าง","使用 1 個隱匿詞綴取代稀有物品上隨機 1 個詞綴","\r\n\r\n\r\n\r\nreplace_mod_with_veiled_mod</div></div>","","","","","","","","","","","",[]
4,"LabDefenceGravicius1","Swap a Divination Card with a new random one","Remplace une Carte divinatoire par une autre choisie au hasard","Tauscht eine Weissagungskarte gegen eine neue zufällige Karte","占いカード1枚をランダムな新しい占いカードに変化させる","점술 카드를 무작위로 변경","Troca uma Carta de Adivinhação por uma nova aleatória","Обменять гадальную карту на случайную новую","Intercambia una carta de adivinación por otra aleatoria","สลับ ไพ่พยากรณ์ 1 ใบ เป็นใบใหม่แบบสุ่ม 1 ใบ","隨機替換 1 張新命運卡","\r\n\r\n\r\n\r\nswap_divination_card BetrayalDivCardSwap1</div></div>","","","","","","","","","","","",[]
5,"LabDefenceGravicius2","Swap a Divination Card with a new random one","Remplace une Carte divinatoire par une autre choisie au hasard","Tauscht eine Weissagungskarte gegen eine neue zufällige Karte","占いカード1枚をランダムな新しい占いカードに変化させる","점술 카드를 무작위로 변경","Troca uma Carta de Adivinhação por uma nova aleatória","Обменять гадальную карту на случайную новую","Intercambia una carta de adivinación por otra aleatoria","สลับ ไพ่พยากรณ์ 1 ใบ เป็นใบใหม่แบบสุ่ม 1 ใบ","隨機替換 1 張新命運卡","\r\n\r\n\r\n\r\nswap_divination_card BetrayalDivCardSwap2</div></div>","","","","","","","","","","","",[]
6,"LabDefenceGravicius3","Swap a Divination Card with a new random one","Remplace une Carte divinatoire par une autre choisie au hasard","Tauscht eine Weissagungskarte gegen eine neue zufällige Karte","占いカード2枚をランダムな新しい占いカードに変化させる","점술 카드를 무작위로 변경","Troca uma Carta de Adivinhação por uma nova aleatória","Обменять гадальную карту на случайную новую","Intercambia una carta de adivinación por otra aleatoria","สลับ ไพ่พยากรณ์ 1 ใบ เป็นใบใหม่แบบสุ่ม 1 ใบ","隨機替換 1 張新命運卡","\r\n\r\n\r\n\r\nswap_divination_card BetrayalDivCardSwap3</div></div>","","","","","","","","","","","",[]
7,"LabDefenceGravicius4","Swap a Divination Card with a new random one","Remplace une Carte divinatoire par une autre choisie au hasard","Tauscht eine Weissagungskarte gegen eine neue zufällige Karte","占いカード1枚をランダムな新しい占いカードに変化させる","점술 카드를 무작위로 변경","Troca uma Carta de Adivinhação por uma nova aleatória","Обменять гадальную карту на случайную новую","Intercambia una carta de adivinación por otra aleatoria","สลับ ไพ่พยากรณ์ 1 ใบ เป็นใบใหม่แบบสุ่ม 1 ใบ","隨機替換 1 張新命運卡","\r\n\r\n\r\n\r\nswap_divination_card BetrayalDivCardSwap3</div></div>","","","","","","","","","","","",[]
8,"AssassinHillock1","Modify a Map's quality to 25%","Fait passer la Qualité d'une Carte à 25%","Verändert die Qualität einer Karte auf 25%","マップの品質を25%にする","지도의 퀄리티를 25%로 수정","Modifica a qualidade de um mapa para 25%","Улучшить качество карты до 25%","Modifica la calidad de un mapa al 25%","แก้ไข แผนที่ ให้มีค่าคุณภาพ 25%","調整地圖品質至 25%","\r\n\r\n\r\n\r\nset_quality map 25</div></div>","","","","","","","","","","","",[]
9,"AssassinHillock2","Modify a Map's quality to 30%","Fait passer la Qualité d'une Carte à 30%","Verändert die Qualität einer Karte auf 30%","マップの品質を30%にする","지도의 퀄리티를 30%로 수정","Modifica a qualidade de um mapa para 30%","Улучшить качество карты до 30%","Modifica la calidad de un mapa al 30%","แก้ไข แผนที่ ให้มีค่าคุณภาพ 30%","調整地圖品質至 30%","\r\n\r\n\r\n\r\nset_quality map 30</div></div>","","","","","","","","","","","",[]
10,"AssassinHillock3","Modify a Map's quality to 35%","Fait passer la Qualité d'une Carte à 35%","Verändert die Qualität einer Karte auf 35%","マップの品質を35%にする","지도의 퀄리티를 35%로 수정","Modifica a qualidade de um mapa para 35%","Улучшить качество карты до 35%","Modifica la calidad de un mapa al 35%","แก้ไข แผนที่ ให้มีค่าคุณภาพ 35%","調整地圖品質至 35%","\r\n\r\n\r\n\r\nset_quality map 35</div></div>","","","","","","","","","","","",[]
11,"AssassinHillock4","Modify a Map's quality to 35%","Fait passer la Qualité d'une Carte à 35%","Verändert die Qualität einer Karte auf 35%","マップの品質を35%にする","지도의 퀄리티를 35%로 수정","Modifica a qualidade de um mapa para 35%","Улучшить качество карты до 35%","Modifica la calidad de un mapa al 35%","แก้ไข แผนที่ ให้มีค่าคุณภาพ 35%","調整地圖品質至 35%","\r\n\r\n\r\n\r\nset_quality map 35</div></div>","","","","","","","","","","","",[]
12,"BaseDefenceHillock1","Modify an Armour Piece's quality to 24%","Fait passer la Qualité d'une armure à 24%","Verändert die Qualität eines Rüstungsstücks auf 24%","防具の品質を24%にする","방어구의 퀄리티를 24%로 수정","Modifica a qualidade de uma peça de armadura para 24%","Улучшить качество доспеха до 24%","Modifica la calidad de una pieza de armadura al 24%","แก้ไข เกราะ ให้มีค่าคุณภาพ 24%","調整護甲品質至 24%","\r\n\r\n\r\n\r\nset_quality armour 24</div></div>","","","","","","","","","","","",[]
13,"BaseDefenceHillock2","Modify an Armour Piece's quality to 26%","Fait passer la Qualité d'une armure à 26%","Verändert die Qualität eines Rüstungsstücks auf 26%","防具の品質を26%にする","방어구의 퀄리티를 26%로 수정","Modifica a qualidade de uma peça de armadura para 26%","Улучшить качество доспеха до 26%","Modifica la calidad de una pieza de armadura al 26%","แก้ไข เกราะ ให้มีค่าคุณภาพ 26%","調整護甲品質至 26%","\r\n\r\n\r\n\r\nset_quality armour 26</div></div>","","","","","","","","","","","",[]
14,"BaseDefenceHillock3","Modify an Armour Piece's quality to 28%","Fait passer la Qualité d'une armure à 28%","Verändert die Qualität eines Rüstungsstücks auf 28%","防具の品質を28%にする","방어구의 퀄리티를 28%로 수정","Modifica a qualidade de uma peça de armadura para 28%","Улучшить качество доспеха до 28%","Modifica la calidad de una pieza de armadura al 28%","แก้ไข เกราะ ให้มีค่าคุณภาพ 28%","調整護甲品質至 28%","\r\n\r\n\r\n\r\nset_quality armour 28</div></div>","","","","","","","","","","","",[]
15,"BaseDefenceHillock4","Modify an Armour Piece's quality to 30%","Fait passer la Qualité d'une armure à 30%","Verändert die Qualität eines Rüstungsstücks auf 30%","防具の品質を30%にする","방어구의 퀄리티를 30%로 수정","Modifica a qualidade de uma peça de armadura para 30%","Улучшить качество доспеха до 30%","Modifica la calidad de una pieza de armadura al 30%","แก้ไข เกราะ ให้มีค่าคุณภาพ 30%","調整護甲品質至 30%","\r\n\r\n\r\n\r\nset_quality armour 30</div></div>","","","","","","","","","","","",[]
