"rownum","Id","Script1","Script2"
0,"Ocean","IfLeagueQuestFlagSet( triggerer, OceanBiomeRevealedFirstDialogue, (){}, (){  IfInArea( MapUberBoss_FallenStar, { DelayIgnoringPause( 2, { SuspendAtlasInput(); globals.makoru_ruins.RequestAtlasTalk( Makoru_StartLogbookQuestP3, MapUberBoss_FallenStar ); } ); } ); } );","Delay( 1, { triggerer.SetLeagueQuestFlag( OceanBiomeRevealedFirstDialogue ); } );"
1,"BreachCity","IfLeagueQuestFlagSet( triggerer, EndgameBreachNextStepP3Seen, (){}, (){  IfInArea( ChayulaLeague, { DelayIgnoringPause( 2, { SuspendAtlasInput(); globals.ailith_monastery.RequestAtlasTalk( Ailith_OnNextStepP3, ChayulaLeague_TowerBoss ); } ); } ); } );","DelayIgnoringPause( 1, { triggerer.SetLeagueQuestFlag( EndgameBreachNextStepP3Seen ); } );"
2,"ForestKing","IfLeagueQuestFlagSet( triggerer, RitualAoifeCruxOfNothingnessRevealed, {}, { IfInArea( MapUberBoss_Ritual, { DelayIgnoringPause( 2, { SuspendAtlasInput(); globals.ritual_npc.RequestAtlasTalk( AoifeEG_AfterTributeP3, RitualLeagueBoss ); } ); } ); } );","DelayIgnoringPause( 1, { triggerer.SetLeagueQuestFlag( RitualAoifeCruxOfNothingnessRevealed ); } );"
3,"ReactorNorth","",""
4,"ReactorEast","",""
5,"ReactorSouth","",""
6,"ReactorWest","",""
7,"Tower1And2","",""
8,"Tower3And4","",""
9,"Tower5","",""
10,"Tower6","",""
11,"Tower7And8","",""
