"rownum","string_0","string_8","string_8 (French)","string_8 (German)","string_8 (Japanese)","string_8 (Korean)","string_8 (Portuguese)","string_8 (Russian)","string_8 (Spanish)","string_8 (Thai)","string_8 (Traditional Chinese)","string_16","string_16 (French)","string_16 (German)","string_16 (Japanese)","string_16 (Korean)","string_16 (Portuguese)","string_16 (Russian)","string_16 (Spanish)","string_16 (Thai)","string_16 (Traditional Chinese)","string_24","string_32"
0,"Ranger1","Long Range","Longue portée","Distanzangriffe","長射程","원거리","Longo Alcance","Урон издалека","Larga distancia","ระยะไกล","遙遠射程","Let arrows fly from afar. Kill them before they arrive. ","Tirez des flèches de loin. Tuez-les avant qu'ils n'arrivent.","Feuert Pfeile aus der Ferne. Töte sie, bevor sie Euch erreichen.","遠くから矢を飛ばせ。奴らが来る前に倒せ。","화살을 멀리서 발사합니다. 적이 도착하기 전에 처치합니다.","Atire flechas de longe. Mate-os antes que eles se aproximem.","Пусть стрелы летят издалека. Убей врагов прежде, чем они приблизятся.","Deja que las flechas vuelen desde lejos. Mátalos antes de que lleguen. ","แผลงศรมาแต่ไกล ฆ่าให้ตายก่อนที่พวกมันได้เข้าใกล้","從遠處發射箭矢。在敵人觸及你之前就扼殺它們。","Art/Videos/CharacterCreation/RangerLongRange.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/CharacterCreation/IconFeatureRanger1.dds"
1,"Ranger2","Agility","Agilité","Agilität","敏捷性","민첩함","Agilidade","Проворство","Agilidad","คล่องตัว","靈敏","Shoot on the move. Jump over your enemies. Leap away from danger.","Tirez tout en vous déplaçant. Sautez par-dessus vos ennemis. Éloignez-vous du danger en bondissant.","Schießt aus der Bewegung. Springt über eure Gegner hinweg. Weicht der Gefahr mit einem Sprung aus.","移動中に放て。敵を飛び越えろ。危険からは飛び去れ。","이동 중 사격하고, 적을 뛰어넘고, 도약하여 위험으로부터 멀어집니다.","Atire andando. Pule por cima dos seus inimigos. Fuja do perigo.","Стреляй на ходу. Перепрыгивай через врагов. Уклоняйся от опасности.","Dispara en movimiento. Salta sobre tus enemigos. Salta para alejarte del peligro.","ยิงไปเคลื่อนที่ไป กระโดดข้ามศัตรู กระโจนหนีจากภยันตราย","邊移動邊射擊。從敵人頭上跳過。從危險的處境中一躍而走。","Art/Videos/CharacterCreation/RangerAgility.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/CharacterCreation/IconFeatureRanger2.dds"
2,"Ranger3","Crowd Control","Contrôle de foule","Gegnerkontrolle","行動阻害","군중 제어","Controlador","Контроль","Control de masas","หยุดยั้ง","群體控制","Slow your enemies. Freeze them in place. Don't let them reach you.","Ralentissez vos ennemis. Gelez-les sur place. Ne les laissez pas vous atteindre.","Verlangsamt Eure Feinde. Friert sie an Ort und Stelle ein. Lasst sie nicht an Euch herankommen.","敵を遅くしろ。凍結せて動きを止めろ。奴らを近づけるな。","적을 감속시키고 제자리에 동결시킵니다. 적이 가까이 오지 못하게 합니다.","Desacelere seus inimigos. Congele-os onde estiverem. Não deixe que eles se aproximem.","Замедляй своих врагов. Заморозь их на месте. Не дай им добраться до тебя.","Ralentiza a tus enemigos. Congélalos para que no puedan moverse. No dejes que te alcancen.","ทำให้ศัตรูเชื่องช้า แช่แข็งพวกมันให้แน่นิ่ง อย่าให้พวกมันเข้าถึงตัวได้","緩速敵人。讓它們冰凍在原地。不讓它們碰到你。","Art/Videos/CharacterCreation/Ranger_Crowd.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/CharacterCreation/IconFeatureRanger3.dds"
3,"Huntress1","Hit and Run","Escarmouche","Zuschlagen und Zurückziehen","一撃離脱","치고 빠지기","Bater e Correr","Тактика набега","Ataque y retirada","โจมตีแล้วหนี","打帶跑","Close in for the kill, then cover your retreat with a hail of spears. Don't let your enemies catch you.","Rapprochez-vous pour tuer, puis couvrez votre retraite avec une pluie de lances. Ne laissez pas vos ennemis vous attraper.","Nähert Euch, um zu töten, und deckt Euren Rückzug mit einem Hagel von Speeren. Lasst Euch nicht von Euren Feinden erwischen.","近づき殺し、槍の雨で退路を作れ。敵に捕まるな。","거리를 좁혀 적을 처치하고 창을 비처럼 퍼부어 퇴각로를 확보합니다. 적에게 잡히지 마십시오.","Aproxime-se para o abate, depois cubra sua retirada com uma chuva de lanças. Não seja capturada por seus inimigos.","Сократи дистанцию для убийства, а затем прикрой отступление градом копий. Не дай врагам поймать тебя.","Acércate para matarlos y luego cubre tu retirada con una andanada de lanzas. No dejes que tus enemigos te atrapen.","เข้าใกล้ไปห้ำหั่น แล้วทิ้งฝนหอกเอาไว้หลบหนี อย่าให้ศัตรูจับตัวได้","閃至毫釐之間擊殺敵人，接著刺出一陣槍刃風暴來掩護自己撤退。別讓你的敵人抓到你。","Art/Videos/CharacterCreation/HuntressHitAndRun.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/CharacterCreation/IconFeatureHuntress1.dds"
4,"Huntress2","Savage Attacks","Attaques féroces","Wilde Angriffe","獰猛な攻撃","야만적인 공격","Ataques Selvagens","Жестокие атаки","Ataques salvajes","จู่โจมเหี้ยมโหด","暴虐攻擊","Blind them, bleed them, maim them. Prevail at any cost.","Aveuglez-les, faites-les saigner, mutilez-les. Triomphez coûte que coûte.","Blendet sie, lasst sie bluten, verstümmelt sie. Setzt euch um jeden Preis durch.","目を潰し、血を流させ、傷を残せ。なんとしてでも生き残れ。","적을 실명시키고, 출혈시키고, 힘줄을 절단합니다. 무슨 수가 있어도 승리합니다.","Cegue-os, faça-os sangrar, mutile-os. Vença a qualquer custo.","Ослепляй их, изувечивай, заставь истекать кровью. Одержи верх любой ценой.","Ciégalos, desángralos y lísialos. Vence a cualquier precio.","ทำให้พวกมันตาบอด เลือดไหล ขาหัก เอาชนะด้วยทุกวิถีทาง","致盲、流血，並癱瘓他們。不惜一切代價取得勝利。","Art/Videos/CharacterCreation/HuntressSavageAttacks.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/CharacterCreation/IconFeatureHuntress2.dds"
5,"Huntress3","Primal Fury","Fureur primitive","Urzeitliche Wut","原初の怒り","원시적 광분","Fúria Primitiva","Первобытная ярость","Furia primitiva","โทสะแต่ปฐมกาล","原始狂怒","Harness the ferocity of the wilds. Tame beasts and whip up storms.","Exploitez la férocité de la nature. Domptez des bêtes et déclenchez des tempêtes.","Nutzt die Grausamkeit der Wildnis. Zähmt Bestien und entfesselt Stürme.","自然の怒りを我が物とせよ。獣を手懐け、嵐を起こせ。","대자연의 힘을 자유자재로 다룹니다. 야수를 길들이고 폭풍을 일으킵니다.","Domine a ferocidade das selvas. Domestique feras e conjure tempestades.","Подчини себе свирепые ветра. Укрощай зверей и поднимай бурю.","Domina la ferocidad de la naturaleza. Doma bestias y desata tormentas.","ใช้ความป่าเถื่อนจากป่าเขา จับสัตว์ร้ายเป็นสัตว์เลี้ยง ก่อพายุมาพัดให้สิ้น","駕馭荒野的兇猛力量。讓你能夠馴服野獸，激起風暴。","Art/Videos/CharacterCreation/HuntressPrimalFury.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/CharacterCreation/IconFeatureHuntress3.dds"
6,"Warrior1","Heavy Slams","Fracas massifs","Schwere Hiebe","ヘビースラム","묵직한 강타","Pancadas","Мощные удары","Embates potentes","ทุบหนักหน่วง","沉重猛擊","Hit hard. Slam your mace on the ground. Crack the earth.","Frapper fort. Fracassez le sol avec votre masse. Faites trembler la terre.","Schlagt hart zu. Knallt Euren Streitkolben auf den Boden. Lasst die Erde beben.","強く打て。メイスを地面に叩きつけろ。大地を砕け。","강하게 타격합니다. 철퇴로 지면을 내리칩니다. 대지를 가릅니다.","Bata forte. Atinja o solo com sua maça. Abra uma fenda na terra.","Бей сильно. Ударяй булавой о землю. Раскалывай твердь.","Golpea fuerte. Estrella tu maza contra el suelo. Agrieta la tierra.","ปะทะรุนแรง ทุบกระบองลงพื้น สะเทือนแผ่นดิน","全力一擊。將你的錘子砸向地面。擊碎大地。","Art/Videos/CharacterCreation/WarriorHeavySlams.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/CharacterCreation/IconFeatureWarrior1.dds"
7,"Warrior2","Stuns and Knockback","Étourdit et Repousse","Betäuben und Zurückstoßen","スタンとノックバック","기절 및 밀어내기","Atordoamentos e Empurrões","Оглушения и отбрасывания","Aturdir y empujar","สตันและผลักออกไป","暈眩和擊退","Stun your enemies. Push them back. Knock them to the ground.","Étourdissez vos ennemis. Repoussez-les. Mettez-les à terre.","Betäubt Eure Feinde. Stoßt sie zurück. Bringt sie zu Fall.","敵をスタンさせろ。敵を押し出せ。地面に叩き付けろ。","적을 기절시키고 뒤로 밀어냅니다. 적을 지면으로 쓰러뜨립니다.","Atordoe seus inimigos. Empurre-os. Derrube-os no chão.","Оглушай своих врагов. Отталкивай их. Сбивай их на землю.","Aturde a tus enemigos. Hazlos retroceder. Tíralos al suelo.","สตันศัตรู ผลักพวกมันออกไป ทุบมันให้ล้มลงพื้น","擊暈你的敵人。將其擊退。接著打倒在地。","Art/Videos/CharacterCreation/WarriorStuns.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/CharacterCreation/IconFeatureWarrior3.dds"
8,"Warrior3","Defences","Défenses","Verteidigungen","防御","방어력","Defesas","Защита","Defensas","ป้องกัน","防禦","Shrug off small hits with heavy armour. Block big attacks with your shield. Use your large life pool to absorb the rest.","Ignorez les petits coups avec votre armure lourde. Bloquez les grosses attaques avec votre bouclier. Utilisez votre grande réserve de vie pour absorber le reste.","Lasst kleine Treffer an Eurer schweren Rüstung abprallen. Blockt große Angriffe mit Eurem Schild. Nutzt Eure großen Lebensreserven, um den Rest zu absorbieren.","重装甲で小さい打撃を軽くあしらえ。盾で大きな攻撃をブロックしろ。膨大なライフプールで残りを吸収しろ。","묵직한 방어구로 약한 공격을 흘려버립니다. 방패로 강한 공격을 막습니다. 막대한 생명력으로 나머지 공격을 흡수합니다.","Absorva os pequenos acertos com a armadura pesada. Bloqueie grandes ataques com seu escudo. Use sua imensa quantidade de vida para absorver o resto.","Отражай небольшие удары тяжёлой броней. Блокируй сильные атаки щитом. Используй свой большой запас здоровья, чтобы поглотить остальное.","Ignora los golpes pequeños con tu armadura pesada. Bloquea los ataques grandes con tu escudo. Usa tu gran cantidad de vida para absorber el resto.","ทนทานการปะทะเบาๆ ด้วยเกราะหนัก บล็อคการโจมตีหนักๆ ด้วยโล่ แล้วรับความเสียหายที่เหลือด้วยพลังชีวิตมากมาย","用重甲硬扛任何羸弱的攻擊。用盾牌格擋強大的攻擊。用你的大量生命值吸收掉剩下的傷害。","Art/Videos/CharacterCreation/WarriorDefence.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/CharacterCreation/IconFeatureWarrior2.dds"
9,"Sorceress1","Fire Spells","Sorts de feu","Feuerzauber","火スペル","화염 주문","Magias de Fogo","Чары огня","Hechizos de fuego","เวทไฟ","火焰法術","Create large explosions. Set your enemies on fire. Watch them burn.","Créez de grandes explosions. Mettez le feu à vos ennemis. Regardez-les brûler.","Erzeugt große Explosionen. Setzt eure Gegner in Brand. Seht zu, wie sie verbrennen.","巨大な爆発を起こせ。敵に火をつけろ。奴らが燃えるのを見届けろ。","대규모 폭발을 일으킵니다. 적을 불태우고 불타는 모습을 바라봅니다.","Crie grandes explosões. Incendeie seus inimigos. Veja-os queimar.","Создавай большие взрывы. Поджигай своих врагов. Наблюдай, как они горят.","Crea grandes explosiones. Prende fuego a tus enemigos. Mira cómo arden.","เรียกระเบิดขนาดใหญ่ จุดไฟให้ศัตรูลุกโชน ดูพวกมันมอดไหม้","製造大範圍爆炸，使敵人著火，看著敵人被活活燒死。","Art/Videos/CharacterCreation/SorceressFire.bk2","Art/Textures/Interface/2D/2DArt/UIImages/InGame/CharacterCreation/IconFeatureSorceress1.dds"
