"rownum","Id","Audio","OGGFiles","f32_32","f32_36","InheritFrom"
0,"SpiritTortoise","Audio/Sound Effects/MonsterSounds/4.0/Part1/Act4/G4_4_1/KaruiSpiritTurtle/Vocals/AggroSG",[],0,0.5,"Audio/Dialogue/4.0/Monsters/AreaMonsterDialogue"
1,"KaruiTuatara","Audio/Sound Effects/MonsterSounds/4.0/Part1/Act4/G4_4_1/KaruiTuatara/Vocals/AggroSG",[],0,0.5,"Audio/Dialogue/4.0/Monsters/AreaMonsterDialogue"
2,"Kiloava_Bird","Audio/Sound Effects/MonsterSounds/4.0/Part1/Act4/G4_4_2/Kiloava_Monsters/Kiloava_Bird/Vocals/AggroSG",[],0,0.5,"Audio/Dialogue/4.0/Monsters/AreaMonsterDialogue"
3,"FallenKaruiMace","Audio/Sound Effects/MonsterSounds/4.0/Part1/Act4/G4_4_1/FallenKarui/FallenMace/Vocals/FallenMace_AggroSG","[""Audio/Dialogue/4.0/Monsters/Part1/Act4/KaruiFallenMace/KaruiFallenMace_Dialogue_Aggro_01.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act4/KaruiFallenMace/KaruiFallenMace_Dialogue_Aggro_02.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act4/KaruiFallenMace/KaruiFallenMace_Dialogue_Aggro_03.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act4/KaruiFallenMace/KaruiFallenMace_Dialogue_Aggro_04.dialogue.ogg""]",0.25,0.5,"Audio/Dialogue/4.0/Monsters/AreaMonsterDialogue"
4,"FallenKarui2HAxe","Audio/Sound Effects/MonsterSounds/4.0/Part1/Act4/G4_4_1/FallenKarui/FallenAxe/Vocals/FallenAxe_AggroSG","[""Audio/Dialogue/4.0/Monsters/Part1/Act4/KaruiFallen2HAxe/KaruiFallenAxe_Dialogue_Aggro_01.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act4/KaruiFallen2HAxe/KaruiFallenAxe_Dialogue_Aggro_02.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act4/KaruiFallen2HAxe/KaruiFallenAxe_Dialogue_Aggro_03.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act4/KaruiFallen2HAxe/KaruiFallenAxe_Dialogue_Aggro_04.dialogue.ogg""]",0.25,0.5,"Audio/Dialogue/4.0/Monsters/AreaMonsterDialogue"
5,"FallenKaruiArcher","Audio/Sound Effects/MonsterSounds/4.0/Part1/Act4/G4_4_1/FallenKarui/FallenArcher/Vocals/FallenArcher_AggroSG","[""Audio/Dialogue/4.0/Monsters/Part1/Act4/KaruiFallenArcher/KaruiFallenArcher_Dialogue_Aggro_01.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act4/KaruiFallenArcher/KaruiFallenArcher_Dialogue_Aggro_02.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act4/KaruiFallenArcher/KaruiFallenArcher_Dialogue_Aggro_03.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act4/KaruiFallenArcher/KaruiFallenArcher_Dialogue_Aggro_04.dialogue.ogg""]",0.25,0.5,"Audio/Dialogue/4.0/Monsters/AreaMonsterDialogue"
6,"BloodFeverKarui_2HAxe","Audio/Sound Effects/MonsterSounds/4.0/Part1/Act4/G4_11_2/KaruiBloodFever2H/Vocals/Aggro_SG","[""Audio/Dialogue/4.0/Monsters/Part1/Act4/BloodFeverKarui2HAxe/BloodFeverKarui2HAxe_Aggro_01.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act4/BloodFeverKarui2HAxe/BloodFeverKarui2HAxe_Aggro_02.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act4/BloodFeverKarui2HAxe/BloodFeverKarui2HAxe_Aggro_03.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act4/BloodFeverKarui2HAxe/BloodFeverKarui2HAxe_Aggro_04.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act4/BloodFeverKarui2HAxe/BloodFeverKarui2HAxe_Aggro_05.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act4/BloodFeverKarui2HAxe/BloodFeverKarui2HAxe_Aggro_06.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act4/BloodFeverKarui2HAxe/BloodFeverKarui2HAxe_Aggro_07.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act4/BloodFeverKarui2HAxe/BloodFeverKarui2HAxe_Aggro_08.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act4/BloodFeverKarui2HAxe/BloodFeverKarui2HAxe_Aggro_09.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act4/BloodFeverKarui2HAxe/BloodFeverKarui2HAxe_Aggro_10.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act4/BloodFeverKarui2HAxe/BloodFeverKarui2HAxe_Aggro_11.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act4/BloodFeverKarui2HAxe/BloodFeverKarui2HAxe_Aggro_12.dialogue.ogg""]",0.25,0.5,"Audio/Dialogue/4.0/Monsters/AreaMonsterDialogue"
7,"BloodFeverKarui_Hook","Audio/Sound Effects/MonsterSounds/4.0/Part1/Act4/G4_11_2/KaruiBloodFeverHook/Vocals/Aggro_SG","[""Audio/Dialogue/4.0/Monsters/Part1/Act4/BloodFeverKaruiHook/BloodFeverHookDialogue_01.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act4/BloodFeverKaruiHook/BloodFeverHookDialogue_02.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act4/BloodFeverKaruiHook/BloodFeverHookDialogue_03.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act4/BloodFeverKaruiHook/BloodFeverHookDialogue_04.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act4/BloodFeverKaruiHook/BloodFeverHookDialogue_05.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act4/BloodFeverKaruiHook/BloodFeverHookDialogue_06.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act4/BloodFeverKaruiHook/BloodFeverHookDialogue_07.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act4/BloodFeverKaruiHook/BloodFeverHookDialogue_08.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act4/BloodFeverKaruiHook/BloodFeverHookDialogue_09.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act4/BloodFeverKaruiHook/BloodFeverHookDialogue_10.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act4/BloodFeverKaruiHook/BloodFeverHookDialogue_11.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act4/BloodFeverKaruiHook/BloodFeverHookDialogue_12.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act4/BloodFeverKaruiHook/BloodFeverHookDialogue_13.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act4/BloodFeverKaruiHook/BloodFeverHookDialogue_14.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act4/BloodFeverKaruiHook/BloodFeverHookDialogue_15.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act4/BloodFeverKaruiHook/BloodFeverHookDialogue_16.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act4/BloodFeverKaruiHook/BloodFeverHookDialogue_17.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act4/BloodFeverKaruiHook/BloodFeverHookDialogue_18.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act4/BloodFeverKaruiHook/BloodFeverHookDialogue_19.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act4/BloodFeverKaruiHook/BloodFeverHookDialogue_20.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act4/BloodFeverKaruiHook/BloodFeverHookDialogue_21.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act4/BloodFeverKaruiHook/BloodFeverHookDialogue_22.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act4/BloodFeverKaruiHook/BloodFeverHookDialogue_23.dialogue.ogg""]",0.25,0.5,"Audio/Dialogue/4.0/Monsters/AreaMonsterDialogue"
8,"BloodFeverKarui_Poi","Audio/Sound Effects/MonsterSounds/4.0/Part1/Act4/G4_11_2/KaruiBloodFeverPoi/Vocals/Aggro_SG","[""Audio/Dialogue/4.0/Monsters/Part1/Act4/BloodFeverPoi/BloodFeverKaruiPoi_AggroDialogue_01.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act4/BloodFeverPoi/BloodFeverKaruiPoi_AggroDialogue_02.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act4/BloodFeverPoi/BloodFeverKaruiPoi_AggroDialogue_03.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act4/BloodFeverPoi/BloodFeverKaruiPoi_AggroDialogue_04.dialogue.ogg""]",0.1,0.33,"Audio/Dialogue/4.0/Monsters/AreaMonsterDialogue"
9,"TwilightOrder_Soldier","Audio/Sound Effects/MonsterSounds/4.0/Part1/Act4/G4_8/TwilightOrder/Vocals/Soldier/AggroSG","[""Audio/Dialogue/4.0/Monsters/Part1/Act4/TwilightOrderSoldier/TwilightOrder_Soldier_Dialogue_Aggro_01.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act4/TwilightOrderSoldier/TwilightOrder_Soldier_Dialogue_Aggro_02.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act4/TwilightOrderSoldier/TwilightOrder_Soldier_Dialogue_Aggro_03.dialogue.ogg"",""Audio/Dialogue/4.0/Monsters/Part1/Act4/TwilightOrderSoldier/TwilightOrder_Soldier_Dialogue_Aggro_04.dialogue.ogg""]",0.25,0.5,"Audio/Dialogue/4.0/Monsters/AreaMonsterDialogue"
