"rownum","DelveUpgradeTypeKey","UpgradeLevel","StatsKeys","StatValues","Cost","i32_44","AchievementItemsKey","i32_64"
0,6,0,[],[],0,0,"",0
1,0,0,[7739],[1200],0,0,"",0
2,0,1,[7739],[1800],15,1,"",6
3,0,2,[7739],[2400],102,2,"",13
4,0,3,[7739],[3000],187,3,"",20
5,0,4,[7739],[4000],300,4,"",25
6,0,5,[7739],[5200],444,4,"",29
7,0,6,[7739],[6400],630,4,"",35
8,0,7,[7739],[9000],865,4,"",0
9,0,8,[7739],[12500],1016,4,"",0
10,0,9,[7739],[17500],1496,4,"",0
11,0,10,[7739],[22750],2143,4,"",0
12,0,11,[7739],[30000],5271,4,"",0
13,0,12,[7739],[38500],12962,4,"",0
14,0,13,[7739],[46000],21521,4,"",0
15,0,14,[7739],[55000],33728,4,"",0
16,0,15,[7739],[65000],54709,4,"",0
17,1,0,[7740],[3],0,0,"",0
18,1,1,[7740],[4],92,0,"",6
19,1,2,[7740],[5],199,0,"",13
20,1,3,[7740],[6],370,0,"",20
21,1,4,[7740],[7],560,0,"",25
22,1,5,[7740],[8],762,0,"",29
23,1,6,[7740],[9],1255,0,"",35
24,1,7,[7740],[10],1495,0,"",0
25,1,8,[7740],[11],1860,0,"",0
26,1,9,[7740],[12],2312,0,"",0
27,1,10,[7740],[13],4046,0,"",0
28,1,11,[7740],[14],7081,0,"",0
29,1,12,[7740],[15],12391,0,"",0
30,1,13,[7740],[16],18678,0,"",0
31,1,14,[7740],[17],25082,0,"",0
32,1,15,[7740],[18],33246,0,"",0
33,1,16,[7740],[19],43909,0,"",0
34,1,17,[7740],[20],58214,0,"",0
35,2,0,[7741],[2],0,0,"",0
36,2,1,[7741],[3],70,0,"",0
37,2,2,[7741],[4],214,0,"",0
38,2,3,[7741],[5],586,0,"",0
39,2,4,[7741],[6],1386,0,"",0
40,2,5,[7741],[7],2050,0,"",0
41,3,0,[7742],[0],0,0,"",0
42,3,1,[7742],[30],50,1,"",6
43,3,2,[7742],[60],167,2,"",13
44,3,3,[7742],[90],312,3,"",20
45,3,4,[7742],[120],505,4,"",25
46,3,5,[7742],[150],688,4,"",29
47,3,6,[7742],[180],1012,4,"",35
48,3,7,[7742],[210],1224,4,"",0
49,3,8,[7742],[240],1397,4,"",0
50,3,9,[7742],[270],1487,4,"",0
51,3,10,[7742],[300],1682,4,"",0
52,3,11,[7742],[330],1832,4,"",0
53,3,12,[7742],[360],1943,4,"",0
54,3,13,[7742],[390],2222,4,"",0
55,3,14,[7742],[420],2276,4,"",0
56,3,15,[7742],[450],2245,4,"",0
57,3,16,[7742],[480],2388,4,"",0
58,3,17,[7742],[510],2446,4,"",0
59,3,18,[7742],[540],2566,4,"",0
60,3,19,[7742],[570],2593,4,"",0
61,3,20,[7742],[600],2824,4,"",0
62,3,21,[7742],[630],2964,4,"",0
63,3,22,[7742],[660],2994,4,"",0
64,3,23,[7742],[690],3262,4,"",0
65,3,24,[7742],[720],3423,4,"",0
66,3,25,[7742],[750],3458,4,"",0
67,3,26,[7742],[780],3767,4,"",0
68,3,27,[7742],[810],3953,4,"",0
69,3,28,[7742],[840],3993,4,"",0
70,3,29,[7742],[870],4350,4,"",0
71,3,30,[7742],[900],4565,4,"",0
72,3,31,[7742],[930],4611,4,"",0
73,3,32,[7742],[960],5024,4,"",0
74,3,33,[7742],[990],5271,4,"",0
75,3,34,[7742],[1020],5325,4,"",0
76,3,35,[7742],[1050],5802,4,"",0
77,3,36,[7742],[1080],6088,4,"",0
78,3,37,[7742],[1110],6150,4,"",0
