"rownum","Id","HapticAudio","i32_16","f32_20","bool_24","i32_25","i32_29","f32_33","f32_37"
0,"HapticsUIMenuSelect","Audio/Haptics/HapticsUIMenuSelect.wav",2,0.5,"",2,120,0.54,0.07
1,"HapticsUIMenuSelectHold","Audio/Haptics/HapticsUIMenuSelect.wav",2,0.5,"",2,120,0.54,0.07
2,"HapticsUIMenuCancel","Audio/Haptics/HapticsUIMenuCancel.wav",2,0.5,"",2,120,0.54,0.07
3,"HapticsUIMenuCursorMove","Audio/Haptics/HapticsUIMenuCancel.wav",1,0.3,"",2,25,0.33,0.15
4,"HapticsUISocialNotificationGeneral","Audio/Haptics/HapticsUISocialNotificationGeneral.wav",6,0.75,"",3,120,0.54,0.07
5,"HapticsCombatFlaskEmptyMana","Audio/Haptics/HapticsCombatFlaskEmptyMana.wav",7,0.75,"",1,120,0.57,0.05
6,"HapticsCombatHitBig","Audio/Haptics/HapticsCombatHitBig.wav",9,0.75,"",1,120,0.54,0.66
7,"HapticsCombatHitMedium","Audio/Haptics/HapticsCombatHitMedium.wav",8,0.65,"",1,120,0.54,0.38
8,"HapticsCombatLifeHeartbeat","Audio/Haptics/HapticsCombatLifeHeartbeat.wav",100,0.75,1,1,120,0.54,0.07
9,"HapticsSkillsMeleeSlams","Audio/Haptics/HapticsSkillsMeleeSlams.wav",4,0.65,"",0,120,0.54,0.15
10,"HapticsSkillMeleeEarthQuake","Audio/Haptics/EarthquakeSlam.wav",5,0.65,"",1,120,0.54,0.07
11,"HapticsSkillMeleeEarthQuake_AoE_3D","Audio/Haptics/HapticsSkillsMeleeSlams.wav",4,1,"",0,120,0.54,0.13
12,"HapticsSkillShockwaveTotem_AoE_3D","Audio/Haptics/HapticsSkillsMeleeSlams.wav",4,1,"",0,120,0.54,0.07
13,"HapticsSkillMeleePerfectStrike_charge","Audio/Haptics/PerfectStrike_Charge.wav",5,0.75,1,1,120,0.54,0.07
14,"HapticsSkillMeleePerfectStrike_perfect","Audio/Haptics/PerfectStrike_Perfect.wav",5,0.75,"",0,120,0.54,0.13
15,"HapticSkillMeleeLeapSlam","Audio/Haptics/LeapSlam_Slam.wav",4,0.65,"",0,120,0.4,0.07
16,"HapticSkillVolcanicFissure","Audio/Haptics/VolcanicFissure_Slam.wav",4,0.5,"",0,120,1,0.01
17,"HapticSkillSuperChargeSlam_charge","Audio/Haptics/SuperChargeSlam_charge.wav",5,1,1,1,120,1,0.01
18,"HapticSkillSuperChargeSlam_normal","Audio/Haptics/SuperChargeSlam_Normal.wav",4,0.5,"",0,120,1,0.01
19,"HapticSkillSuperChargeSlam_perfect","Audio/Haptics/SuperChargeSlam_Perfect.wav",4,1,"",0,120,1,0.01
20,"HapticSkillStampede_steps","Audio/Haptics/Stampede_steps.wav",4,0.65,"",0,120,0.2,0.07
