"rownum","Id","BaseItemType","UniqueName","ItemVisualIdentity","FlavourText","Rarity","ItemLevel","bool_92"
0,"FracturingOrb",203,"","","","",1,""
1,"ExaltedOrb",18,"","","","",5,""
2,"DivineOrb",36,"","","","",35,""
3,"ChaosOrb",3,"","","","",12,""
4,"AnnulmentOrb",196,"","","","",35,""
5,"OrbofChance",10,"","","","",12,""
6,"VaalOrb",52,"","","","",35,""
7,"RegalOrb",21,"","","","",5,""
8,"GemcuttersPrism",29,"","","","",12,""
9,"OrbOfTransmutation",13,"","","","",1,""
10,"OrbOfAugmentation",24,"","","","",1,""
11,"OrbOfAugmentationGreater",25,"","","","",46,""
12,"OrbOfTransmutationGreater",14,"","","","",46,""
13,"ChaosOrbGreater",4,"","","","",72,""
14,"RegalOrbGreater",22,"","","","",72,""
15,"ExaltedOrbGreater",19,"","","","",72,""
16,"OrbOfAugmentationPerfect",26,"","","","",72,""
17,"OrbOfTransmutationPerfect",15,"","","","",72,""
18,"ChaosOrbPerfect",5,"","","","",79,""
19,"RegalOrbPerfect",23,"","","","",79,""
20,"ExaltedOrbPerfect",20,"","","","",79,""
21,"JewellersOrbPerfect",34,"","","","",65,""
22,"MapKeyTier1",801,"","","","",58,""
23,"MapKeyTier2",802,"","","","",66,""
24,"MapKeyTier3",803,"","","","",67,""
25,"MapKeyTier4",804,"","","","",68,""
26,"MapKeyTier5",805,"","","","",69,""
27,"MapKeyTier6",806,"","","","",70,""
28,"MapKeyTier7",807,"","","","",71,""
29,"MapKeyTier8",808,"","","","",72,""
30,"MapKeyTier9",809,"","","","",73,""
31,"MapKeyTier10",810,"","","","",74,""
32,"MapKeyTier11",811,"","","","",75,""
33,"MapKeyTier12",812,"","","","",76,""
34,"MapKeyTier13",813,"","","","",77,""
35,"MapKeyTier14",814,"","","","",78,""
36,"MapKeyTier15",815,"","","","",79,""
37,"MapKeyTier16",816,"","","","",80,""
38,"GenericAugment",4400,"","","","",65,""
39,"MapBossAugment",4401,"","","","",65,""
40,"MegalomaniacUnique",617,1262,16076,3309,3,20,""
41,"DeliriumSplinter",193,"","","","",1,""
42,"UniqueMageblood",2617,1376,15701,2934,3,55,""
43,"EndgameDistilledEmotion1",1131,"","","","",65,""
44,"EndgameDistilledEmotion2",1132,"","","","",65,""
45,"EndgameDistilledEmotion3",1133,"","","","",65,""
46,"BreachFruitCurrency",5235,"","","","",1,""
47,"BreachFruitAmulet",5236,"","","","",1,""
48,"BreachFruitBelt",5237,"","","","",1,""
49,"BreachFruitRing",5238,"","","","",1,""
50,"BreachFruitBreachstone",5239,"","","","",80,""
51,"BreachVruunHead",5050,"","","","",1,""
52,"FourRingLake1",2655,"","","","",1,""
53,"FourRingLake2",2656,"","","","",1,""
54,"FourRingLake3",2657,"","","","",1,""
55,"FourRingLake4",2658,"","","","",1,""
56,"FourAmuletLake1",2659,"","","","",1,""
57,"FourAmuletLake2",2660,"","","","",1,""
58,"FourAmuletLake3",2661,"","","","",1,""
59,"FourAmuletLake4",2662,"","","","",1,""
60,"CurrencyCorruptedEssenceBreach",144,"","","","",1,""
61,"PinnacleKey1",4248,"","","","",1,""
62,"PinnacleKey2",4249,"","","","",1,""
63,"PinnacleKey3",4250,"","","","",1,""
64,"RitualPinnacleEffigyPiece",4271,"","","","",1,""
65,"OmenGreaterAnnulment",4446,"","","","",75,""
66,"OmenAmelioration",4434,"","","","",1,""
67,"OmenWhittling",4435,"","","","",75,""
68,"OmenSinistralErasure",4436,"","","","",80,""
69,"OmenDextralErasure",4437,"","","","",80,""
70,"OmenCorruption",4442,"","","","",1,""
71,"OmenSinistralExaltation",4444,"","","","",1,""
72,"OmenDextralExaltation",4445,"","","","",1,""
73,"OmenSinistralAnnulment",4447,"","","","",80,""
74,"OmenDextralAnnulment",4448,"","","","",80,""
75,"OmenBlessed",4458,"","","","",80,""
76,"OmenChance",4463,"","","","",75,""
77,"OmenSanctification",4465,"","","","",80,""
78,"OmenDextralCrystallisation",4466,"","","","",75,""
79,"OmenSinistralCrystallisation",4467,"","","","",75,""
80,"FourUniqueJewel12",617,3047,16084,3317,3,20,""
81,"FourUniqueBelt24",2617,1376,15701,2934,3,55,""
82,"FourUniqueBelt18",2612,303,15695,2928,3,50,""
83,"FourUniqueRing32",2654,1433,15671,2908,3,1,""
84,"FourUniqueBodyDex10",2283,251,15299,2548,3,51,""
85,"FourUniqueHelmetDex11",2368,175,15393,2642,3,65,""
86,"FourUniqueAmulet8",2567,1637,15621,2858,3,8,""
87,"FourUniqueAmulet14",2570,1001,15627,2864,3,18,""
88,"FourUniqueAmulet15",2571,95,15628,2865,3,25,""
89,"FourUniqueRing11",2586,56,15648,2885,3,12,""
90,"FourUniqueRing18",2588,1458,15655,2892,3,20,""
91,"BreachAugment",4396,"","","","",65,""
92,"ExpeditionAugment",4397,"","","","",65,""
93,"DeliriumAugment",4398,"","","","",65,""
94,"RitualAugment",4399,"","","","",65,""
95,"AbyssAugment",4402,"","","","",65,""
96,"IncursionAugment",4403,"","","","",65,""
97,"Quarterstaff1",2120,"","","","",1,""
98,"Quarterstaff2",2121,"","","","",4,""
99,"GlovesStr1",2406,"","","","",1,""
100,"GlovesDexInt2",2444,"","","","",16,""
101,"FlaskMana1",2632,"","","","",1,""
102,"FlaskMana3",2634,"","","","",10,""
103,"HandWraps",2995,"","","","",1,""
104,"BreachstoneQuest",4979,"","","","",1,""
105,"RitualBossFragmentQuest",4984,"","","","",1,""
106,"ExpeditionLogbookQuest1",4986,"","","","",65,""
107,"ExpeditionLogbookQuest2",4987,"","","","",65,""
108,"ExpeditionLogbookQuest3",4988,"","","","",65,""
109,"ExpeditionLogbookQuest4",4989,"","","","",65,""
110,"LoreweaveRecipeBook",4990,"","","","",65,""
111,"BreachstoneCurrency",870,"","","","",68,""
112,"RitualBossFragmentCurrency",911,"","","","",1,""
113,"ExpeditionLogbookCurrency",1459,"","","","",78,""
114,"ExpeditionLogbookSpecialCurrency",1460,"","","","",78,""
115,"ExpeditionLogbookOlrothCurrency",1464,"","","","",78,""
116,"ExpeditionLogbookUhtredCurrency",1463,"","","","",78,""
117,"ExpeditionLogbookMedvedCurrency",1461,"","","","",78,""
118,"ExpeditionLogbookVoranaCurrency",1462,"","","","",78,""
119,"RiteOfPassage",2652,1787,16069,3302,3,50,""
120,"IdolCorrupted1",719,"","","","",65,""
121,"IdolCorrupted2",720,"","","","",65,""
122,"IdolCorrupted3",721,"","","","",65,""
123,"BreachSplinter",177,"","","","",1,""
124,"UltimatumKey",4273,"","","","",0,1
125,"SanctumKey",1944,"","","","",0,1
126,"PerfectEssenceLife",123,"","","","",72,""
127,"PerfectEssenceMana",124,"","","","",72,""
128,"PerfectEssenceDefences",125,"","","","",72,""
129,"PerfectEssencePhysical",126,"","","","",72,""
130,"PerfectEssenceFire",127,"","","","",72,""
131,"PerfectEssenceCold",128,"","","","",72,""
132,"PerfectEssenceLightning",129,"","","","",72,""
133,"PerfectEssenceChaos",130,"","","","",72,""
134,"PerfectEssenceAttack",131,"","","","",72,""
135,"PerfectEssenceCaster",132,"","","","",72,""
136,"PerfectEssenceSpeed",133,"","","","",72,""
137,"PerfectEssenceAttribute",134,"","","","",72,""
138,"PerfectEssenceCritical",138,"","","","",72,""
139,"PerfectEssenceFireResist",148,"","","","",1,""
140,"PerfectEssenceColdResist",152,"","","","",1,""
141,"PerfectEssenceLightningResist",156,"","","","",1,""
142,"PerfectEssenceSpeedCaster",160,"","","","",1,""
143,"PerfectEssenceRarity",164,"","","","",1,""
144,"PerfectEssenceAlly",168,"","","","",1,""
145,"GreaterEssenceLife",111,"","","","",60,""
146,"GreaterEssenceMana",112,"","","","",60,""
147,"GreaterEssenceDefences",113,"","","","",60,""
148,"GreaterEssencePhysical",114,"","","","",60,""
149,"GreaterEssenceFire",115,"","","","",60,""
150,"GreaterEssenceCold",116,"","","","",60,""
151,"GreaterEssenceLightning",117,"","","","",60,""
152,"GreaterEssenceChaos",118,"","","","",60,""
153,"GreaterEssenceAttack",119,"","","","",60,""
154,"GreaterEssenceCaster",120,"","","","",60,""
155,"GreaterEssenceSpeed",121,"","","","",60,""
156,"GreaterEssenceAttribute",122,"","","","",60,""
157,"GreaterEssenceCritical",137,"","","","",60,""
158,"GreaterEssenceFireResist",147,"","","","",1,""
