"rownum","Id","Icon_DDSFile","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","Description","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","Reward","QuestFlag"
0,"GoldReward","Art/2DItems/QuestItems/RewardGold.dds","Gold","Or","Gold","ゴールド","골드","Ouro","Золото","Oro","ทอง","金幣","This quest will give you gold.","Cette quête vous rapportera de l'or.","Diese Quest belohnt dich mit Gold.","このクエストはゴールドが報酬として与えられる。","골드를 보상으로 주는 퀘스트입니다.","Esta missão lhe dará ouro.","Это задание принесёт вам золото.","Esta misión te dará oro.","เควสต์นี้จะมอบ ทอง","此任務會給你金幣。",1922,""
1,"GoldRewardTreasureVault","Art/2DItems/QuestItems/RewardGold.dds","Gold","Or","Gold","ゴールド","골드","Ouro","Золото","Oro","ทอง","金幣","This quest will give you gold.","Cette quête vous rapportera de l'or.","Diese Quest belohnt dich mit Gold.","このクエストはゴールドが報酬として与えられる。","골드를 보상으로 주는 퀘스트입니다.","Esta missão lhe dará ouro.","Это задание принесёт вам золото.","Esta misión te dará oro.","เควสต์นี้จะมอบ ทอง","此任務會給你金幣。",1922,4864
2,"ArtificersOrb","Art/2DItems/QuestItems/RewardArtificersOrb.dds","Artificer's Orb","Orbe d'artificier","Sphäre des Kunsthandwerkers","熟練工のオーブ","숙련공의 오브","Orbe do Artífice","Сфера астромантии","Orbe del artesano","Artificer's Orb","巧匠石","This quest will reward you with an Artificer's Orb","Vous obtiendrez un Orbe d'artificier en récompense de cette quête.","Diese Quest belohnt dich mit einer Sphäre des Kunsthandwerkers.","このクエストは熟練工のオーブが報酬として与えられる。","숙련공의 오브를 보상으로 주는 퀘스트입니다.","Ao concluir esta missão, você recebe um Orbe do Artífice.","В награду за это задание вы получите сферу астромантии.","Esta misión te dará un orbe del artesano como recompensa.","เควสต์นี้จะให้รางวัลเป็น Artificer's Orb","此任務會給你一個巧匠石做為獎勵",35,""
3,"ArtificersOrbTreasureVault","Art/2DItems/QuestItems/RewardArtificersOrb.dds","Artificer's Orb","Orbe d'artificier","Sphäre des Kunsthandwerkers","熟練工のオーブ","숙련공의 오브","Orbe do Artífice","Сфера астромантии","Orbe del artesano","Artificer's Orb","巧匠石","This quest will reward you with an Artificer's Orb","Vous obtiendrez un Orbe d'artificier en récompense de cette quête.","Diese Quest belohnt dich mit einer Sphäre des Kunsthandwerkers.","このクエストは熟練工のオーブが報酬として与えられる。","숙련공의 오브를 보상으로 주는 퀘스트입니다.","Ao concluir esta missão, você recebe um Orbe do Artífice.","В награду за это задание вы получите сферу астромантии.","Esta misión te dará un orbe del artesano como recompensa.","เควสต์นี้จะให้รางวัลเป็น Artificer's Orb","此任務會給你一個巧匠石做為獎勵",35,139
4,"BookOfSpecialiation","Art/2DItems/QuestItems/RewardBook.dds","Book of Specialisation","Livre de Spécialisation","Buch der Spezialisierung","特化の書","특화의 서","Livro de Especialização","Книга специализации","Libro de especialización","คัมภีร์เฉพาะทาง","專精之書","This quest will reward you with a Book of Specialiation.","Vous obtiendrez un Livre de Spécialisation en récompense de cette quête.","Diese Quest belohnt dich mit einem Buch der Spezialisierung.","このクエストは特化の書が報酬として与えられる。","특화의 서를 보상으로 주는 퀘스트입니다.","Ao concluir esta missão, você recebe um Livro de Especialização.","В награду за это задание вы получите Книгу специализации.","Esta misión te dará un libro de especialización como recompensa.","เควสต์นี้จะให้รางวัลเป็น คัมภีร์เฉพาะทาง","此任務會給你一本專精之書做為獎勵。",3638,""
5,"UncutSkillGem","Art/2DItems/QuestItems/RewardSkillGem.dds","Uncut Skill Gem","Gemme d'aptitude brute","Ungeschnittene Fertigkeitengemme","スキルジェムの原石","미가공 스킬 젬","Gema de Habilidade Bruta","Неогранённый камень умения","Gema de habilidad sin tallar","หินสกิลหยาบ","未切割的技能寶石","This quest will reward you with an Uncut Skill Gem.","Vous obtiendrez une Gemme d'aptitude brute en récompense de cette quête.","Diese Quest belohnt dich mit einer Ungeschnittenen Fertigkeitengemme.","このクエストはスキルジェムの原石が報酬として与えられる。","미가공 스킬 젬을 보상으로 주는 퀘스트입니다.","Ao concluir esta missão, você recebe uma Gema de Habilidade Bruta.","В награду за это задание вы получите неогранённый камень умения.","Esta misión te dará una gema de habilidad sin tallar como recompensa.","เควสต์นี้จะให้รางวัลเป็น หินสกิลหยาบ","此任務會給你一顆未切割的技能寶石做為獎勵。",3787,""
6,"UncutSkillGemTreasureVault","Art/2DItems/QuestItems/RewardSkillGem.dds","Uncut Skill Gem","Gemme d'aptitude brute","Ungeschnittene Fertigkeitengemme","スキルジェムの原石","미가공 스킬 젬","Gema de Habilidade Bruta","Неогранённый камень умения","Gema de habilidad sin tallar","หินสกิลหยาบ","未切割的技能寶石","This quest will reward you with an Uncut Skill Gem.","Vous obtiendrez une Gemme d'aptitude brute en récompense de cette quête.","Diese Quest belohnt dich mit einer Ungeschnittenen Fertigkeitengemme.","このクエストはスキルジェムの原石が報酬として与えられる。","미가공 스킬 젬을 보상으로 주는 퀘스트입니다.","Ao concluir esta missão, você recebe uma Gema de Habilidade Bruta.","В награду за это задание вы получите неогранённый камень умения.","Esta misión te dará una gema de habilidad sin tallar como recompensa.","เควสต์นี้จะให้รางวัลเป็น หินสกิลหยาบ","此任務會給你一顆未切割的技能寶石做為獎勵。",3787,4864
7,"UncutSupportGem","Art/2DItems/QuestItems/RewardSupportGem.dds","Uncut Support Gem","Gemme de soutien brute","Ungeschnittene Unterstützungsgemme","サポートジェムの原石","미가공 보조 젬","Gema de Reforço Bruta","Неогранённый камень поддержки","Gema de asistencia sin tallar","หินเสริมหยาบ","未切割的輔助寶石","This quest will reward you with an Uncut Support Gem.","Vous obtiendrez une Gemme de soutien brute en récompense de cette quête.","Diese Quest belohnt dich mit einer Ungeschnittenen Unterstützungsgemme.","このクエストはサポートジェムの原石が報酬として与えられる。","미가공 보조 젬을 보상으로 주는 퀘스트입니다.","Ao concluir esta missão, você recebe uma Gema de Reforço Bruta.","В награду за это задание вы получите неогранённый камень поддержки.","Esta misión te dará una gema de asistencia sin tallar como recompensa.","เควสต์นี้จะให้รางวัลเป็น หินเสริมหยาบ","此任務會給你一顆未切割的輔助寶石做為獎勵。",3790,""
8,"UncutBuffSkillGem","Art/2DItems/QuestItems/RewardSkillGemBuff.dds","Uncut Buff Skill Gem","Gemme d'effet bénéfique brute","Ungeschnittene Stärkung-Fertigkeitengemme","バフスキルジェムの原石","미가공 버프 스킬 젬","Gema de Habilidade de Bônus Bruta","Неогранённый камень эффекта","Gema de habilidad de efecto beneficioso sin tallar","หินสกิลบัฟหยาบ","未切割的增益技能寶石","This quest will reward you with an Uncut Buff Skill Gem.","Vous obtiendrez une Gemme d'effet bénéfique brute en récompense de cette quête.","Diese Quest belohnt dich mit einer Ungeschnittenen Stärkung-Fertigkeitengemme.","このクエストはバフスキルジェムの原石が報酬として与えられる。","미가공 버프 스킬 젬을 보상으로 주는 퀘스트입니다.","Ao concluir esta missão, você recebe uma Gema de Habilidade de Bônus Bruta.","В награду за это задание вы получите неогранённый камень эффекта.","Esta misión te dará una gema de habilidad de efecto beneficioso sin tallar como recompensa.","เควสต์นี้จะให้รางวัลเป็น หินสกิลบัฟหยาบ","此任務會給你一顆未切割的增益技能寶石作為獎勵。",4265,""
9,"ConsumablePermanentBenefit","Art/2DItems/QuestItems/RewardConsumableBuff.dds","Permanent Benefit Consumable","Consommable à bénéfice permanent","Verbrauchbarer permanenter Vorteil","永続効果消耗品","영구 혜택 소모품","Consumível de Benefício Permanente","Расходный предмет с постоянным эффектом","Consumible de ventaja permanente","ไอเทมใช้แล้วหมดไปที่ให้ผลถาวร","永久增益消耗品","This quest will reward you with a consumable that can be used to grant you a permanent benefit.","Vous obtiendrez un consommable en récompense de cette quête. Vous pourrez l'utiliser pour obtenir un bénéfice permanent.","Diese Quest belohnt dich mit einem verbrauchbaren Gegenstand, der dir einen permanenten Vorteil gewährt.","このクエストは永続的な恩恵を付与する消耗品が報酬として与えられる。","사용 시 영구적인 혜택을 부여하는 소모품을 보상으로 주는 퀘스트입니다.","Ao concluir esta missão, você recebe um consumível que pode ser usado para lhe conceder um benefício permanente.","В награду за это задание вы получите расходуемый предмет, который при использовании дарует вам постоянное улучшение персонажа.","Esta misión te dará un consumible como recompensa que podrás usar para recibir una ventaja permanente.","เควสต์นี้จะให้รางวัลเป็น ไอเทมที่ใช้แล้วหมดไป ซึ่งจะทำให้คุณได้รับผลดีอย่างหนึ่งโดยถาวร","此任務會給你一個使用後獲得永久增益的消耗品做為獎勵。","",""
