"rownum","Id","Title","Title (French)","Title (German)","Title (Japanese)","Title (Korean)","Title (Portuguese)","Title (Russian)","Title (Spanish)","Title (Thai)","Title (Traditional Chinese)","Description","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","f32_24","UIArt","SoundEffect","Video","[i32]_60","rid_76","rid_92","i32_108","i32_112"
0,"MapCompleted","Map Completed","Carte terminée","Karte abgeschlossen","マップを完了した","지도 완료","Mapa Concluído","Карта завершена","Mapa completado","ผ่านแผนที่สำเร็จ","完成的地圖","{0}","{0}","{0}","{0}","{0}","{0}","{0}","{0}","{0}","{0}",6,"Art/2DArt/UIImages/InGame/CompletionPopup/CompletionPopupMap",1081,"Art/Videos/Completion_DEFAULT.bk2","[180,56,480,50]","","",50,64
1,"CorruptedMapCompleted","Map Completed","Carte terminée","Karte abgeschlossen","マップを完了した","지도 완료","Mapa Concluído","Карта завершена","Mapa completado","ผ่านแผนที่สำเร็จ","完成的地圖","{0}","{0}","{0}","{0}","{0}","{0}","{0}","{0}","{0}","{0}",6,"Art/2DArt/UIImages/InGame/CompletionPopup/CompletionPopupMapCorruption",1081,"Art/Videos/Completion_DEFAULT.bk2","[180,56,480,50]","","",50,64
2,"NexusofCorruptionMapCompleted","Nexus of Corruption\nCleansed","Nexus de la Corruption\nPurifié","Nexus der Verderbtheit\ngereinigt","コラプトネクサス浄化済み","타락의 연결부\n정화됨","Nexus da Corrupção\nPurificado","Средоточие Порчи очищено","Nexo de corrupción\npurificado","ชำระล้าง\nศูนย์กลางมลทินสำเร็จ","腐化聖域\n已淨化","{0}","{0}","{0}","{0}","{0}","{0}","{0}","{0}","{0}","{0}",6,"Art/2DArt/UIImages/InGame/CompletionPopup/CompletionPopupNexus",1081,"Art/Videos/Completion_DEFAULT.bk2","[236,60,365,50]","","",50,64
3,"SanctumRoomCompleted","Room Completed","Salle terminée","Raum abgeschlossen","部屋を完了した","방 완료","Sala Concluída","Зал завершён","Sala completada","ห้องสำเร็จแล้ว","完成的房間","","","","","","","","","","",6,"Art/2DArt/UIImages/InGame/CompletionPopup/CompletionPopupSanctum",1082,"Art/Videos/Completion_SANCTUM.bk2","[180,56,480,50]","","",50,64
4,"UltimatumRoomCompleted","Room Completed","Salle terminée","Raum abgeschlossen","部屋を完了した","방 완료","Sala Concluída","Зал завершён","Sala completada","ห้องสำเร็จแล้ว","完成的房間","","","","","","","","","","",6,"Art/2DArt/UIImages/InGame/CompletionPopup/CompletionPopupUltimatumOneLine",1083,"Art/Videos/Completion_ULTIMATUM.bk2","[180,56,480,50]","","",50,64
5,"UltimatumTrialCompleted","Trial Completed","Épreuve terminée","Prüfung abgeschlossen","試練を完了した","시련 완료","Provação Concluída","Испытание завершено","Prueba completada","บททดสอบสำเร็จแล้ว","試煉完成","","","","","","","","","","",6,"Art/2DArt/UIImages/InGame/CompletionPopup/CompletionPopupUltimatumOneLine",1083,"Art/Videos/Completion_ULTIMATUM.bk2","[180,56,480,50]","","",50,64
6,"BossAvailable","Map Boss Available","Boss de Carte disponible","Verfügbarer Kartenboss","マップボスが出現した","지도 보스 있음","Chefe do Mapa Disponível","Доступен босс карты","Jefe de mapa disponible","เข้าถึงบอสประจำแผนที่ได้แล้ว","可挑戰的地圖頭目","","","","","","","","","","",6,"Art/2DArt/UIImages/InGame/CompletionPopup/CompletionPopupMap",1081,"","[180,56,480,50]","","",50,64
7,"AbyssOverrun","Abyssal Overrun","Envahissement abyssal","Von Abgründigen überrannt","アビサルが蹂躙した","심연의 존재가 득시글거림","Infestação Abissal","Захват Бездной","Invasión de abisales","พวกอะบิสรุกล้ำ","受到深淵佔據","A nearby map has been overrun","Une carte proche a été envahie","Eine nahegelegene Karte wurde überrannt.","近くのマップ1個がアビサルにより蹂躙された","주변의 지도에 심연의 존재가 득시글거립니다.","Um mapa próximo foi infestado","Карта поблизости была захвачена","Los abisales han invadido un mapa cercano","แผนที่ที่อยู่ใกล้ด่านหนึ่งถูกรุกล้ำ","一張周遭的地圖已受到深淵佔據",6,"Art/2DArt/UIImages/InGame/CompletionPopup/CompletionPopupAbyss",1081,"Art/Videos/Completion_KARUI.bk2","[180,56,480,50]","","",50,64
8,"AbyssOverrunAdjacent","Abyssal Overrun","Envahissement abyssal","Von Abgründigen überrannt","アビサルが蹂躙した","심연의 존재가 득시글거림","Infestação Abissal","Захват Бездной","Invasión de abisales","พวกอะบิสรุกล้ำ","受到深淵佔據","An adjacent map has been overrun","Une carte adjacente a été envahie","Eine benachbarte Karte wurde überrannt.","隣接マップ1個がアビサルにより蹂躙された","인접한 지도에 심연의 존재가 득시글거립니다.","Um mapa adjacente foi infestado","Соседняя карта была захвачена","Los abisales han invadido un mapa adyacente","แผนที่ข้างเคียงด่านหนึ่งถูกรุกล้ำ","一張相鄰的地圖已受到深淵佔據",6,"Art/2DArt/UIImages/InGame/CompletionPopup/CompletionPopupAbyss",1081,"Art/Videos/Completion_KARUI.bk2","[180,56,480,50]","","",50,64
9,"Incursion2RoomCompleted","Room Completed","Salle terminée","Raum abgeschlossen","部屋を完了した","방 완료","Sala Concluída","Зал завершён","Sala completada","ห้องสำเร็จแล้ว","房間已完成","","","","","","","","","","",6,"Art/2DArt/UIImages/InGame/QuestMessageBackgroundIncursion",1262,"Art/Videos/Completion_DEFAULT.bk2","[325,34,480,50]","","",50,64
10,"Incursion2TempleCompleted","Temple Complete","Temple terminé","Tempel abgeschlossen","神殿を完了した","사원 완료","Templo Concluído","Храм завершён","Templo completado","ผ่านวิหารสำเร็จแล้ว","神廟已完成","","","","","","","","","","",6,"Art/2DArt/UIImages/InGame/QuestMessageBackgroundIncursion",1262,"Art/Videos/Completion_DEFAULT.bk2","[325,34,480,50]","","",50,64
11,"DeliriumGigaMirrorPlaced","Grand Mirror Revealed","Grand Mirror Revealed","Großen Spiegel enthüllt","グランドミラーが公開されました","웅장한 거울 드러남","Espelho Imponente Revelado","Открыто большое зеркало","Espejo grande revelado","เผยกระจกมโหฬารแล้ว","宏偉之鏡已揭露","The Raven Trickster's curse spreads","The Raven Trickster's curse spreads","Der Fluch des Rabenschwindlers breitet sich aus","レイヴントリックスターの呪いが広まっている","큰까마귀 협잡꾼의 저주가 퍼집니다.","A maldição do Corvo Trapaceiro se espalha","Проклятие Ворона-Плута разносится дальше","La maldición del Cuervo embaucador se propaga","คำสาปของเทพเรเวนผู้ลวงหลอกยังลุกลาม","渡鴉欺詐者的詛咒已然擴散",6,"Art/2DArt/UIImages/InGame/CompletionPopup/CompletionPopupDelirium",1081,"Art/Videos/Completion_DEFAULT.bk2","[180,56,480,50]","","",50,50
12,"AscendancyPointsGained","2 Ascendancy Points Gained","2 Points d'Ascendance obtenus","2 Aszendenzpunkte erhalten","アセンダンシーポイントを2ポイント獲得した","전직 포인트 2포인트 획득","Ganhou 2 Pontos de Ascendência","Получено 2 очка Восхождения","2 puntos de ascendencia obtenidos","ได้รับแต้มคลาสเสริม 2 แต้ม","獲得2點昇華點數","Open the passive skill tree to spend them","Ouvrez l'Arbre des Talents pour les dépenser","Öffne den passiven Fertigkeitenbaum, um sie zu verwenden.","パッシブスキルツリーを開き使用しよう","패시브 스킬 트리를 열어 사용할 수 있습니다","Abra a árvore de habilidades passivas para atribuir","Откройте древо пассивных умений, чтобы их потратить","Abre el árbol de habilidades pasivas para gastarlos","เปิดตารางพาสซีฟเพื่อใช้แต้มเหล่านี้","前往天賦樹來分配它們",3.14,"Art/2DArt/UIImages/InGame/CompletionPopup/CompletionPopupDefault",1081,"Art/Videos/Completion_DEFAULT.bk2","[180,56,480,50]","","",50,50
