"rownum","CharacterToOverrideFor","SkillToOverride","Override"
0,1,2683,4786
1,1,2680,4787
2,1,4555,4788
3,1,4554,4789
4,1,4545,4547
5,1,3243,4790
6,1,3244,4791
7,1,2915,3204
8,1,2944,3207
9,1,2980,2584
10,1,3012,2587
11,1,3035,3130
12,1,3063,3133
13,1,3334,2638
14,1,3317,2639
15,1,1391,2641
16,1,1381,2645
17,1,1396,2642
18,1,1387,3350
19,1,1386,3351
20,1,3224,3227
21,1,3225,3228
22,1,3226,3229
23,8,4493,5439
24,8,4500,5440
25,8,4486,5441
26,8,4492,5442
27,8,4494,5443
28,8,4495,5444
29,8,4544,5445
30,8,4501,5446
31,8,4455,5447
32,8,1828,5448
33,8,1829,5449
34,8,1830,5450
35,8,2858,5451
36,8,3500,5452
37,8,3501,5453
38,8,3510,5454
39,8,4453,5455
40,8,4454,5456
41,11,4011,5457
42,11,4012,5458
43,11,2727,5459
44,11,4559,5477
45,11,4560,5478
46,11,2667,5479
47,11,4550,5463
48,11,4551,5476
49,11,2528,5464
50,11,2525,5465
51,11,2526,5466
52,11,2537,5467
53,11,1845,5468
54,11,1846,5469
55,11,1880,5470
56,11,1869,5471
57,11,3567,5472
58,11,3569,5473
59,11,3570,5474
60,11,3584,5475
