"rownum","Id","StoredItem","XOffset","YOffset","FirstSlotIndex","Width","Height","SlotSize","i32_48","SlotStyle","ShowIfEmpty"
0,"Metadata/Items/Currency/CurrencyAfflictionShard",193,372,85,0,1,1,78,0,2,1
1,"Metadata/Items/MapFragments/CurrencyAfflictionFragment",888,492,85,1,1,1,78,0,3,1
2,"Metadata/Items/Currency/DistilledEmotion1",1093,100,295,2,1,1,78,0,0,1
3,"Metadata/Items/Currency/DistilledEmotion2",1094,200,295,3,1,1,78,0,0,1
4,"Metadata/Items/Currency/DistilledEmotion3",1095,300,295,4,1,1,78,0,0,1
5,"Metadata/Items/Currency/DistilledEmotion4",1096,150,395,5,1,1,78,0,2,1
6,"Metadata/Items/Currency/DistilledEmotion5",1097,250,395,6,1,1,78,0,2,1
7,"Metadata/Items/Currency/DistilledEmotion6",1098,560,295,7,1,1,78,0,2,1
8,"Metadata/Items/Currency/DistilledEmotion7",1099,660,295,8,1,1,78,0,2,1
9,"Metadata/Items/Currency/DistilledEmotion8",1100,760,295,9,1,1,78,0,3,1
10,"Metadata/Items/Currency/DistilledEmotion9",1101,610,395,10,1,1,78,0,3,1
11,"Metadata/Items/Currency/DistilledEmotion10",1102,710,395,11,1,1,78,0,3,1
12,"DeliriumMapSlot1","",200,185,12,1,1,78,0,1,""
13,"DeliriumMapSlot2","",200,185,13,1,1,78,0,1,""
14,"DeliriumMapSlot3","",200,185,14,1,1,78,0,1,""
15,"DeliriumMapSlot4","",200,185,15,1,1,78,0,1,""
16,"DeliriumMapSlot5","",200,185,16,1,1,78,0,1,""
17,"DeliriumMapSlot6","",200,185,17,1,1,78,0,1,""
18,"DeliriumMapSlot7","",200,185,18,1,1,78,0,1,""
19,"DeliriumMapSlot8","",200,185,19,1,1,78,0,1,""
20,"DeliriumMapSlot9","",200,185,20,1,1,78,0,1,""
21,"DeliriumMapSlot10","",200,185,21,1,1,78,0,1,""
22,"DeliriumMapSlot11","",200,185,22,1,1,78,0,1,""
23,"DeliriumMapSlot12","",200,185,23,1,1,78,0,1,""
24,"DeliriumMapSlot13","",200,185,24,1,1,78,0,1,""
25,"DeliriumMapSlot14","",200,185,25,1,1,78,0,1,""
26,"DeliriumMapSlot15","",200,185,26,1,1,78,0,1,""
27,"DeliriumMapSlot16","",200,185,27,1,1,78,0,1,""
28,"DeliriumMapSlot17","",200,185,28,1,1,78,0,1,""
29,"DeliriumMapSlot18","",200,185,29,1,1,78,0,1,""
30,"DeliriumMapSlot19","",200,185,30,1,1,78,0,1,""
31,"DeliriumMapSlot20","",200,185,31,1,1,78,0,1,""
32,"DeliriumMapSlot21","",200,185,32,1,1,78,0,1,""
33,"DeliriumMapSlot22","",200,185,33,1,1,78,0,1,""
34,"DeliriumMapSlot23","",200,185,34,1,1,78,0,1,""
35,"DeliriumMapSlot24","",200,185,35,1,1,78,0,1,""
36,"DeliriumMapSlot25","",200,185,36,1,1,78,0,1,""
37,"DeliriumMapSlot26","",200,185,37,1,1,78,0,1,""
38,"DeliriumMapSlot27","",200,185,38,1,1,78,0,1,""
39,"DeliriumMapSlot28","",200,185,39,1,1,78,0,1,""
40,"Metadata/Items/Currency/DistilledEmotionTimeLost1",1103,100,520,40,1,1,78,0,0,1
41,"Metadata/Items/Currency/DistilledEmotionTimeLost2",1104,200,520,41,1,1,78,0,0,1
42,"Metadata/Items/Currency/DistilledEmotionTimeLost3",1105,300,520,42,1,1,78,0,0,1
43,"Metadata/Items/Currency/DistilledEmotionTimeLost4",1106,150,620,43,1,1,78,0,2,1
44,"Metadata/Items/Currency/DistilledEmotionTimeLost5",1107,250,620,44,1,1,78,0,2,1
45,"Metadata/Items/Currency/DistilledEmotionTimeLost6",1108,560,520,45,1,1,78,0,2,1
46,"Metadata/Items/Currency/DistilledEmotionTimeLost7",1109,660,520,46,1,1,78,0,2,1
47,"Metadata/Items/Currency/DistilledEmotionTimeLost8",1110,760,520,47,1,1,78,0,3,1
48,"Metadata/Items/Currency/DistilledEmotionTimeLost9",1111,610,620,48,1,1,78,0,3,1
49,"Metadata/Items/Currency/DistilledEmotionTimeLost10",1112,710,620,49,1,1,78,0,3,1
50,"Metadata/Items/Currency/EndgameDistilledEmotion1",1113,120,750,50,1,1,78,0,3,1
51,"Metadata/Items/Currency/EndgameDistilledEmotion2",1114,223,750,51,1,1,78,0,3,1
52,"Metadata/Items/Currency/EndgameDistilledEmotion3",1115,326,750,52,1,1,78,0,3,1
53,"Metadata/Items/Currency/EndgameDistilledEmotionTimeLost1",1116,529,750,53,1,1,78,0,3,1
54,"Metadata/Items/Currency/EndgameDistilledEmotionTimeLost2",1117,632,750,54,1,1,78,0,3,1
55,"Metadata/Items/Currency/EndgameDistilledEmotionTimeLost3",1118,735,750,55,1,1,78,0,3,1
56,"Metadata/Items/Currency/Delirium/DeliriumPinnacleKey",3772,430,185,56,1,1,78,0,3,1
57,"Jewel1","",430,350,57,1,1,78,2,0,1
58,"Jewel2","",430,450,58,1,1,78,2,0,1
59,"Jewel3","",430,550,59,1,1,78,2,0,1
