"rownum","Id","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","Art","ParentTab","bool_32"
0,"Fragments","Fragments","Fragments","Fragmente","フラグメント","조각","Fragmentos","Фрагменты","Fragmentos","ชิ้นส่วน","碎片","Art/2DArt/UIImages/InGame/MTX/FragmentTab/FragmentStashIconFragment","",""
1,"Tablets","Tablets","Tablettes","Tafeln","石板","서판","Tábuas","Плитки","Tablillas","แผ่นหิน","碑牌","Art/2DArt/UIImages/InGame/MTX/FragmentTab/FragmentStashIconTablet","",""
2,"Trials","Trials","Épreuves","Prüfungen","トライアル","시험","Provações","Испытания","Pruebas","บททดสอบ","試煉","Art/2DArt/UIImages/InGame/MTX/FragmentTab/FragmentStashIconTrials","",""
3,"TabletsPrecursor","Precursor Tablets","Tablettes des Prédécesseurs","Wegbereitertafeln","先人の石板","선도자 서판","Tábuas Precursoras","Плитки Предтеч","Tablillas precursoras","แผ่นหินก่อนกาล","先行者碑牌","Art/2DArt/UIImages/InGame/MTX/FragmentTab/FragmentStashTabletPrecursor",1,""
4,"TabletsRitual","Ritual Tablets","Tablettes de Rituel","Ritual-Tafeln","リチュアルの石板","의식 서판","Tábuas de Ritual","Плитки Ритуала","Tablillas de ritual","แผ่นหินพิธีกรรม","祭祀碑牌","Art/2DArt/UIImages/InGame/MTX/FragmentTab/FragmentStashTabletRitual",1,""
5,"TabletsExpedition","Expedition Tablets","Tablettes d'Expédition","Expedition-Tafeln","エクスペディションの石板","탐험 서판","Tábuas de Expedição","Плитки Экспедиции","Tablillas de expedición","แผ่นหินกองสำรวจ","探險碑牌","Art/2DArt/UIImages/InGame/MTX/FragmentTab/FragmentStashTabletExpedition",1,""
6,"TabletsDelirium","Delirium Tablets","Tablettes de Délire","Delirium-Tafeln","デリリウムの石板","환영 서판","Tábuas de Delírio","Плитки Делириума","Tablillas de delirio","แผ่นหินเดลิเรียม","譫妄碑牌","Art/2DArt/UIImages/InGame/MTX/FragmentTab/FragmentStashTabletDelirium",1,""
7,"TabletsBreach","Breach Tablets","Tablettes de Brèche","Riss-Tafeln","ブリーチの石板","균열 서판","Tábuas de Fenda","Плитки Разлома","Tablillas de fisura","แผ่นหินบรีช","裂痕碑牌","Art/2DArt/UIImages/InGame/MTX/FragmentTab/FragmentStashTabletBreach",1,""
8,"TabletsAbyss","Abyss Tablets","Tablettes d'Abysse","Abgrund-Tafeln","アビスの石板","심연 서판","Tábuas de Abismo","Плитки Бездны","Tablillas de abismo","แผ่นหินอะบิส","深淵碑牌","Art/2DArt/UIImages/InGame/MTX/FragmentTab/FragmentStashTabletAbyss",1,""
9,"TabletsIncursion","Temple Tablets","Tablettes du Temple","Tempel-Tafeln","神殿の石板","사원 서판","Tábuas do Templo","Плитки Храма","Tablillas del templo","แผ่นหินวิหาร","神廟碑牌","Art/2DArt/UIImages/InGame/MTX/FragmentTab/FragmentStashTabletIncursion",1,""
10,"TabletsBoss","Overseer Tablets","Tablettes du Superviseur","Aufseher-Tafeln","監督官の石板","감독관 서판","Tábuas do Supervisor","Плитки Смотрителя","Tablillas del capataz","แผ่นหินผู้คุม","總督碑牌","Art/2DArt/UIImages/InGame/MTX/FragmentTab/FragmentStashTabletBoss",1,""
11,"TabletsUnique","Unique Tablets","Tablettes Uniques","Einzigartige Tafeln","ユニークの石板","고유 서판","Tábuas Únicas","Уникальные плитки","Tablillas únicas","แผ่นหินยูนิค","傳奇碑牌","Art/2DArt/UIImages/InGame/MTX/FragmentTab/FragmentStashTabletUnique",1,""
12,"TrialsSekhemas","Djinn Baryas","Baryas du Djinn","Djinn-Barya","ジンのバリャ","진 바리야","Baryas de Djinn","Барии джинна","Baryas de genio","บาร์ย่าจินน์","巨靈硬幣","Art/2DArt/UIImages/InGame/MTX/FragmentTab/FragmentStashTrialSekhemas",2,""
13,"TrialsChaos","Inscribed Ultimatums","Ultimatums gravés","Inschriften des Ultimatums","アルティメイタムの刻印","새겨진 결전","Ultimatos Inscritos","Начертанные Ультиматумы","Ultimátums inscritos","คำขาดจารึก","最後通牒雕刻","Art/2DArt/UIImages/InGame/MTX/FragmentTab/FragmentStashTrialChaos",2,""
