"rownum","Index","SkillGems","bool_20","string_21","string_21 (French)","string_21 (German)","string_21 (Japanese)","string_21 (Korean)","string_21 (Portuguese)","string_21 (Russian)","string_21 (Spanish)","string_21 (Thai)","string_21 (Traditional Chinese)"
0,1,[297],"","","","","","","","","","",""
1,2,[348],"","","","","","","","","","",""
2,3,[478],"","","","","","","","","","",""
3,4,[665],"","","","","","","","","","",""
4,5,[671],"","","","","","","","","","",""
5,6,[672],"","","","","","","","","","",""
6,7,[684],"","","","","","","","","","",""
7,8,[703],"","","","","","","","","","",""
8,9,[704],"","","","","","","","","","",""
9,10,[705],"","","","","","","","","","",""
10,11,[706],"","","","","","","","","","",""
11,12,[711],"","","","","","","","","","",""
12,13,[34],"","","","","","","","","","",""
13,14,[46],"","","","","","","","","","",""
14,15,[89],"","","","","","","","","","",""
15,16,[118],"","","","","","","","","","",""
16,17,[123],"","","","","","","","","","",""
17,18,[182],"","","","","","","","","","",""
18,19,[185],"","","","","","","","","","",""
19,20,[257],"","","","","","","","","","",""
20,21,[359],"","","","","","","","","","",""
21,22,[446],"","","","","","","","","","",""
22,23,[483],"","","","","","","","","","",""
23,24,[493],"","","","","","","","","","",""
24,25,[502],"","","","","","","","","","",""
25,26,[681],"","","","","","","","","","",""
26,27,[707],"","","","","","","","","","",""
27,28,[720],"","","","","","","","","","",""
28,29,[56],"","","","","","","","","","",""
29,30,[91],"","","","","","","","","","",""
30,31,[92],"","","","","","","","","","",""
31,32,[121],"","","","","","","","","","",""
32,33,[165],"","","","","","","","","","",""
33,34,[170],"","","","","","","","","","",""
34,35,[198],"","","","","","","","","","",""
35,36,[201],"","","","","","","","","","",""
36,37,[234],"","","","","","","","","","",""
37,38,[250],"","","","","","","","","","",""
38,39,[486],"","","","","","","","","","",""
39,40,[500],"","","","","","","","","","",""
40,41,[505],"","","","","","","","","","",""
41,42,[611],"","","","","","","","","","",""
42,43,[673],"","","","","","","","","","",""
43,44,[682],"","","","","","","","","","",""
44,45,[40],"","","","","","","","","","",""
45,46,[49],"","","","","","","","","","",""
46,47,[50],"","","","","","","","","","",""
47,48,[53],"","","","","","","","","","",""
48,49,[112],"","","","","","","","","","",""
49,50,[117],"","","","","","","","","","",""
50,51,[161],"","","","","","","","","","",""
51,52,[187],"","","","","","","","","","",""
52,53,[247],"","","","","","","","","","",""
53,54,[364],"","","","","","","","","","",""
54,55,[370],"","","","","","","","","","",""
55,56,[384],"","","","","","","","","","",""
56,57,[394],"","","","","","","","","","",""
57,58,[447],"","","","","","","","","","",""
58,59,[504],"","","","","","","","","","",""
59,60,[614],"","","","","","","","","","",""
