"rownum","MonsterVarietiesKey","Spirit_ModsKeys","Touched_ModsKeys","Possessed_ModsKeys","MinZoneLevel","MaxZoneLevel","SpawnWeight","SummonedMonster_MonsterVarietiesKey","i32_92","ModsKeys0","ModsKeys1","StatsKeys1","i32_144","Type","ModsKeys3","QuestFlags","StatsKeys2","SpawnTags","SpawnWeights","rid_232","ModsKeys4","DropsBaseItems","i32_280","i32_284","[i32]_288","MapChanceStat","MapEnabledStat","ChestMod","MiscBeam","StrongboxEffect"
0,2138,[],"[14170,14156]","[14162,14160]",4,100,100,"",168,[],[],21660,2,0,"[14262,14167]",[],21981,"[1071,1073,0]","[1500,1500,1000]","",14171,"[756,722,707]",0,15,"[7,2,1]","",[],14203,787,1439
1,2139,[],"[14173,14156]","[14162,14160]",4,100,100,"",168,[],[],21660,2,0,"[14263,14167]",[],21982,"[1074,1072,0]","[1500,1500,1000]","",14174,"[754,705,715]",0,15,"[8,1,1]","",[],14204,787,1439
2,2140,[],"[14176,14156]","[14162,14160]",4,100,100,"",168,[],[],21660,2,0,"[14264,14167]",[],21983,"[1073,1074,0]","[1500,1500,1000]","",14177,"[755,710,711]",0,15,"[8,1,1]","",[],14205,787,1439
3,2141,[],"[14179,14157]","[14163,14160]",4,100,100,"",168,[],[],21661,2,1,"[14265,14168]",[],21984,"[1073,1071,0]","[1500,1500,1000]","",14180,"[761,721,706]",0,15,"[7,2,1]","",[],14206,788,1442
4,2142,[],"[14182,14157]","[14163,14160]",4,100,100,"",168,[],[],21661,2,1,"[14266,14168]",[],21985,"[1072,1074,0]","[1500,1500,1000]","",14183,"[760,717]",0,15,"[7,1]","",[],14207,788,1442
5,2143,[],"[14185,14157]","[14163,14160]",4,100,100,"",168,[],[],21661,2,1,"[14267,14168]",[],21986,"[1081,1072,1070,0]","[0,1500,1500,1000]","",14186,"[762,714]",0,15,"[7,1]","",[],14208,788,1442
6,2144,[],"[14188,14158]","[14164,14160]",4,100,100,"",168,[],[],21662,2,2,"[14268,14169]",[],21987,"[1071,1073,0]","[1500,1500,1000]","",14189,"[758,723,704]",0,15,"[7,2,1]","",[],14209,789,1441
7,2145,[],"[14191,14158]","[14164,14160]",4,100,100,"",168,[],[],21662,2,2,"[14269,14169]",[],21988,"[1073,1070,0]","[1500,1500,1000]","",14192,"[759,709]",0,15,"[7,1]","",[],14210,789,1441
8,2147,[],"[14194,14158]","[14164,14160]",4,100,100,"",168,[],[],21662,2,2,"[14270,14169]",[],21989,"[1075,1072,0]","[1500,1500,1000]","",14195,"[757,708,716]",0,15,"[8,1,1]","",[],14211,789,1441
9,2148,[],"[14170,14156]","[14162,14160]",0,100,0,"",168,[],[],"",2,0,"[14262,14167]",[],"",[],[],"",14172,[],0,0,[],"",[],14203,787,1439
10,2149,[],"[14173,14156]","[14162,14160]",0,100,0,"",168,[],[],"",2,0,"[14263,14167]",[],"",[],[],"",14175,[],0,0,[],"",[],14204,787,1439
11,2150,[],"[14176,14156]","[14162,14160]",0,100,0,"",168,[],[],"",2,0,"[14264,14167]",[],"",[],[],"",14178,[],0,0,[],"",[],14205,787,1439
12,2151,[],"[14179,14157]","[14163,14160]",0,100,0,"",168,[],[],"",2,1,"[14265,14168]",[],"",[],[],"",14181,[],0,0,[],"",[],14206,788,1442
13,2152,[],"[14182,14157]","[14163,14160]",0,100,0,"",168,[],[],"",2,1,"[14266,14168]",[],"",[],[],"",14184,[],0,0,[],"",[],14207,788,1442
14,2153,[],"[14185,14157]","[14163,14160]",0,100,0,"",168,[],[],"",2,1,"[14267,14168]",[],"",[],[],"",14187,[],0,0,[],"",[],14208,788,1442
15,2154,[],"[14188,14158]","[14164,14160]",0,100,0,"",168,[],[],"",2,2,"[14268,14169]",[],"",[],[],"",14190,[],0,0,[],"",[],14209,789,1441
16,2155,[],"[14191,14158]","[14164,14160]",0,100,0,"",168,[],[],"",2,2,"[14269,14169]",[],"",[],[],"",14193,[],0,0,[],"",[],14210,789,1441
17,2156,[],"[14194,14158]","[14164,14160]",0,100,0,"",168,[],[],"",2,2,"[14270,14169]",[],"",[],[],"",14196,[],0,0,[],"",[],14211,789,1441
18,2157,[],"[14197,14159]","[14165,14160]",33,100,35,"",168,[14198],[14199],21663,1,3,"[14271,14165]",[5123],"",[],[],"",14200,"[763,712]",0,100,"[1,1]",24863,[],14212,790,1440
19,2158,[],"[14201,14159]","[14165,14160]",66,100,35,"",168,[],[],21663,0,3,"[14272,14165]",[5122],"",[],[],"",14202,"[764,713]",0,100,"[1,1]","",[24864],14213,790,1440
20,2146,[],"[14191,14158]","[14164,14161]",0,100,0,"",168,[],[],21662,2,2,"[14269,14169]",[],"",[],[],"",14276,[],0,0,[],"",[],14210,789,1441
21,2700,[15463],"[15462,14159]","[14166,14160]",0,100,0,"",168,[],[],"",2,4,"[15464,14166]",[],"",[],[],"",15461,[],0,0,[],"",[],14214,790,1438
