"rownum","Id","Types","ExtraMods","TypesFiltered","PreviousTier","bool_72","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","Icon","HASH16","[string]_91","BuffTemplates","Tier","Description","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","[rid]_135","TextAudio","rid_167","MapStats","MapStatValues","MapMods","i32_231","i32_235","i32_239","[i32]_243","i32_259","i32_263","bool_267","[i32]_268","i32_284","i32_288"
0,"PlayerDebuffRecoveryReduction1",[0],[],[],[],1,"Reduced Recovery","Récupération réduite","Verringerte Wiederherstellung","回復減少","회복 감소","Recuperação Reduzida","Уменьшенное восстановление","Recuperación reducida","ลดการเติม ระดับ 1","減少回復","Art/2DArt/UIImages/InGame/Ultimatum/Icons/ReducedRecovery",5772,[],[0],1,"20% reduced Life, Mana, and [EnergyShield|Energy Shield] Recovery Rate","20% de Réduction du Taux de Récupération de Vie, de Mana et de [EnergyShield|Bouclier d'énergie]","20% verringerte Lebens-, Mana- und [EnergyShield|Energieschild]-Wiederherstellungsrate","ライフ、マナおよび[EnergyShield|エナジーシールド]の回復レートが20%減少する","생명력, 마나, [EnergyShield|에너지 보호막] 회복 속도 20% 감소","Recuperação de vida, mana e [EnergyShield|escudo de energia] reduzida em 20%","20% снижение скорости восстановления здоровья, маны и [EnergyShield|энергетического щита]","Velocidades de recuperación de vida, maná y [EnergyShield|escudo de energía] reducida un 20%","ลดความเร็วในการ เติม พลังชีวิต, มานา, [EnergyShield|โล่พลังงาน] 20%","減少 20% 生命、魔力和[EnergyShield|能量護盾]恢復率",[],11268,"",[8205],[4],[],0,0,0,[],1,0,"",[],0,0
1,"PlayerDebuffRecoveryReduction2",[0],[],[],[0],1,"Reduced Recovery II","Récupération réduite II","Verringerte Wiederherstellung II","回復減少 II","회복 감소 II","Recuperação Reduzida II","Уменьшенное восстановление II","Recuperación reducida II","ลดการเติม ระดับ 2","減少回復 II","Art/2DArt/UIImages/InGame/Ultimatum/Icons/ReducedRecovery",37639,[],[1],2,"35% reduced Life, Mana, and [EnergyShield|Energy Shield] Recovery Rate","35% de Réduction du Taux de Récupération de Vie, de Mana et de [EnergyShield|Bouclier d'énergie]","35% verringerte Lebens-, Mana- und [EnergyShield|Energieschild]-Wiederherstellungsrate","ライフ、マナおよび[EnergyShield|エナジーシールド]の回復レートが35%減少する","생명력, 마나, [EnergyShield|에너지 보호막] 회복 속도 35% 감소","Recuperação de vida, mana e [EnergyShield|escudo de energia] reduzida em 35%","35% снижение скорости восстановления здоровья, маны и [EnergyShield|энергетического щита]","Velocidades de recuperación de vida, maná y [EnergyShield|escudo de energía] reducida un 35%","ลดความเร็วในการ เติม พลังชีวิต, มานา, [EnergyShield|โล่พลังงาน] 35%","減少 35% 生命、魔力和[EnergyShield|能量護盾]恢復率",[],11274,"",[8205],[9],[],0,0,0,[0],2,0,"",[],0,0
2,"PlayerDebuffRecoveryReduction3",[0],[],[],[1],1,"Reduced Recovery III","Récupération réduite III","Verringerte Wiederherstellung III","回復減少 III","회복 감소 III","Recuperação Reduzida III","Уменьшенное восстановление III","Recuperación reducida III","ลดการเติม ระดับ 3","減少回復 III","Art/2DArt/UIImages/InGame/Ultimatum/Icons/ReducedRecovery",41323,[],[2],3,"50% reduced Life, Mana, and [EnergyShield|Energy Shield] Recovery Rate","50% de Réduction du Taux de Récupération de Vie, de Mana et de [EnergyShield|Bouclier d'énergie]","50% verringerte Lebens-, Mana- und [EnergyShield|Energieschild]-Wiederherstellungsrate","ライフ、マナおよび[EnergyShield|エナジーシールド]の回復レートが50%減少する","생명력, 마나, [EnergyShield|에너지 보호막] 회복 속도 50% 감소","Recuperação de vida, mana e [EnergyShield|escudo de energia] reduzida em 50%","50% снижение скорости восстановления здоровья, маны и [EnergyShield|энергетического щита]","Velocidades de recuperación de vida, maná y [EnergyShield|escudo de energía] reducidas un 50%","ลดความเร็วในการ เติม พลังชีวิต, มานา, [EnergyShield|โล่พลังงาน] 50%","減少 50% 生命、魔力和[EnergyShield|能量護盾]恢復率",[],11274,"",[8205],[15],[],0,0,0,"[1,0]",3,0,"",[],0,0
3,"PlayerDebuffRecoveryReduction4",[0],[],[],[2],1,"Reduced Recovery IV","Récupération réduite IV","Verringerte Wiederherstellung IV","回復減少 IV","회복 감소 IV","Recuperação Reduzida IV","Уменьшенное восстановление IV","Recuperación reducida IV","ลดการเติม ระดับ 4","減少回復 IV","Art/2DArt/UIImages/InGame/Ultimatum/Icons/ReducedRecovery",54351,[],[3],4,"65% reduced Life, Mana, and [EnergyShield|Energy Shield] Recovery Rate","65% de Réduction du Taux de Récupération de Vie, de Mana et de [EnergyShield|Bouclier d'énergie]","65% verringerte Lebens-, Mana- und [EnergyShield|Energieschild]-Wiederherstellungsrate","ライフ、マナおよび[EnergyShield|エナジーシールド]の回復レートが65%減少する","생명력, 마나, [EnergyShield|에너지 보호막] 회복 속도 65% 감소","Recuperação de vida, mana e [EnergyShield|escudo de energia] reduzida em 65%","65% снижение скорости восстановления здоровья, маны и [EnergyShield|энергетического щита]","Velocidades de recuperación de vida, maná y [EnergyShield|escudo de energía] reducidas un 65%","ลดความเร็วในการ เติม พลังชีวิต, มานา, [EnergyShield|โล่พลังงาน] 65%","減少 65% 生命、魔力和[EnergyShield|能量護盾]恢復率",[],11274,"",[8205],[22],[],0,0,0,"[2,0,1]",4,0,"",[],0,0
4,"PlayerDebuffRecoveryReduction5",[0],[],[],[3],1,"Reduced Recovery V","Récupération réduite V","Verringerte Wiederherstellung V","回復減少 V","회복 감소 V","Recuperação Reduzida V","Уменьшенное восстановление V","Recuperación reducida V","ลดการเติม ระดับ 5","減少回復 V","Art/2DArt/UIImages/InGame/Ultimatum/Icons/ReducedRecovery",6731,[],[4],5,"80% reduced Life, Mana, and [EnergyShield|Energy Shield] Recovery Rate","80% de Réduction du Taux de Récupération de Vie, de Mana et de [EnergyShield|Bouclier d'énergie]","80% verringerte Lebens-, Mana- und [EnergyShield|Energieschild]-Wiederherstellungsrate","ライフ、マナおよび[EnergyShield|エナジーシールド]の回復レートが80%減少する","생명력, 마나, [EnergyShield|에너지 보호막] 회복 속도 80% 감소","Recuperação de vida, mana e [EnergyShield|escudo de energia] reduzida em 80%","80% снижение скорости восстановления здоровья, маны и [EnergyShield|энергетического щита]","Velocidades de recuperación de vida, maná y [EnergyShield|escudo de energía] reducidas un 80%","ลดความเร็วในการ เติม พลังชีวิต, มานา, [EnergyShield|โล่พลังงาน] 80%","減少 80% 生命、魔力和[EnergyShield|能量護盾]恢復率",[],11274,"",[8205],[30],[],0,0,0,"[3,0,2,0]",-16843010,-16843010,"",[],0,0
5,"PlayerDebuffAreaAndProjectileSpeed","[0,1]",[],[1],[],1,"Lessened Reach","Portée écourtée","Verringerte Reichweite","狭まる効果範囲","거리 감폭","Alcance Reduzido","Уменьшение досягаемости","Alcance disminuido","ด้อยระยะ ระดับ 1","縮小範圍","Art/2DArt/UIImages/InGame/Ultimatum/Icons/LessenedReach",50320,[],[5],1,"20% less Area of Effect and [Projectile] Speed","20% de Perte de Zone d'effet et de Vitesse des [Projectile|Projectiles]","20% weniger Wirkungsbereich und [Projectile|Projektil]geschwindigkeit","効果範囲および[Projectile|投射物]スピードが20%低下する","플레이어의 효과 범위와 [Projectile|투사체] 속도 20% 감폭","ㅤ-20% de área de efeito e velocidade de [Projectile|projétil]","На 20% меньшая область действия и скорость [Projectile|снарядов]","20% menos de área de efecto y velocidad de [Projectile|proyectiles]","ลดพื้นที่ส่งผลและความเร็ว[Projectile|โพรเจกไทล์] อีก 20%","20% 更少效果範圍和[Projectile|投射物]速度",[],11151,"",[8205],[4],[],0,0,0,[],6,0,"",[],0,0
6,"PlayerDebuffAreaAndProjectileSpeed2","[0,1]",[],[1],[5],1,"Lessened Reach II","Portée écourtée II","Verringerte Reichweite II","狭まる効果範囲 II","거리 감폭 II","Alcance Reduzido II","Уменьшение досягаемости II","Alcance disminuido II","ด้อยระยะ ระดับ 2","縮小範圍 II","Art/2DArt/UIImages/InGame/Ultimatum/Icons/LessenedReach",52154,[],[6],2,"35% less Area of Effect and [Projectile] Speed","35% de Perte de Zone d'effet et de Vitesse des [Projectile|Projectiles]","35% weniger Wirkungsbereich und [Projectile|Projektil]geschwindigkeit","効果範囲および[Projectile|投射物]スピードが35%低下する","플레이어의 효과 범위와 [Projectile|투사체] 속도 35% 감폭","ㅤ-35% de área de efeito e velocidade de [Projectile|projétil]","На 35% меньшая область действия и скорость [Projectile|снарядов]","35% menos de área de efecto y velocidad de [Projectile|proyectiles]","ลดพื้นที่ส่งผลและความเร็ว[Projectile|โพรเจกไทล์] อีก 35%","35% 更少效果範圍和[Projectile|投射物]速度",[],11151,"",[8205],[9],[],0,0,0,[5],7,0,"",[],0,0
7,"PlayerDebuffAreaAndProjectileSpeed3","[0,1]",[],[1],[6],1,"Lessened Reach III","Portée écourtée III","Verringerte Reichweite III","狭まる効果範囲 III","거리 감폭 III","Alcance Reduzido III","Уменьшение досягаемости III","Alcance disminuido III","ด้อยระยะ ระดับ 3","縮小範圍 III","Art/2DArt/UIImages/InGame/Ultimatum/Icons/LessenedReach",47426,[],[7],3,"50% less Area of Effect and [Projectile] Speed","50% de Perte de Zone d'effet et de Vitesse des [Projectile|Projectiles]","50% weniger Wirkungsbereich und [Projectile|Projektil]geschwindigkeit","効果範囲および[Projectile|投射物]スピードが50%低下する","플레이어의 효과 범위와 [Projectile|투사체] 속도 50% 감폭","ㅤ-50% de área de efeito e velocidade de [Projectile|projétil]","На 50% меньшая область действия и скорость [Projectile|снарядов]","50% menos de área de efecto y velocidad de [Projectile|proyectiles]","ลดพื้นที่ส่งผลและความเร็ว[Projectile|โพรเจกไทล์] อีก 50%","50% 更少效果範圍和[Projectile|投射物]速度",[],11151,"",[8205],[15],[],0,0,0,"[6,0]",8,0,"",[],0,0
8,"PlayerDebuffAreaAndProjectileSpeed4","[0,1]",[],[1],[7],1,"Lessened Reach IV","Portée écourtée IV","Verringerte Reichweite IV","狭まる効果範囲 IV","거리 감폭 IV","Alcance Reduzido IV","Уменьшение досягаемости IV","Alcance disminuido IV","ด้อยระยะ ระดับ 4","縮小範圍 IV","Art/2DArt/UIImages/InGame/Ultimatum/Icons/LessenedReach",31982,[],[8],4,"65% less Area of Effect and [Projectile] Speed","65% de Perte de Zone d'effet et de Vitesse des [Projectile|Projectiles]","65% weniger Wirkungsbereich und [Projectile|Projektil]geschwindigkeit","効果範囲および[Projectile|投射物]スピードが65%低下する","플레이어의 효과 범위와 [Projectile|투사체] 속도 65% 감폭","ㅤ-65% de área de efeito e velocidade de [Projectile|projétil]","На 65% меньшая область действия и скорость [Projectile|снарядов]","65% menos de área de efecto y velocidad de [Projectile|proyectiles]","ลดพื้นที่ส่งผลและความเร็ว[Projectile|โพรเจกไทล์] อีก 65%","65% 更少效果範圍和[Projectile|投射物]速度",[],11151,"",[8205],[22],[],0,0,0,"[7,0,6]",9,0,"",[],0,0
9,"PlayerDebuffAreaAndProjectileSpeed5","[0,1]",[],[1],[8],1,"Lessened Reach V","Portée écourtée V","Verringerte Reichweite V","狭まる効果範囲 V","거리 감폭 V","Alcance Reduzido V","Уменьшение досягаемости V","Alcance disminuido V","ด้อยระยะ ระดับ 5","縮小範圍 V","Art/2DArt/UIImages/InGame/Ultimatum/Icons/LessenedReach",14504,[],[9],5,"80% less Area of Effect and [Projectile] Speed","80% de Perte de Zone d'effet et de Vitesse des [Projectile|Projectiles]","80% weniger Wirkungsbereich und [Projectile|Projektil]geschwindigkeit","効果範囲および[Projectile|投射物]スピードが80%低下する","플레이어의 효과 범위와 [Projectile|투사체] 속도 80% 감폭","ㅤ-80% de área de efeito e velocidade de [Projectile|projétil]","На 80% меньшая область действия и скорость [Projectile|снарядов]","80% menos de área de efecto y velocidad de [Projectile|proyectiles]","ลดพื้นที่ส่งผลและความเร็ว[Projectile|โพรเจกไทล์] อีก 80%","80% 更少效果範圍和[Projectile|投射物]速度",[],11151,"",[8205],[30],[],0,0,0,"[8,0,7,0]",-16843010,-16843010,"",[],0,0
