"rownum","Id","string_8","string_8 (French)","string_8 (German)","string_8 (Japanese)","string_8 (Korean)","string_8 (Portuguese)","string_8 (Russian)","string_8 (Spanish)","string_8 (Thai)","string_8 (Traditional Chinese)","[rid]_16","string_32","SortCategory","i32_56","[rid]_60","[rid]_76","CraftingCategory","[rid]_108","[rid]_124","bool_140","[rid]_141","[rid]_157","rid_173","rid_189","bool_205"
0,"ConvertResistsToFire","[DNT] ConvertResistsToFire","[DNT] ConvertResistsToFire","[DNT-UNUSED] ConvertResistsToFire","[DNT-UNUSED] ConvertResistsToFire","[DNT] ConvertResistsToFire","WIP","[DNT-UNUSED] ConvertResistsToFire","[DNT-UNUSED] ConvertResistsToFire","DNT","[DNT-UNUSED] ConvertResistsToFire",[],"",3,0,[36],[1],"[6,7,8,5,4,9,10,11]",[],[],"",[],[],"","",""
1,"ConvertResistsToCold","[DNT] ConvertResistsToCold","[DNT] ConvertResistsToCold","[DNT-UNUSED] ConvertResistsToCold","[DNT-UNUSED] ConvertResistsToCold","[DNT] ConvertResistsToCold","WIP","[DNT-UNUSED] ConvertResistsToCold","[DNT-UNUSED] ConvertResistsToCold","DNT","[DNT-UNUSED] ConvertResistsToCold",[],"",3,1,[36],[1],"[6,7,8,5,4,9,10,11]",[],[],"",[],[],"","",""
2,"ConvertResistsToLightning","[DNT] ConvertResistsToLightning","[DNT] ConvertResistsToLightning","[DNT-UNUSED] ConvertResistsToLightning","[DNT-UNUSED] ConvertResistsToLightning","[DNT] ConvertResistsToLightning","WIP","[DNT-UNUSED] ConvertResistsToLightning","[DNT-UNUSED] ConvertResistsToLightning","DNT","[DNT-UNUSED] ConvertResistsToLightning",[],"",3,2,[36],[1],"[6,7,8,5,4,9,10,11]",[],[],"",[],[],"","",""
3,"ConvertResistsToChaos","[DNT] ConvertResistsToChaos","[DNT] ConvertResistsToChaos","[DNT-UNUSED] ConvertResistsToChaos","[DNT-UNUSED] ConvertResistsToChaos","[DNT] ConvertResistsToChaos","WIP","[DNT-UNUSED] ConvertResistsToChaos","[DNT-UNUSED] ConvertResistsToChaos","DNT","[DNT-UNUSED] ConvertResistsToChaos",[],"",3,3,[36],[1],"[6,7,8,5,4,9,10,11]",[],[],"",[],[],"","",""
4,"SetInherentSkillLevel1","[DNT] SetInherentSkillLevel1","[DNT] SetInherentSkillLevel1","[DNT-UNUSED] SetInherentSkillLevel1","[DNT-UNUSED] SetInherentSkillLevel1","[DNT] SetInherentSkillLevel1","WIP","[DNT-UNUSED] SetInherentSkillLevel1","[DNT-UNUSED] SetInherentSkillLevel1","DNT","[DNT-UNUSED] SetInherentSkillLevel1",[],"",3,4,[36],[1],"[0,1,2,3,6,7,8,5,4]",[],[],"",[],[],"","",""
5,"SetInherentSkillLevel2","[DNT] SetInherentSkillLevel2","[DNT] SetInherentSkillLevel2","[DNT-UNUSED] SetInherentSkillLevel2","[DNT-UNUSED] SetInherentSkillLevel2","[DNT] SetInherentSkillLevel2","WIP","[DNT-UNUSED] SetInherentSkillLevel2","[DNT-UNUSED] SetInherentSkillLevel2","DNT","[DNT-UNUSED] SetInherentSkillLevel2",[],"",3,5,[36],[1],"[0,1,2,3,6,7,8,5,4]",[],[],"",[],[],"","",""
6,"SetInherentSkillLevel3","[DNT] SetInherentSkillLevel3","[DNT] SetInherentSkillLevel3","[DNT-UNUSED] SetInherentSkillLevel3","[DNT-UNUSED] SetInherentSkillLevel3","[DNT] SetInherentSkillLevel3","WIP","[DNT-UNUSED] SetInherentSkillLevel3","[DNT-UNUSED] SetInherentSkillLevel3","DNT","[DNT-UNUSED] SetInherentSkillLevel3",[],"",3,6,[36],[1],"[0,1,2,3,6,7,8,5,4]",[],[],"",[],[],"","",""
7,"SetInherentSkillLevel4","[DNT] SetInherentSkillLevel4","[DNT] SetInherentSkillLevel4","[DNT-UNUSED] SetInherentSkillLevel4","[DNT-UNUSED] SetInherentSkillLevel4","[DNT] SetInherentSkillLevel4","WIP","[DNT-UNUSED] SetInherentSkillLevel4","[DNT-UNUSED] SetInherentSkillLevel4","DNT","[DNT-UNUSED] SetInherentSkillLevel4",[],"",3,7,[36],[1],"[0,1,2,3,6,7,8,5,4]",[],[],"",[],[],"","",""
8,"SetInherentSkillLevel5","[DNT] SetInherentSkillLevel5","[DNT] SetInherentSkillLevel5","[DNT-UNUSED] SetInherentSkillLevel5","[DNT-UNUSED] SetInherentSkillLevel5","[DNT] SetInherentSkillLevel5","WIP","[DNT-UNUSED] SetInherentSkillLevel5","[DNT-UNUSED] SetInherentSkillLevel5","DNT","[DNT-UNUSED] SetInherentSkillLevel5",[],"",3,8,[36],[1],"[0,1,2,3,6,7,8,5,4]",[],[],"",[],[],"","",""
9,"SetInherentSkillLevel6","[DNT] SetInherentSkillLevel6","[DNT] SetInherentSkillLevel6","[DNT-UNUSED] SetInherentSkillLevel6","[DNT-UNUSED] SetInherentSkillLevel6","[DNT] SetInherentSkillLevel6","WIP","[DNT-UNUSED] SetInherentSkillLevel6","[DNT-UNUSED] SetInherentSkillLevel6","DNT","[DNT-UNUSED] SetInherentSkillLevel6",[],"",3,9,[36],[1],"[0,1,2,3,6,7,8,5,4]",[],[],"",[],[],"","",""
10,"SetInherentSkillLevel7","[DNT] SetInherentSkillLevel7","[DNT] SetInherentSkillLevel7","[DNT-UNUSED] SetInherentSkillLevel7","[DNT-UNUSED] SetInherentSkillLevel7","[DNT] SetInherentSkillLevel7","WIP","[DNT-UNUSED] SetInherentSkillLevel7","[DNT-UNUSED] SetInherentSkillLevel7","DNT","[DNT-UNUSED] SetInherentSkillLevel7",[],"",3,10,[36],[1],"[0,1,2,3,6,7,8,5,4]",[],[],"",[],[],"","",""
11,"SetInherentSkillLevel8","[DNT] SetInherentSkillLevel8","[DNT] SetInherentSkillLevel8","[DNT-UNUSED] SetInherentSkillLevel8","[DNT-UNUSED] SetInherentSkillLevel8","[DNT] SetInherentSkillLevel8","WIP","[DNT-UNUSED] SetInherentSkillLevel8","[DNT-UNUSED] SetInherentSkillLevel8","DNT","[DNT-UNUSED] SetInherentSkillLevel8",[],"",3,11,[36],[1],"[0,1,2,3,6,7,8,5,4]",[],[],"",[],[],"","",""
12,"SetInherentSkillLevel9","[DNT] SetInherentSkillLevel9","[DNT] SetInherentSkillLevel9","[DNT-UNUSED] SetInherentSkillLevel9","[DNT-UNUSED] SetInherentSkillLevel9","[DNT] SetInherentSkillLevel9","WIP","[DNT-UNUSED] SetInherentSkillLevel9","[DNT-UNUSED] SetInherentSkillLevel9","DNT","[DNT-UNUSED] SetInherentSkillLevel9",[],"",3,12,[36],[1],"[0,1,2,3,6,7,8,5,4]",[],[],"",[],[],"","",""
13,"SetInherentSkillLevel10","[DNT] SetInherentSkillLevel10","[DNT] SetInherentSkillLevel10","[DNT-UNUSED] SetInherentSkillLevel10","[DNT-UNUSED] SetInherentSkillLevel10","[DNT] SetInherentSkillLevel10","WIP","[DNT-UNUSED] SetInherentSkillLevel10","[DNT-UNUSED] SetInherentSkillLevel10","DNT","[DNT-UNUSED] SetInherentSkillLevel10",[],"",3,13,[36],[1],"[0,1,2,3,6,7,8,5,4]",[],[],"",[],[],"","",""
14,"SetInherentSkillLevel11","[DNT] SetInherentSkillLevel11","[DNT] SetInherentSkillLevel11","[DNT-UNUSED] SetInherentSkillLevel11","[DNT-UNUSED] SetInherentSkillLevel11","[DNT] SetInherentSkillLevel11","WIP","[DNT-UNUSED] SetInherentSkillLevel11","[DNT-UNUSED] SetInherentSkillLevel11","DNT","[DNT-UNUSED] SetInherentSkillLevel11",[],"",3,14,[36],[1],"[0,1,2,3,6,7,8,5,4]",[],[],"",[],[],"","",""
15,"SetInherentSkillLevel12","[DNT] SetInherentSkillLevel12","[DNT] SetInherentSkillLevel12","[DNT-UNUSED] SetInherentSkillLevel12","[DNT-UNUSED] SetInherentSkillLevel12","[DNT] SetInherentSkillLevel12","WIP","[DNT-UNUSED] SetInherentSkillLevel12","[DNT-UNUSED] SetInherentSkillLevel12","DNT","[DNT-UNUSED] SetInherentSkillLevel12",[],"",3,15,[36],[1],"[0,1,2,3,6,7,8,5,4]",[],[],"",[],[],"","",""
16,"SetInherentSkillLevel13","[DNT] SetInherentSkillLevel13","[DNT] SetInherentSkillLevel13","[DNT-UNUSED] SetInherentSkillLevel13","[DNT-UNUSED] SetInherentSkillLevel13","[DNT] SetInherentSkillLevel13","WIP","[DNT-UNUSED] SetInherentSkillLevel13","[DNT-UNUSED] SetInherentSkillLevel13","DNT","[DNT-UNUSED] SetInherentSkillLevel13",[],"",3,16,[36],[1],"[0,1,2,3,6,7,8,5,4]",[],[],"",[],[],"","",""
17,"SetInherentSkillLevel14","[DNT] SetInherentSkillLevel14","[DNT] SetInherentSkillLevel14","[DNT-UNUSED] SetInherentSkillLevel14","[DNT-UNUSED] SetInherentSkillLevel14","[DNT] SetInherentSkillLevel14","WIP","[DNT-UNUSED] SetInherentSkillLevel14","[DNT-UNUSED] SetInherentSkillLevel14","DNT","[DNT-UNUSED] SetInherentSkillLevel14",[],"",3,17,[36],[1],"[0,1,2,3,6,7,8,5,4]",[],[],"",[],[],"","",""
18,"SetInherentSkillLevel15","[DNT] SetInherentSkillLevel15","[DNT] SetInherentSkillLevel15","[DNT-UNUSED] SetInherentSkillLevel15","[DNT-UNUSED] SetInherentSkillLevel15","[DNT] SetInherentSkillLevel15","WIP","[DNT-UNUSED] SetInherentSkillLevel15","[DNT-UNUSED] SetInherentSkillLevel15","DNT","[DNT-UNUSED] SetInherentSkillLevel15",[],"",3,18,[36],[1],"[0,1,2,3,6,7,8,5,4]",[],[],"",[],[],"","",""
19,"SetInherentSkillLevel16","[DNT] SetInherentSkillLevel16","[DNT] SetInherentSkillLevel16","[DNT-UNUSED] SetInherentSkillLevel16","[DNT-UNUSED] SetInherentSkillLevel16","[DNT] SetInherentSkillLevel16","WIP","[DNT-UNUSED] SetInherentSkillLevel16","[DNT-UNUSED] SetInherentSkillLevel16","DNT","[DNT-UNUSED] SetInherentSkillLevel16",[],"",3,19,[36],[1],"[0,1,2,3,6,7,8,5,4]",[],[],"",[],[],"","",""
