"rownum","Skill","Level","Price"
0,373,1,28
1,373,2,52
2,373,3,99
3,373,4,209
4,373,5,338
5,373,6,483
6,373,7,599
7,373,8,725
8,373,9,897
9,373,10,1088
10,373,11,1300
11,373,12,1533
12,373,13,1844
13,373,14,2193
14,373,15,2583
15,373,16,3019
16,373,17,3506
17,373,18,4144
18,373,19,4867
19,373,20,5684
20,477,1,28
21,477,2,52
22,477,3,99
23,477,4,209
24,477,5,338
25,477,6,483
26,477,7,599
27,477,8,725
28,477,9,897
29,477,10,1088
30,477,11,1300
31,477,12,1533
32,477,13,1844
33,477,14,2193
34,477,15,2583
35,477,16,3019
36,477,17,3506
37,477,18,4144
38,477,19,4867
39,477,20,5684
40,476,1,28
41,476,2,52
42,476,3,99
43,476,4,209
44,476,5,338
45,476,6,483
46,476,7,599
47,476,8,725
48,476,9,897
49,476,10,1088
50,476,11,1300
51,476,12,1533
52,476,13,1844
53,476,14,2193
54,476,15,2583
55,476,16,3019
56,476,17,3506
57,476,18,4144
58,476,19,4867
59,476,20,5684
60,58,1,28
61,58,2,52
62,58,3,99
63,58,4,209
64,58,5,338
65,58,6,483
66,58,7,599
67,58,8,725
68,58,9,897
69,58,10,1088
70,58,11,1300
71,58,12,1533
72,58,13,1844
73,58,14,2193
74,58,15,2583
75,58,16,3019
76,58,17,3506
77,58,18,4144
78,58,19,4867
79,58,20,5684
80,5,1,28
81,5,2,52
82,5,3,99
83,5,4,209
84,5,5,338
85,5,6,483
86,5,7,599
87,5,8,725
88,5,9,897
89,5,10,1088
90,5,11,1300
91,5,12,1533
92,5,13,1844
93,5,14,2193
94,5,15,2583
95,5,16,3019
96,5,17,3506
97,5,18,4144
98,5,19,4867
99,5,20,5684
100,186,1,28
101,186,2,52
102,186,3,99
103,186,4,209
104,186,5,338
105,186,6,483
106,186,7,599
107,186,8,725
108,186,9,897
109,186,10,1088
110,186,11,1300
111,186,12,1533
112,186,13,1844
113,186,14,2193
114,186,15,2583
115,186,16,3019
116,186,17,3506
117,186,18,4144
118,186,19,4867
119,186,20,5684
120,171,1,28
121,171,2,52
122,171,3,99
123,171,4,209
124,171,5,338
125,171,6,483
126,171,7,599
127,171,8,725
128,171,9,897
129,171,10,1088
130,171,11,1300
131,171,12,1533
132,171,13,1844
133,171,14,2193
134,171,15,2583
135,171,16,3019
136,171,17,3506
137,171,18,4144
138,171,19,4867
139,171,20,5684
140,407,1,28
141,407,2,52
142,407,3,99
143,407,4,209
144,407,5,338
145,407,6,483
146,407,7,599
147,407,8,725
148,407,9,897
149,407,10,1088
150,407,11,1300
151,407,12,1533
152,407,13,1844
153,407,14,2193
154,407,15,2583
155,407,16,3019
156,407,17,3506
157,407,18,4144
158,407,19,4867
159,407,20,5684
160,386,1,40
161,386,2,75
162,386,3,143
163,386,4,302
164,386,5,488
165,386,6,698
166,386,7,866
167,386,8,1048
168,386,9,1298
169,386,10,1575
170,386,11,1881
171,386,12,2218
172,386,13,2668
173,386,14,3173
174,386,15,3738
175,386,16,4370
176,386,17,5074
177,386,18,5998
178,386,19,7044
179,386,20,8227
180,403,1,40
181,403,2,75
182,403,3,143
183,403,4,302
184,403,5,488
185,403,6,698
186,403,7,866
187,403,8,1048
188,403,9,1298
189,403,10,1575
190,403,11,1881
191,403,12,2218
192,403,13,2668
193,403,14,3173
194,403,15,3738
195,403,16,4370
196,403,17,5074
197,403,18,5998
198,403,19,7044
199,403,20,8227
200,269,1,40
201,269,2,75
202,269,3,143
203,269,4,302
204,269,5,488
205,269,6,698
206,269,7,866
207,269,8,1048
208,269,9,1298
209,269,10,1575
210,269,11,1881
211,269,12,2218
212,269,13,2668
213,269,14,3173
214,269,15,3738
215,269,16,4370
216,269,17,5074
217,269,18,5998
218,269,19,7044
219,269,20,8227
220,485,1,40
221,485,2,75
222,485,3,143
223,485,4,302
224,485,5,488
225,485,6,698
226,485,7,866
227,485,8,1048
228,485,9,1298
229,485,10,1575
230,485,11,1881
231,485,12,2218
232,485,13,2668
233,485,14,3173
234,485,15,3738
235,485,16,4370
236,485,17,5074
237,485,18,5998
238,485,19,7044
239,485,20,8227
240,167,1,40
241,167,2,75
242,167,3,143
243,167,4,302
244,167,5,488
245,167,6,698
246,167,7,866
247,167,8,1048
248,167,9,1298
