"rownum","Id","Result_Mtx","Ingredients_Mtx","BK2File","[i32]_48","i32_64","bool_68"
0,"MicrotransactionFireandIceHelmet",892,"[882,887]","Art/Videos/MysteryBox_Combine.bk2",[],0,""
1,"MicrotransactionFireandIceBoots",893,"[883,888]","Art/Videos/MysteryBox_Combine.bk2",[],0,""
2,"MicrotransactionFireandIceGloves",894,"[884,889]","Art/Videos/MysteryBox_Combine.bk2",[],0,""
3,"MicrotransactionFireandIceBodyArmour",895,"[885,890]","Art/Videos/MysteryBox_Combine.bk2",[],0,""
4,"MicrotransactionFireandIceCloak",896,"[886,891]","Art/Videos/MysteryBox_Combine.bk2",[],0,""
5,"MicrotransactionFireandIceWings",785,"[786,787]","Art/Videos/MysteryBox_Combine.bk2",[],0,""
6,"MicrotransactionFireandIcePortalEffect",881,"[879,880]","Art/Videos/MysteryBox_Combine.bk2",[],0,""
7,"MicrotransactionFireandIceShield",901,"[899,900]","Art/Videos/MysteryBox_Combine.bk2",[],0,""
8,"MicrotransactionFireandIceHorns",905,"[903,904]","Art/Videos/MysteryBox_Combine.bk2",[],0,""
9,"MicrotransactionSinandInnocenceHelmet",1268,"[1238,1253]","Art/Videos/MysteryBox_Combine_InnocenceSin.bk2",[],0,""
10,"MicrotransactionSinandInnocenceBoots",1269,"[1239,1254]","Art/Videos/MysteryBox_Combine_InnocenceSin.bk2",[],0,""
11,"MicrotransactionSinandInnocenceGloves",1270,"[1240,1255]","Art/Videos/MysteryBox_Combine_InnocenceSin.bk2",[],0,""
12,"MicrotransactionSinandInnocenceBodyArmour",1271,"[1241,1256]","Art/Videos/MysteryBox_Combine_InnocenceSin.bk2",[],0,""
13,"MicrotransactionSinandInnocenceCloak",1267,"[1237,1252]","Art/Videos/MysteryBox_Combine_InnocenceSin.bk2",[],0,""
14,"MicrotransactionSinandInnocenceWings",1266,"[1236,1251]","Art/Videos/MysteryBox_Combine_InnocenceSin.bk2",[],0,""
15,"MicrotransactionSinandInnocencePortalEffect",1274,"[1250,1265]","Art/Videos/MysteryBox_Combine_InnocenceSin.bk2",[],0,""
16,"MicrotransactionSinandInnocenceHelmetAttachment",1272,"[1242,1257]","Art/Videos/MysteryBox_Combine_InnocenceSin.bk2",[],0,""
17,"MicrotransactionSinandInnocenceFootprintsEffect",1273,"[1247,1262]","Art/Videos/MysteryBox_Combine_InnocenceSin.bk2",[],0,""
18,"MicrotransactionSinandInnocenceShortsword",1275,"[1245,1260]","Art/Videos/MysteryBox_Combine_InnocenceSin.bk2",[],0,""
19,"MicrotransactionSinandInnocenceLongsword",1276,"[1246,1261]","Art/Videos/MysteryBox_Combine_InnocenceSin.bk2",[],0,""
20,"MicrotransactionSinandInnocenceShield",1719,"[1717,1718]","Art/Videos/MysteryBox_Combine_InnocenceSin.bk2",[],0,""
21,"SinandInnocenceWeapon",4276,"[4274,4275]","Art/Videos/MysteryBox_Combine_InnocenceSin.bk2",[],0,""
22,"MicrotransactionApocalypseHelmet",1393,"[1363,1378]","Art/Videos/MysteryBox_Combine_Apocalypse.bk2",[],0,""
23,"MicrotransactionApocalypseBoots",1394,"[1364,1379]","Art/Videos/MysteryBox_Combine_Apocalypse.bk2",[],0,""
24,"MicrotransactionApocalypseGloves",1395,"[1365,1380]","Art/Videos/MysteryBox_Combine_Apocalypse.bk2",[],0,""
25,"MicrotransactionApocalypseBodyArmour",1396,"[1366,1381]","Art/Videos/MysteryBox_Combine_Apocalypse.bk2",[],0,""
26,"MicrotransactionApocalypseCloak",1397,"[1367,1382]","Art/Videos/MysteryBox_Combine_Apocalypse.bk2",[],0,""
27,"MicrotransactionApocalypseWings",1398,"[1368,1383]","Art/Videos/MysteryBox_Combine_Apocalypse.bk2",[],0,""
28,"MicrotransactionApocalypsePortalEffect",1399,"[1372,1387]","Art/Videos/MysteryBox_Combine_Apocalypse.bk2",[],0,""
29,"MicrotransactionApocalypseHelmetAttachment",1400,"[1373,1388]","Art/Videos/MysteryBox_Combine_Apocalypse.bk2",[],0,""
30,"MicrotransactionApocalypseFootprintsEffect",1401,"[1374,1389]","Art/Videos/MysteryBox_Combine_Apocalypse.bk2",[],0,""
31,"MicrotransactionOriathHelmet",1451,"[1443,1447]","Art/Videos/MysteryBox_Combine_Oriathan.bk2",[],0,""
32,"MicrotransactionOriathBoots",1452,"[1444,1448]","Art/Videos/MysteryBox_Combine_Oriathan.bk2",[],0,""
33,"MicrotransactionOriathGloves",1453,"[1445,1449]","Art/Videos/MysteryBox_Combine_Oriathan.bk2",[],0,""
34,"MicrotransactionOriathBodyArmour",1454,"[1446,1450]","Art/Videos/MysteryBox_Combine_Oriathan.bk2",[],0,""
35,"MicrotransactionOriathWings",1457,"[1455,1456]","Art/Videos/MysteryBox_Combine_Oriathan.bk2",[],0,""
36,"MicrotransactionOriathCloak",1460,"[1458,1459]","Art/Videos/MysteryBox_Combine_Oriathan.bk2",[],0,""
37,"MicrotransactionOriathPortalEffect",1465,"[1463,1464]","Art/Videos/MysteryBox_Combine_Oriathan.bk2",[],0,""
38,"MicrotransactionOriathWeapon",1472,"[1470,1471]","Art/Videos/MysteryBox_Combine_Oriathan.bk2",[],0,""
39,"OriathPet",4293,"[4291,4292]","Art/Videos/MysteryBox_Combine_Oriathan.bk2",[],0,""
40,"MicrotransactionOriathHelmetAttachment",1477,"[1475,1476]","Art/Videos/MysteryBox_Combine_Oriathan.bk2",[],0,""
41,"MicrotransactionOriathFootprintsEffect",1480,"[1478,1479]","Art/Videos/MysteryBox_Combine_Oriathan.bk2",[],0,""
42,"MicrotransactionOriathShield",1690,"[1508,1565]","Art/Videos/MysteryBox_Combine_Oriathan.bk2",[],0,""
43,"MicrotransactionStalkerWingsUpgrade2",1518,"[1517,13]","Art/Videos/MysteryBox_Combine.bk2",[],0,""
44,"MicrotransactionStalkerWingsUpgrade3",1519,"[1518,13]","Art/Videos/MysteryBox_Combine.bk2","[1,2]",0,""
45,"MicrotransactionSpectreHelmet",1605,"[1594,1579]","Art/Videos/MysteryBox_Combine_Corsair .bk2",[],0,""
46,"MicrotransactionSpectreBoots",1606,"[1597,1582]","Art/Videos/MysteryBox_Combine_Corsair .bk2",[],0,""
47,"MicrotransactionSpectreGloves",1607,"[1596,1581]","Art/Videos/MysteryBox_Combine_Corsair .bk2",[],0,""
48,"MicrotransactionSpectreBodyArmour",1608,"[1595,1580]","Art/Videos/MysteryBox_Combine_Corsair .bk2",[],0,""
49,"MicrotransactionSpectreWings",1609,"[1590,1576]","Art/Videos/MysteryBox_Combine_Corsair .bk2",[],0,""
50,"MicrotransactionSpectreCloak",1610,"[1591,1577]","Art/Videos/MysteryBox_Combine_Corsair .bk2",[],0,""
51,"MicrotransactionSpectrePortalEffect",1611,"[1599,1584]","Art/Videos/MysteryBox_Combine_Corsair .bk2",[],0,""
52,"MicrotransactionSpectreHood",1612,"[1592,1578]","Art/Videos/MysteryBox_Combine_Corsair .bk2",[],0,""
53,"MicrotransactionSpectreStaff",1613,"[1603,1588]","Art/Videos/MysteryBox_Combine_Corsair .bk2",[],0,""
54,"MicrotransactionSpectreFootprintsEffect",1614,"[1602,1587]","Art/Videos/MysteryBox_Combine_Corsair .bk2",[],0,""
55,"MicrotransactionSpectreCharacterEffect",1615,"[1598,1583]","Art/Videos/MysteryBox_Combine_Corsair .bk2",[],0,""
56,"MicrotransactionMarakethCharacterEffectUpgrade4",1703,"[1701,14]","Art/Videos/MysteryBox_Combine.bk2","[1,1]",0,""
57,"MicrotransactionMarakethCharacterEffectUpgrade6",1705,"[1703,14]","Art/Videos/MysteryBox_Combine.bk2","[1,2]",0,""
58,"MicrotransactionTranscendenceWings",1785,"[1757,1771]","Art/Videos/MysteryBox_Combine_Darkwood.bk2",[],0,""
59,"MicrotransactionTranscendenceBackAttachment",1786,"[1758,1772]","Art/Videos/MysteryBox_Combine_Darkwood.bk2",[],0,""
60,"MicrotransactionTranscendenceHood",1787,"[1759,1773]","Art/Videos/MysteryBox_Combine_Darkwood.bk2",[],0,""
61,"MicrotransactionTranscendenceHelmet",1788,"[1760,1774]","Art/Videos/MysteryBox_Combine_Darkwood.bk2",[],0,""
62,"MicrotransactionTranscendenceBoots",1789,"[1762,1775]","Art/Videos/MysteryBox_Combine_Darkwood.bk2",[],0,""
63,"MicrotransactionTranscendenceGloves",1790,"[1761,1776]","Art/Videos/MysteryBox_Combine_Darkwood.bk2",[],0,""
64,"MicrotransactionTranscendenceBodyArmour",1791,"[1763,1777]","Art/Videos/MysteryBox_Combine_Darkwood.bk2",[],0,""
65,"MicrotransactionTranscendenceDagger",1792,"[1764,1778]","Art/Videos/MysteryBox_Combine_Darkwood.bk2",[],0,""
66,"MicrotransactionTranscendencePortalEffect",1793,"[1765,1779]","Art/Videos/MysteryBox_Combine_Darkwood.bk2",[],0,""
