"rownum","Id","TextAudioT1","TextAudioT2","TextAudioT3","TextAudioT4","TextAudioT5","bool_88","TextAudioT6"
0,"EnvoyGreeting",4083,4091,4098,4108,4113,1,""
1,"MavenBossFightEncounter","","","","","","",""
2,"MavenBossVictory","","","","","","",""
3,"MavenInvitationToFight","","","","","","",""
4,"MavenPassivesWon","","","","","","",""
5,"MavenPostfightPrompt","","","","","","",""
6,"MavenFirstOffAtlassBossEncounter","","","","","","",""
7,"MavenOffAtlasBossEncounter","","","","","","",""
8,"MavenFirstOffAtlasBossVictory","","","","","","",""
9,"MavenOffAtlasBossVictory","","","","","","",""
10,"MavenOffAtlasInvitation","","","","","","",""
11,"MavenKitavaComment","","","","","","",""
12,"MavenElderComment","","","","","","",""
13,"MavenShaperComment","","","","","","",""
14,"MavenSirusComment","","","","","","",""
15,"MavenGroupBossFightComment","","","","","","",""
16,"MavenTrioFightComment","","","","","","",""
17,"MavenMerveilFightComment","","","","","","",""
18,"MavenWitnessPhaseTransition","","","","","","",""
19,"MavenObservingCombatGasp","","","","","","",""
20,"MavenIntroMultiBossArena","","","","","","",""
21,"MavenOutroMultiBossArena","","","","","","",""
22,"MavenReleaseBossIntoArena","","","","","","",""
23,"MavenHealSkill","","","","","","",""
24,"MavenGuardSkill","","","","","","",""
25,"MavenSpaceVines","","","","","","",""
26,"MavenSpaceInfuseWeapons","","","","","","",""
27,"MavenDamageReductionOrbs","","","","","","",""
28,"MavenSpaceFlameWall","","","","","","",""
29,"MavenChasingOrb","","","","","","",""
30,"MavenSpeedZones","","","","","","",""
31,"MavenBossClone","","","","","","",""
32,"MavenSpaceCharges","","","","","","",""
33,"MavenVoidZones","","","","","","",""
34,"MavenAoE","","","","","","",""
35,"MavenProjectiles","","","","","","",""
36,"MavenTangleInfluenceIntro","","","","","","",""
37,"MavenTangleLure","","","","","","",""
38,"MavenCleansingFireInfluenceIntro","","","","","","",""
39,"MavenCleansingFireLure","","","","","","",""
40,"MavenInfiniteHungerEncounter","","","","","","",""
41,"MavenInfiniteHungerDefeated","","","","","","",""
42,"MavenBlackStarEncounter","","","","","","",""
43,"MavenBlackStarDefeated","","","","","","",""
44,"MavenEaterOfWorldsEncounter","","","","","","",""
45,"MavenEaterOfWorldsDefeated","","","","","","",""
46,"MavenSearingExarchEncounter","","","","","","",""
47,"MavenSearingExarchDefeated","","","","","","",""
48,"MavenEldritchLanguageEncounter","","","","","","",""
49,"MavenInteractionWithSearingExarch","","","","","","",""
50,"MavenInteractionWithEaterOfWorlds","","","","","","",""
51,"MavenAllPlayersDead","","","","","","",""
52,"MavenAllBossesDead","","","","","","",""
