"rownum","i32_0","i32_4","rid_8","rid_24","[rid]_40","[i32]_56"
0,4297,0,"","",[0],[1]
1,4298,0,"","",[2],[1]
2,4299,0,"","",[3],[1]
3,4300,0,"","",[1],[1]
4,4292,0,"","","[1,3,2,0]","[1,1,1,1]"
5,4498,0,"","","[1,3,2,0]","[1,1,1,1]"
6,4499,0,"","","[1,3,2,0]","[1,1,1,1]"
7,4326,0,"","","[1,3,2,0]","[2,2,2,2]"
8,4296,0,"","","[1,3,2,0]","[2,2,2,2]"
9,4443,0,"","","[1,3,2,0]","[2,2,2,2]"
10,4459,0,"","",[2],[5]
11,4460,0,"","",[0],[5]
12,4780,6,"",3,[],[]
13,4781,6,"",3,[],[]
14,4782,6,"",3,[],[]
15,4783,6,"",3,[],[]
16,4784,6,"",3,[],[]
17,4785,6,"",3,[],[]
18,4786,6,"",2,[],[]
19,4787,6,"",2,[],[]
20,4788,6,"",2,[],[]
21,4789,6,"",2,[],[]
22,4790,6,"",2,[],[]
23,4791,6,"",2,[],[]
24,4792,6,"",0,[],[]
25,4793,6,"",0,[],[]
26,4794,6,"",0,[],[]
27,4795,6,"",0,[],[]
28,4796,6,"",0,[],[]
29,4797,6,"",0,[],[]
30,4798,6,"",4,[],[]
31,4799,6,"",4,[],[]
32,4800,6,"",4,[],[]
33,4801,6,"",4,[],[]
34,4802,6,"",4,[],[]
35,4803,6,"",4,[],[]
36,4804,6,"",5,[],[]
37,4805,6,"",5,[],[]
38,4806,6,"",5,[],[]
39,4807,6,"",5,[],[]
40,4808,6,"",5,[],[]
41,4809,6,"",5,[],[]
42,4810,6,"",5,[],[]
43,4482,6,"",1,[],[]
44,4483,6,"",1,[],[]
45,4484,6,"",1,[],[]
46,166,6,"",1,[],[]
