"rownum","Id","StoredItem","XOffset","YOffset","FirstSlotIndex","Width","Height","SlotSize","HideIfEmpty","Image"
0,"Metadata/Items/Currency/CurrencyDelveCraftingFire",232,530,75,0,1,1,72,"",""
1,"Metadata/Items/Currency/CurrencyDelveCraftingCold",233,334,75,1,1,1,72,"",""
2,"Metadata/Items/Currency/CurrencyDelveCraftingLightning",234,629,75,2,1,1,72,"",""
3,"Metadata/Items/Currency/CurrencyDelveCraftingPhysical",235,137,75,3,1,1,72,"",""
4,"Metadata/Items/Currency/CurrencyDelveCraftingChaos",236,432,75,4,1,1,72,"",""
5,"Metadata/Items/Currency/CurrencyDelveCraftingLife",237,727,75,5,1,1,72,"",""
6,"Metadata/Items/Currency/CurrencyDelveCraftingDefences",238,235,75,6,1,1,72,"",""
7,"Metadata/Items/Currency/CurrencyDelveCraftingBleedPoison",239,138,173,7,1,1,72,"",""
8,"Metadata/Items/Currency/CurrencyDelveCraftingElemental",240,334,173,8,1,1,72,"",""
9,"Metadata/Items/Currency/CurrencyDelveCraftingCasterMods",241,530,173,9,1,1,72,"",""
10,"Metadata/Items/Currency/CurrencyDelveCraftingAttackMods",242,727,173,10,1,1,72,"",""
11,"Metadata/Items/Currency/CurrencyDelveCraftingMana",243,629,173,11,1,1,72,"",""
12,"Metadata/Items/Currency/CurrencyDelveCraftingSpeed",244,825,173,12,1,1,72,"",""
13,"Metadata/Items/Currency/CurrencyDelveCraftingMinionsAuras",245,39,173,13,1,1,72,"",""
14,"Metadata/Items/Currency/CurrencyDelveCraftingQuality",246,236,173,14,1,1,72,"",""
15,"Metadata/Items/Currency/CurrencyDelveCraftingEnchant",247,432,173,15,1,1,72,"",""
16,"Metadata/Items/Currency/CurrencyDelveCraftingSockets",248,432,271,16,1,1,72,"",""
17,"Metadata/Items/Currency/CurrencyDelveCraftingGemLevel",249,727,369,17,1,1,72,"",""
18,"Metadata/Items/Currency/CurrencyDelveCraftingVaal",250,185,271,18,1,1,72,"",""
19,"Metadata/Items/Currency/CurrencyDelveCraftingAbyss",251,678,271,19,1,1,72,"",""
20,"Metadata/Items/Currency/CurrencyDelveCraftingMirror",252,776,271,20,1,1,72,"",""
21,"Metadata/Items/Currency/CurrencyDelveCraftingCorruptEssence",253,137,369,21,1,1,72,"",""
22,"Metadata/Items/Currency/CurrencyDelveCraftingRandom",254,87,271,22,1,1,72,"",""
23,"Metadata/Items/Currency/CurrencyDelveCraftingLuckyModRolls",255,530,271,23,1,1,72,"",""
24,"Metadata/Items/Currency/CurrencyDelveCraftingSellPrice",256,333,271,24,1,1,72,"",""
25,"Metadata/Items/Delve/DelveStackableSocketableCurrencyUpgrade1",265,0,462,25,1,1,72,1,"Art/2DArt/UIImages/InGame/MTX/DelveStash/AlchemicalResonator1x1"
26,"Metadata/Items/Delve/DelveStackableSocketableCurrencyUpgrade2",266,0,576,26,1,2,64,1,"Art/2DArt/UIImages/InGame/MTX/DelveStash/AlchemicalResonator2x1"
27,"Metadata/Items/Delve/DelveStackableSocketableCurrencyUpgrade3",267,108,500,27,2,2,64,1,"Art/2DArt/UIImages/InGame/MTX/DelveStash/AlchemicalResonatorPowerful2x2"
28,"Metadata/Items/Delve/DelveStackableSocketableCurrencyUpgrade4",268,640,500,29,2,2,64,1,"Art/2DArt/UIImages/InGame/MTX/DelveStash/AlchemicalResonatorPrime2x2"
29,"Metadata/Items/Delve/DelveStackableSocketableCurrencyReroll1",269,223,746,31,1,1,72,"",""
30,"Metadata/Items/Delve/DelveStackableSocketableCurrencyReroll2",270,323,721,32,1,2,64,"",""
31,"Metadata/Items/Delve/DelveStackableSocketableCurrencyReroll3",271,422,721,33,2,2,64,"",""
32,"Metadata/Items/Delve/DelveStackableSocketableCurrencyReroll4",272,578,721,35,2,2,64,"",""
33,"GenericSlot1","",322,399,37,2,4,64,"",""
34,"GenericSlot2","",486,399,39,2,4,64,"",""
