"rownum","rid_0","[rid]_16","[i32]_32"
0,4060,[19758],[300]
1,3595,[18495],[-50]
2,3596,[18860],[50]
3,2996,[118],[750]
4,3417,[3264],[1]
5,3523,[1005],[1]
6,3532,[18992],[50]
7,3610,[403],[-25]
8,3611,[19393],[5]
9,2850,[170],[-20]
10,3446,[4670],[1]
11,2491,[117],[100]
12,3398,[19590],[1]
13,2515,[117],[30]
14,2983,[118],[900]
15,2997,[118],[240]
16,3396,[3489],[1]
17,3434,[19379],[2]
18,3435,[18734],[10]
19,3454,[9152],[100]
20,3455,[806],[10]
21,3519,[16693],[1]
22,3524,"[11162,11163,19199,11164,12195]","[10,30,10,1,1]"
23,3589,[9364],[100]
24,3648,[9515],[60]
25,3256,[201],[40]
26,3275,[131],[50]
27,3381,[14705],[40]
28,3392,[8859],[10]
29,3461,[5118],[25]
30,3526,[132],[-30]
31,3533,[3806],[1]
32,3534,[18235],[50]
33,3537,[9358],[25]
34,3588,[19192],[500]
35,3662,[19567],[1]
36,2985,[118],[750]
37,3413,[18615],[50]
38,3450,[19269],[25]
39,3626,[11141],[1]
40,3627,[11140],[1]
41,3825,[1301],[-1]
42,2547,[117],[-25]
43,3263,[13997],[-50]
44,3553,[1245],[25]
45,3632,[19593],[1]
46,3262,[13997],[-50]
47,3453,[18735],[20]
48,3462,[4465],[-20]
49,3463,[4466],[100]
50,3525,[132],[40]
51,3530,[7157],[1]
52,3594,[19513],[1]
53,3603,[180],[20]
54,3604,[3759],[1]
55,3605,[3760],[1]
56,2381,[139],[62]
57,2429,[134],[30]
58,2432,[134],[-10]
59,2545,[117],[50]
60,2848,[170],[-10]
61,2987,[118],[180]
62,2989,[118],[750]
63,2995,[118],[270]
64,3044,[98],[10]
65,3056,[100],[10]
66,3266,[1037],[15]
67,3452,[16855],[20]
68,3490,[418],[15]
69,3498,[3443],[-42]
70,3499,[2532],[-42]
71,3500,[3444],[-42]
72,3540,[1984],[1]
73,3541,[9318],[1]
74,3550,[1740],[1]
75,3565,[19368],[1]
76,3566,[19430],[1]
