"rownum","MapDevice","i32_16","i32_20","i32_24","i32_28","i32_32","Text","ClientString","i32_68","i32_72","i32_76","i32_80","i32_84"
0,0,0,7,5,245,38,"",9455,0,0,0,0,0
1,0,1,256,5,44,38,651,9456,62,41,48,39,1
2,0,2,339,5,45,38,652,9456,147,41,48,39,1
3,0,3,422,5,43,38,653,9456,230,41,46,39,1
4,0,4,505,5,41,38,654,9456,313,41,45,39,1
5,1,0,7,5,245,38,"",9455,0,0,0,0,0
6,1,1,256,5,44,38,655,9456,63,42,47,38,1
7,1,2,339,5,45,38,656,9456,148,42,45,38,1
8,1,3,422,5,43,38,657,9456,231,42,38,38,1
9,1,4,505,5,41,38,658,9456,314,42,37,38,1
10,2,0,7,5,245,38,"",9455,0,0,0,0,0
11,2,1,256,5,74,38,659,9456,45,42,89,38,1
