"rownum","Id","FireMod","ColdMod","LightningMod","ChaosMod","bool_72"
0,"DamageAsExtra1",1391,1403,1415,16312,""
1,"DamageAsExtra2",1392,1404,1416,16313,""
2,"DamageAsExtra3",1393,1405,1417,16314,""
3,"DamageAsExtra4",1394,1406,1418,16315,""
4,"DamageAsExtra5",1395,1407,1419,16316,""
5,"DamageAsExtra6",1396,1408,1420,16317,""
6,"DamageAsExtraTwoHand1",1397,1409,1421,16318,""
7,"DamageAsExtraTwoHand2",1398,1410,1422,16319,""
8,"DamageAsExtraTwoHand3",1399,1411,1423,16320,""
9,"DamageAsExtraTwoHand4",1400,1412,1424,16321,""
10,"DamageAsExtraTwoHand5",1401,1413,1425,16322,""
11,"DamageAsExtraTwoHand6",1402,1414,1426,16323,""
12,"IncreasedDamage1",664,680,696,712,""
13,"IncreasedDamage2",665,681,697,713,""
14,"IncreasedDamage3",666,682,698,714,""
15,"IncreasedDamage4",667,683,699,715,""
16,"IncreasedDamage5",668,684,700,716,""
17,"IncreasedDamage6",669,685,701,717,""
18,"IncreasedDamage7",670,686,702,718,""
19,"IncreasedDamage8",671,687,703,719,""
20,"IncreasedDamageTwoHand1",672,688,704,720,""
21,"IncreasedDamageTwoHand2",673,689,705,721,""
22,"IncreasedDamageTwoHand3",674,690,706,722,""
23,"IncreasedDamageTwoHand4",675,691,707,723,""
24,"IncreasedDamageTwoHand5",676,692,708,724,""
25,"IncreasedDamageTwoHand6",677,693,709,725,""
26,"IncreasedDamageTwoHand7",678,694,710,726,""
27,"IncreasedDamageTwoHand8",679,695,711,727,""
28,"PlusGemLevel1",773,786,800,813,""
29,"PlusGemLevel2",774,787,801,814,""
30,"PlusGemLevel3",775,788,802,815,""
31,"PlusGemLevel4",776,789,803,816,""
32,"PlusGemLevel5",777,790,804,817,""
33,"PlusGemLevelTwoHand1",778,791,805,818,""
34,"PlusGemLevelTwoHand2",779,792,806,819,""
35,"PlusGemLevelTwoHand3",780,793,807,820,""
36,"PlusGemLevelTwoHand4",781,794,808,821,""
37,"PlusGemLevelTwoHand5",782,795,809,822,""
38,"EssenceDamageAsExtra1",14264,14266,14268,16324,""
39,"EssenceDamageAsExtraTwoHand1",14265,14267,14269,16325,""
40,"AilmentIncrease1",1307,1312,1317,"",""
41,"AilmentIncrease2",1308,1313,1318,"",""
42,"AilmentIncrease3",1309,1314,1319,"",""
43,"AilmentIncrease4",1310,1315,1320,"",""
44,"AilmentIncrease5",1311,1316,1321,"",""
45,"Resist1",36,44,52,72,1
46,"Resist2",37,45,53,73,1
47,"Resist3",38,46,54,74,1
48,"Resist4",39,47,55,75,1
49,"Resist5",40,48,56,75,1
50,"Resist6",41,49,57,76,1
51,"Resist7",42,50,58,76,1
52,"Resist8",43,51,59,77,1
53,"LocalAddedDamage1",512,532,552,16326,""
54,"LocalAddedDamage2",513,533,553,16327,""
55,"LocalAddedDamage3",514,534,554,16328,""
56,"LocalAddedDamage4",515,535,555,16329,""
57,"LocalAddedDamage5",516,536,556,16330,""
58,"LocalAddedDamage6",517,537,557,16331,""
59,"LocalAddedDamage7",518,538,558,16332,""
60,"LocalAddedDamage8",519,539,559,16333,""
61,"LocalAddedDamage9",520,540,560,16334,""
62,"LocalAddedDamage10",521,541,561,16335,""
63,"LocalAddedDamageTwoHand1",522,542,562,16336,""
64,"LocalAddedDamageTwoHand2",523,543,563,16337,""
65,"LocalAddedDamageTwoHand3",524,544,564,16338,""
66,"LocalAddedDamageTwoHand4",525,545,565,16339,""
67,"LocalAddedDamageTwoHand5",526,546,566,16340,""
68,"LocalAddedDamageTwoHand6",527,547,567,16341,""
69,"LocalAddedDamageTwoHand7",528,548,568,16342,""
70,"LocalAddedDamageTwoHand8",529,549,569,16343,""
71,"LocalAddedDamageTwoHand9",530,550,570,16344,""
72,"LocalAddedDamageTwoHand10",531,551,571,16345,""
73,"AlliesAddedDamage1",581,590,599,16346,""
74,"AlliesAddedDamage2",582,591,600,16347,""
75,"AlliesAddedDamage3",583,592,601,16348,""
76,"AlliesAddedDamage4",584,593,602,16349,""
77,"AlliesAddedDamage5",585,594,603,16350,""
78,"AlliesAddedDamage6",586,595,604,16351,""
79,"AlliesAddedDamage7",587,596,605,16352,""
80,"AlliesAddedDamage8",588,597,606,16353,""
81,"AlliesAddedDamage9",589,598,607,16354,""
82,"DesecratedQuarterstaffDamageAndAilment",14622,14624,14620,16355,""
83,"DesecratedAttackPenetration1",14597,14599,14595,16356,""
84,"DesecratedHybridChaosResistance1",14455,14457,14453,77,1
85,"MaximumResistance1",1199,1202,1205,1208,1
86,"MaximumResistance2",1200,1203,1206,1209,1
87,"MaximumResistance3",1201,1204,1207,1210,1
88,"SoulInfluenceHybridChaosResistance1",16389,16390,16391,16357,1
89,"JewelRadiusCraftedMod",2150,2151,2152,2153,1
90,"JewelMaximumResistance",1859,1858,1860,2154,1
91,"DamageAsExtraWhileMissingRunicWard1",15423,16358,16360,16362,""
92,"DamageAsExtraWhileMissingRunicWard2H1",15424,16359,16361,16363,""
