"rownum","Id","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","i32_12","[i32]_16","i32_32","i32_36","ShopTag","Description","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)"
0,0,"Weapon Skin","Apparence d'arme","Waffen-Skin","武器スキン","무기 스킨","Visual de Arma","Внешний вид оружия","Aspecto para arma","สกินอาวุธ","武器外觀",1,"[1,4,36,39,42,45]",119,1,834,"","","","","","","","","",""
1,1,"Shield Skin","Apparence de bouclier","Schild-Skin","盾スキン","방패 스킨","Visual de Escudo","Внешний вид щита","Aspecto para escudo","สกินโล่","護盾外觀",1,"[4,39,45]",118,1,820,"","","","","","","","","",""
2,2,"Weapon Effect","Effet d'arme","Waffeneffekt","武器エフェクト","무기 이펙트","Efeito de Arma","Эффект оружия","Efecto para arma","เอฟเฟคอาวุธ","武器特效",1,"[2,5,37,40,43,46]",117,0,835,"","","","","","","","","",""
3,3,"Weapon Added Effect","Rajout d'effet d'arme","Zusätzlicher Waffeneffekt","武器追加エフェクト","무기 추가 이펙트","Efeito de Arma Adicionado","Добавочный эффект оружия","Efecto agregado para arma","เอฟเฟคอาวุธเพิ่มเติม","武器附加特效",1,"[3,6,38,41,44,47]",116,0,842,"Added Effects that apply to your weapon, such as Finishers. Finishers add effects when you kill a Monster of a specific Rarity. You can only have 1 Finisher per Rarity type equipped at a time.","Ajoute des effets à votre arme, comme les Effets de mise à mort. Les Effets de mise à mort ajoutent des effets lorsque vous tuez un Monstre d'une certaine Rareté. Vous ne pouvez avoir qu'un seul Effet de mise à mort par type de Rareté équipé à la fois.","Zusätzliche Effekte, die auf eine Waffe angewendet werden, wie z. B. Vollstreckereffekte. Vollstreckereffekte lösen Effekte aus, wenn man ein Monster einer bestimmten Seltenheitsstufe tötet. Es kann jeweils nur 1 Vollstreckereffekt pro Seltenheitsstufe ausgerüstet sein.","フィニッシャーのような武器に追加するエフェクトです。フィニッシャーは特定のレアリティのモンスターを倒した時に特定のエフェクトを追加します。一度にレアリティの種類ごとに装備できるフィニッシャーは1種類だけです。","마무리 이펙트를 포함하여 무기에 적용되는 추가 이펙트입니다. 마무리 이펙트는 특정 희귀도의 몬스터를 처치할 때 이펙트를 추가해 줍니다. 희귀도별 마무리 이펙트는 한 번에 1개씩만 장착할 수 있습니다.","Efeitos adicionados se aplicam à sua arma, como finalizadores. Os finalizadores adicionam efeitos quando você mata um monstro de uma raridade específica. É possível ter apenas um finalizador por tipo de raridade equipado por vez.","Добавочные эффекты, которые применяются к вашему оружию, например эффекты добивания. Эффекты добивания отображаются при убийстве монстра определённой редкости. Одновременно можно использовать только 1 эффект добивания для соответствующей редкости.","Son los efectos agregados que se aplican a tu arma, como los remates. Los remates agregan efectos cuando matas a un monstruo de una rareza específica. Solo puedes tener 1 remate por cada tipo de rareza equipado a la vez.","เพิ่มภาพเอฟเฟคที่ส่งผลกับอาวุธของคุณอย่างเช่นเอฟเฟคปลิดชี่พ เอฟเฟคปลิดชีพจะเล่นภาพเอฟเฟคเมื่อคุณสังหารมอนสเตอร์ที่มีระดับความหายากที่กำหนด คุณสามารถติดตั้งเอฟเฟคปลิดชีพได้เพียง 1 อย่างต่อระดับความหายาก 1 อย่างเท่านั้น","為你的武器添加特效，例如終結特效。終結特效會在你擊殺特定稀有度的怪物時觸發效果。每種稀有度類型同時只能裝備 1 個終結特效。"
4,4,"Armour Skin","Apparence d'armure","Körperrüstung-Skin","鎧スキン","방어구 스킨","Visual de Peitoral","Внешний вид брони","Aspecto para armadura","สกินเกราะ","身體外觀",1,[9],125,1,817,"","","","","","","","","",""
5,5,"Armour Attachment","Accessoire d'armure","Körperrüstungszusatz","鎧装飾品","방어구 부착물","Adorno de Peitoral","Заплечное украшение","Accesorio para armadura","แฟชั่นติดหลัง","背飾",1,[10],122,0,816,"","","","","","","","","",""
6,6,"Helmet Skin","Apparence de casque","Helm-Skin","兜スキン","투구 스킨","Visual de Elmo","Внешний вид шлема","Aspecto para casco","สกินหมวก","頭部外觀",1,[7],127,0,813,"","","","","","","","","",""
7,7,"Helmet Attachment","Accessoire de casque","Helmzusatz","兜装飾品","투구 부착물","Adorno de Elmo","Эффект шлема","Accesorio para casco","แฟชั่นติดหมวก","頭部特效",1,"[8,21]",126,0,815,"","","","","","","","","",""
8,8,"Gloves Skin","Apparence de gants","Handschuhe-Skin","手袋スキン","장갑 스킨","Visual de Luvas","Внешний вид перчаток","Aspecto para guantes","สกินถุงมือ","手部外觀",1,[11],124,0,818,"","","","","","","","","",""
9,9,"Boots Skin","Apparence de bottes","Stiefel-Skin","靴スキン","장화 스킨","Visual de Botas","Внешний вид обуви","Aspecto para botas","สกินรองเท้า","腳部外觀",1,[12],123,0,819,"","","","","","","","","",""
