"rownum","MinionStat","PlayerStat","MinionType","MinionType2","bool_64","CompanionStat"
0,6427,"[2885,6427]",[],[],1,""
1,6426,"[135,6426]",[],[],1,""
2,17048,[17048],[],[],1,""
3,17049,[17049],[],[],1,""
4,154,[118],[],"[8,9,0,7]","",""
5,557,[118],"[8,9]",[],"",""
6,286,[118],[0],[],"",""
7,287,[118],[7],[],"",""
8,161,[118],"[5,78]",[],1,""
9,3547,[3546],[],[],"",""
10,11952,[11953],[],[],"",""
11,5691,[5691],[],[],"",""
12,3395,[70],[],[],"",""
13,1144,[1143],[],[],"",""
14,3673,[1040],[],[],"",""
15,3396,[213],[],[],"",""
16,2077,[145],[],[],"",""
17,3397,[119],[],[],"",""
18,2697,[172],[],[],"",""
19,2066,[110],[],[],"",""
20,6626,[136],[],[],"",""
21,2394,[24],[],[],"",""
22,9326,[644],[],[],"",""
23,755,[756],[],[],"",""
24,2075,[440],[],[],"",""
25,641,[643],[],[],"",""
26,6121,[6122],[],[],"",""
27,9515,[9516],[],[],"",""
28,3109,[129],[],[],"",""
29,3108,[122],[],[],"",""
30,2936,[2937],[],[],"",""
31,2065,[1086],[],[],"",""
32,1095,[1096],[],[],"",""
33,2967,[2966],[],[],"",""
34,2780,[2779],[],[],"",""
35,3588,[3587],[],[],"",""
36,3590,[3589],[],[],"",""
37,3585,[3583],[],[],"",""
38,3586,[3584],[],[],"",""
39,3678,[3677],[],[],"",""
40,3958,[30],[],[],"",""
41,3959,[31],[],[],"",""
42,3560,[3561],[],[],"",""
43,4333,[4334],[],[],"",""
44,4393,[980],[],[],"",""
45,4394,[2349],[],[],"",""
46,18158,[141],[],[],"",""
47,18157,[139],[],[],"",""
48,18159,[143],[],[],"",""
49,4463,[437],[],[],"",""
50,3957,[439],[],[],"",""
51,5007,[5006],[],[],"",""
52,5013,[3251],[],[],"",""
53,5099,[5100],[],[],"",""
54,5131,[563],[],[],"",""
55,5654,[5655],[],[],"",""
56,6342,[43],[],[],"",""
57,6343,[44],[],[],"",""
58,6344,[50],[],[],"",""
59,6345,[51],[],[],"",""
60,6346,[57],[],[],"",""
61,6347,[58],[],[],"",""
62,6348,[28],[],[],"",""
63,6349,[29],[],[],"",""
64,11712,[43],[],[],"",""
65,11713,[44],[],[],"",""
66,11710,[50],[],[],"",""
67,11711,[51],[],[],"",""
68,11714,[57],[],[],"",""
69,11715,[58],[],[],"",""
70,11708,[28],[],[],"",""
71,11709,[29],[],[],"",""
72,6350,[64],[],[],"",""
73,6351,[65],[],[],"",""
74,6357,[6356],[],[],"",""
75,6385,[6386],[],[],"",""
76,6391,[6388],[],[],"",""
77,6392,[6389],[],[],"",""
78,6393,[6390],[],[],"",""
79,6480,[6479],[],[],"",""
80,6928,[5575],[],[],"",""
81,3918,[7015],[],[],"",""
82,7295,[7295],[],[],"",""
83,9110,[83],[],[],"",""
84,7669,[84],[],[],"",""
85,7807,[2788],[],[],"",""
86,7808,[39],[],[],"",""
87,7813,[2794],[],[],"",""
88,7809,[2900],[],[],"",""
89,7810,[2917],[],[],"",""
90,7811,[7814],[],[],"",""
91,7812,[7815],[],[],"",""
92,7788,[7682],[],[],"",""
93,238,[9216],[],[],"",""
94,9333,[424],[],[],"",""
95,9330,[3513],[],[],"",""
96,9331,[3265],[],[],"",""
97,9332,[4427],[],[],"",""
98,9371,[9372],[],[],"",""
99,9373,[3288],[],[],"",""
100,9374,[9375],[],[],"",""
101,9388,[1863],[],[],"",""
102,9389,[472],[],[],"",""
103,9390,[473],[],[],"",""
104,9391,[474],[],[],"",""
105,9392,[475],[],[],"",""
106,9461,[9462],[],[],"",""
107,9465,[9463],[],[],"",""
108,9466,[9467],[],[],"",""
109,9488,[467],[],[],"",""
110,9530,[954],[],[],"",""
111,9569,[9569],[],[],"",""
112,9609,[2025],[],[],"",""
113,10210,[2253],[],[],"",""
114,10211,[1667],[],[],"",""
115,10212,[1666],[],[],"",""
116,10216,[4624],[],[],"",""
117,14899,[4624],[],[],"",""
118,10293,[10292],[],[],"",""
119,10291,[436],[],[],"",""
120,10294,[600],[],[],"",""
121,10295,[17304],[],[],"",""
122,10296,[7910],[],[],"",""
123,10730,[469],[],[],"",""
124,10731,[3758],[],[],"",""
125,10802,[7947],[],[],"",""
126,10859,[10860],[],[],"",""
127,10892,[5836],[],[],"",""
128,11168,[544],[],[],"",""
129,11171,[95],[],[],"",""
130,11205,[11204],[],[],"",""
131,11209,[11208],[],[],"",""
132,11206,[1201],[],[],"",""
133,11322,[134],[],[],"",""
134,11372,[11373],[],[],"",""
135,11646,[170],[],[],"",""
136,11681,[11684],[],[],"",""
137,11782,[5197],[],[],"",""
138,11716,[440],[],[],"",""
139,11717,[124],[],[],"",""
140,11810,[1357],[],[],"",""
141,11811,[102],[],[],"",""
142,12024,[574],[],[],"",""
143,12026,[3224],[],[],"",""
144,12019,[206],[],[],"",""
145,12635,[12636],[],[],"",""
146,13033,[9501],[],[],"",""
147,13637,[13638],[],[],"",""
148,13670,[13675],[],[],"",""
149,14033,[10060],[],[],"",""
150,14034,[14035],[],[],"",""
151,14189,[2734],[],[],"",""
152,14191,[14190],[],[],"",""
153,15495,[15494],[],[],"",""
154,15617,[11248],[],[],"",""
155,15699,[3483],[],[],"",""
156,16584,[16584],[],[],"",""
157,15982,[15982],[],[],"",""
158,16692,[16690],[],[],"",""
159,16693,[16691],[],[],"",""
160,23775,[23774],[],[],"",""
161,17018,[445],[],[],"",""
162,17019,[651],[],[],"",""
163,17043,[558],[],[],"",""
164,17044,[708],[],[],"",""
165,17045,[1606],[],[],"",""
166,17046,[699],[],[],"",""
167,17047,[114],[],[],"",""
168,17426,[9145],[],[],"",""
169,17427,[17453],[],[],"",""
170,17420,[17446],[],[],"",""
171,18118,[19191],[],[],"",""
172,18121,[18120],[],[],"",""
173,9635,[28],[],[23],"",""
174,9636,[29],[],[23],"",""
175,7620,[732],[23],[],"",""
176,7616,[7618],[23],[],"",""
177,7617,[7619],[23],[],"",""
178,13434,[13432],[],[50],"",""
179,13435,[13433],[],[50],"",""
180,14138,[14140],[17],[],"",""
181,10732,[95],"[0,7,8,9]",[],"",""
182,18161,[141],[5],[],1,""
183,18160,[139],[5],[],1,""
184,18162,[143],[5],[],1,""
185,10788,[145],[5],[],1,""
186,22302,[954],[5],[],1,""
187,3839,[24],[19],[],"",""
188,7188,[191],[19],[],"",""
189,8959,[442],[19],[],"",""
190,8970,[118],[19],[],"",""
191,11099,[11098],[19],[],"",""
192,3847,[24],"[8,9]",[],"",""
193,18170,[172],"[8,9]",[],"",""
194,5968,[70],"[8,9]",[],"",""
195,5969,[213],"[8,9]",[],"",""
196,7176,[699],"[8,9]",[],"",""
197,7371,[5036],"[8,9]",[],"",""
198,7370,[7372],"[8,9]",[],"",""
199,7369,[2478],"[8,9]",[],"",""
200,10297,[475],"[8,9]",[],"",""
201,10298,[9145],"[8,9]",[],"",""
202,16947,[12385],"[8,9,39]",[],"",""
203,16948,[5931],"[8,9,39]",[],"",""
204,6161,[117],[0],[],"",""
205,3415,[24],[0],[],"",""
206,4045,[1892],[0],[],"",""
207,4109,[136],[0],[],"",""
208,4700,[4701],[0],[],"",""
209,6441,[544],[0],[],"",""
210,13415,[13424],[56],[],"",""
211,13059,[18173],[56],[],"",""
212,18178,[18179],[],[],"",""
213,1366,[117],[7],[],"",""
214,1375,[1374],[7],[],"",""
215,1608,[732],[7],[],"",""
216,1368,[7168],[7],[],"",""
217,1609,[26],[7],[],"",""
218,3831,[24],[7],[],"",""
219,4037,[70],[7],[],"",""
220,4110,[136],[7],[],"",""
221,11986,[2478],[7],[],"",""
222,10299,[3288],[7],[],"",""
223,7048,[3546],[7],[],"",""
224,5229,[5228],[7],[],"",""
225,11987,[5036],[7],[],"",""
226,5232,[5231],[7],[],"",""
227,7177,[7178],[7],[],"",""
228,5336,[5335],[7],[],"",""
229,11985,[7372],[7],[],"",""
230,8786,[8785],[7],[],"",""
231,18069,[18069],[7],[],"",""
232,18486,[1100],[],[],"",""
233,18640,[18642],[],[],"",""
234,7671,[2069],[],[],"",""
235,18762,[9467],[],[],"",""
236,19040,[4793],[],[],"",""
237,19083,[8931],[],[],"",""
238,19087,[569],[],[],"",""
239,19269,[52],[],[],"",""
240,19270,[53],[],[],"",""
241,19483,[19484],[],[],"",""
242,19482,[19482],[],[],"",""
243,19481,[118],"[71,72,73,74,75,76]",[],"",""
244,19486,[19486],[],[],"",""
245,19487,[19487],[],[],"",""
246,19488,[19488],[],[],"",""
247,19489,[19489],[],[],"",""
248,19490,[19490],[],[],"",""
249,19491,[19491],[],[],"",""
250,19852,[19850],[],[],"",""
251,19853,[19851],[],[],"",""
252,19963,[8785],"[8,0]",[],"",""
253,19985,[172],"[57,63,27,56,68,70,81,87,91,95,82,102,97]",[],"",""
254,20207,[20208],[],[],"",""
255,20292,[20292],[],[],1,""
256,20607,"[20603,20604,20605]",[],[],"",""
257,20594,[20606],[],[],"",""
258,20595,[20599],[],[],"",""
259,20596,[20600],[],[],"",""
260,20597,[20601],[],[],"",""
261,20598,[20602],[],[],"",""
262,20951,[21017],[],[],"",""
263,23750,[23751],[],[],"",""
