"rownum","Id","Biomes","AdjecentBiomes"
0,"AllGround","[4,2,3,4]",[]
1,"Water",[0],[]
2,"Mountain",[1],[]
3,"Grass",[2],[]
4,"Forest",[3],[]
5,"Swamp",[4],[]
6,"Desert",[5],[]
7,"EzomyteCity",[6],[]
8,"FaridunCity",[7],[]
9,"VaalCity",[8],[]
10,"GrassForest","[2,3]",[]
11,"GrassDesert","[2,5]",[]
12,"ForestSwamp","[3,4]",[]
13,"ForestSwampNextToWater","[3,4]",[0]
14,"SwampNextToWater",[4],[0]
15,"EzomyteCityMountain","[6,1]",[]
16,"FaridunCityDesert","[7,5]",[]
17,"FaridunCityNextToWater",[7],[0]
18,"VaalCitySwamp","[8,4]",[]
19,"VaalCityMountain","[8,1]",[]
20,"VaalCityGrass","[8,2]",[]
21,"MountainDesert","[1,5]",[]
22,"MountainNextToForest",[1],[3]
23,"MountainGrassDesert","[1,2,5]",[]
24,"MountainGrassForest","[1,2,3]",[]
25,"MountainSwampDesert","[1,4,5]",[]
26,"GrassForestSwamp","[2,3,4]",[]
27,"GrassForestDesert","[2,3,5]",[]
28,"MountainGrassForestSwamp","[1,2,3,4]",[]
29,"WaterNextToMountain",[0],[1]
30,"WaterNextToDesert",[0],[5]
31,"WaterNextToDesertMountain",[0],"[5,1]"
32,"WaterNextToDesertSwampMountain",[0],"[5,4,1]"
33,"WaterNextToGrassForest",[0],"[2,3]"
34,"WaterNextToGrassDesert",[0],"[2,5]"
35,"WaterNextToGrassForestDesertMountain",[0],"[2,3,5,1]"
36,"EzomyteCityGrass","[6,2]",[]
37,"FaridunCityMountain","[7,1]",[]
38,"EzomyteCityForest","[6,3]",[]
39,"FaridunCityDesertMountain","[7,5,1]",[]
40,"SwampDesert","[4,5]",[]
41,"MountainForest","[1,3]",[]
42,"MountainForestNextToMountain","[1,3]",[1]
43,"MountainSwamp","[1,4]",[]
44,"VaalCityMountainGrass","[8,1,2]",[]
45,"VaalCityMountainDesert","[8,1,5]",[]
46,"MountainDesertNextToDesert","[1,5]",[5]
47,"WaterNextToGrassForestMountain",[0],"[2,3,1]"
48,"GrassForestNextToWater","[2,3]",[0]
