"rownum","Id","Filters","Filters (French)","Filters (German)","Filters (Japanese)","Filters (Korean)","Filters (Portuguese)","Filters (Russian)","Filters (Spanish)","Filters (Thai)","Filters (Traditional Chinese)","FilterGroup","i32_32","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","bool_44","bool_45","bool_46","bool_47","KeywordPopup"
0,"life","life","vie","leben","ライフ","생명력","vida","life","vida","พลังชีวิต","生命",0,100,"Life","Vie","Leben","ライフ","생명력","Vida","Здоровье","Vida","พลังชีวิต","生命","","","",1,""
1,"mana","mana","mana","mana","マナ","마나","mana","mana","maná","มานา","魔力",0,100,"Mana","Mana","Mana","マナ","마나","Mana","Мана","Maná","มานา","魔力","","","",1,""
2,"spirit","spirit","esprit","wille","スピリット","정신력","espírito","spirit","espíritu","พลังวิญญาณ","精魂",0,100,"Spirit","Esprit","wille","スピリット","정신력","Espírito","Дух","Espíritu","พลังวิญญาณ","精魂","","","",1,127
3,"energy_shield","energy shield","bouclier d'énergie","energieschild","エナジーシールド","에너지 보호막","escudo de energia","energy shield","escudo de energía","โล่พลังงาน","能量護盾",0,100,"Energy Shield","Bouclier d'énergie","Energieschild","エナジーシールド","에너지 보호막","Escudo de Energia","Энергетический щит","Escudo de energía","โล่พลังงาน","能量護盾","","","",1,88
4,"attribute","attribute","attribut","attibute","能力値","능력치","atributo","attribute","atributo","ค่าคุณสมบัติ","能力",1,100,"Attribute","Attribut","Attribute","能力値","능력치","Atributo","Характеристика","Atributo","ค่าคุณสมบัติ","能力","","","",1,8
5,"dexterity","dexterity","dextérité","geschick","器用さ","민첩","destreza","dexterity","destreza","Dexterity","敏捷",1,100,"Dexterity","Dextérité","Geschick","器用さ","민첩","Destreza","Ловкость","Destreza","Dexterity","敏捷",1,"","",1,10
6,"intelligence","intelligence","intelligence","intelligenz","知性","지능","inteligência","intelligence","inteligencia","Intelligence","智慧",1,100,"Intelligence","Intelligence","Intelligenz","知性","지능","Inteligência","Интеллект","Inteligencia","Intelligence","智慧",1,"","",1,11
7,"strength","strength","force","stärke","筋力","힘","força","strength","fuerza","Strength","力量",1,100,"Strength","Force","Stärke","筋力","힘","Força","Сила","Fuerza","Strength","力量",1,"","",1,9
8,"spell","spell","sort","zauber","スペル","주문","magia","spell","hechizo","เวท","法術",4,100,"Spell","Sort","Zauber","スペル","주문","Magia","Чары","Hechizo","เวท","法術",1,1,"","",98
9,"cast","cast","incantation","wirken","キャスト","시전","conjuração","cast","lanzamiento","ร่าย","施放",4,100,"Cast","Incantation","Wirken","キャスト","시전","Conjuração","Сотворение","Lanzamiento","ร่าย","施放",1,1,"","",""
10,"skill_effect","skill effect","effet des aptitudes","fertigkeitseffekt","スキル効果","스킬 효과","efeito de habilidade","skill effect","efecto de habilidad","ผลของสกิล","技能效果",4,100,"Skill Effect","Effet des aptitudes","Fertigkeitseffekt","スキル効果","스킬 효과","Efeito de Habilidade","Эффект умений","Efecto de habilidad","ผลของสกิล","技能效果",1,"","","",""
11,"aura","aura","aura","aura","オーラ","오라","aura","aura","aura","ออร่า","光環",4,100,"Aura","Aura","Aura","オーラ","오라","Aura","Аура","Aura","ออร่า","光環",1,"","","",179
12,"minion","minion","créature","kreatur","ミニオン","소환수","lacaio","minion","esbirro","มิเนียน","召喚物",4,100,"Minion","Créature","Kreatur","ミニオン","소환수","Lacaio","Приспешник","Esbirro","มิเนียน","召喚物",1,"","","",132
13,"herald","herald","héraut","herold","ヘラルド","전령","arauto","herald","heraldo","สาสน์","捷光環",4,100,"Herald","Héraut","Herold","ヘラルド","전령","Arauto","Вестник","Heraldo","สาสน์","捷光環",1,"","","",189
14,"totem","totem","totem","totem","トーテム","토템","totem","totem","tótem","โทเทม","圖騰",4,100,"Totem","Totem","Totem","トーテム","토템","Totem","Тотем","Tótem","โทเทม","圖騰",1,"","","",79
15,"curse","curse","malédiction","fluch","呪い","저주","maldição","curse","maldición","คำสาป","詛咒",4,100,"Curse","Malédiction","Fluch","呪い","저주","Maldição","Проклятие","Maldición","คำสาป","詛咒",1,"","","",134
16,"mark","mark","marque","mal","呪印","징표","marca","mark","señal","คำแช่ง","印記",4,100,"Mark","Marque","Mal","呪印","징표","Marca","Метка","Señal","คำแช่ง","印記",1,"","","",237
17,"debuff","debuff","effet néfaste","schwächung","デバフ","디버프","penalidade","debuff","efecto nocivo","ดีบัฟ","減益效果",4,100,"Debuff","Effet néfaste","Schwächung","デバフ","디버프","Penalidade","Отрицательный эффект","Efecto nocivo","ดีบัฟ","減益效果",1,"","","",166
18,"buff_effect","buff effect","effet des effets bénéfiques","stärkungswirkung","バフ効果","버프 효과","efeito de bônus","buff effect","efecto beneficioso","ผลของบัฟ","增益效果",4,100,"Buff Effect","Effet des effets bénéfiques","Stärkungswirkung","バフ効果","버프 효과","Efeito de Bônus","Сила положительного эффекта","Efecto beneficioso","ผลของบัฟ","增益效果",1,"","","",222
19,"meta_skill","meta skill","aptitude méta","meta-fertigkeit|metafertigkeiten","メタスキル","메타 스킬","habilidade meta","meta skill","metahabilidad","สกิลเมต้า","主要技能",4,100,"Meta Skill","Aptitude méta","Meta-Fertigkeit","メタスキル","메타 스킬","Habilidade Meta","Мета-камень","Metahabilidad","สกิลเมต้า","主要技能",1,"","","",229
20,"trigger","trigger","déclenchement","auslöser|auslösen","トリガー","발동","ativação","trigger","activación","ทริกเกอร์","觸發",4,100,"Trigger","Déclenchement","Auslöser","トリガー","발동","Ativação","Активатор","Activación","ทริกเกอร์","觸發",1,"","","",188
21,"link_skills","link skills","aptitudes de lien","verbindungs-fertigkeiten|verbindungsfertigkeiten","リンクスキル","연결 스킬","habilidades de conexão","link skills","habilidades de vínculo","สกิลประสาน","連結技能",4,100,"Link Skills","Aptitudes de lien","Verbindungs-Fertigkeiten","リンクスキル","연결 스킬","Habilidades de Conexão","Умения связей","Habilidades de vínculo","สกิลประสาน","連結技能",1,"","","",342
22,"axe","axe","hache","axt","斧","도끼","machado","axe","hacha","ขวาน","斧",3,100,"Axe","Hache","Axt","斧","도끼","Machado","Топор","Hacha","ขวาน","斧",1,1,"","",110
23,"bow","bow","arc","bogen","弓","활","arco","bow","arco","ธนู","弓",3,100,"Bow","Arc","Bogen","弓","활","Arco","Лук","Arco","ธนู","弓",1,1,"","",111
24,"claw","claw","griffe","klaue","鉤爪","클로","garra","claw","garra","กรงเล็บ","爪",3,100,"Claw","Griffe","Klaue","鉤爪","클로","Garra","Коготь","Garra","กรงเล็บ","爪",1,1,"","",114
25,"crossbow","crossbow","arbalète","armbrust","クロスボウ","석궁","besta","crossbow","ballesta","หน้าไม้","十字弓",3,100,"Crossbow","Arbalète","Armbrust","クロスボウ","석궁","Besta","Самострел","Ballesta","หน้าไม้","十字弓",1,1,"","",122
26,"dagger","dagger","dague","dolch","短剣","단검","adaga","dagger","daga","มีด","匕首",3,100,"Dagger","Dague","Dolch","短剣","단검","Adaga","Кинжал","Daga","มีด","匕首",1,1,"","",112
27,"flail","flail","fléau d'armes","flegel","フレイル","도리깨","mangual","flail","mangual","ลูกตุ้ม","鏈錘",3,100,"Flail","Fléau d'armes","Flegel","フレイル","도리깨","Mangual","Кистень","Mangual","ลูกตุ้ม","鏈錘",1,1,"","",123
28,"mace","mace","masse","streitkolben","メイス","철퇴","maça","mace","maza","กระบอง","錘",3,100,"Mace","Masse","Streitkolben","メイス","철퇴","Maça","Булава","Maza","กระบอง","錘",1,1,"","",107
29,"quarterstaff","quarterstaff|quarterstaves","bâton de combat|bâtons de combat","kampfstab|kampfstäbe","クォータースタッフ|クォータースタッフ","육척봉|육척봉","quarterstaff|bastões","quarterstaff|quarterstaves","bastón|bastones","ไม้พลองวรยุทธ์","細杖|細杖",3,100,"Quarterstaff","Bâton de combat","Kampfstab","クォータースタッフ","육척봉","Bastão","Боевой посох","Bastón","ไม้พลองวรยุทธ์","細杖",1,1,"","",120
30,"spear","spear","lance","speer","槍","창","lança","spear","lanza","หอก","長矛",3,100,"Spear","Lance","Speer","槍","창","Lança","Копьё","Lanza","หอก","長矛",1,1,"","",121
31,"sword","sword","épée","schwert","剣","검","espada","sword","espada","ดาบ","劍",3,100,"Sword","Épée","Schwert","剣","검","Espada","Меч","Espada","ดาบ","劍",1,1,"","",106
32,"shield","shield","bouclier","schild","盾","방패","escudo","shield","escudo","โล่","盾",3,100,"Shield","Bouclier","Schild","盾","방패","Escudo","Щит","Escudo","โล่","盾",1,1,"","",116
33,"trap","trap","piège","falle","罠","덫","armadilha","trap","trampa","กับดัก","陷阱",3,100,"Trap","Piège","Falle","罠","덫","Armadilha","Ловушка","Trampa","กับดัก","陷阱",1,1,"","",100
34,"one_handed","one handed","à une main","einhändig|einhand","片手","한손","uma mão","one handed","a una mano","มือเดียว","單手",3,100,"One Handed","À une main","Einhändig","片手","한손","Uma Mão","Одноручное","A una mano","มือเดียว","單手",1,1,"","",128
35,"two_handed","two handed","à deux mains","zweihändig|zweihand","両手","양손","duas mãos","two handed","a dos manos","สองมือ","雙手",3,100,"Two Handed","À deux mains","Zweihändig","両手","양손","Duas Mãos","Двуручное","A dos manos","สองมือ","雙手",1,1,"","",129
36,"unarmed","unarmed","à mains nues","unbewaffnet","素手","비무장","desarmado","unarmed","desarmado","มือเปล่า","空手",3,100,"Unarmed","À mains nues","Unbewaffnet","素手","비무장","Desarmado","Без оружия","Desarmado","มือเปล่า","空手",1,1,"","",140
