"rownum","Id","MonsterVarieties","i32_24","bool_28","i32_29","i32_33","bool_37","bool_38","bool_39"
0,"BloodWaves",[1938],3,"",2000,0,"",1,""
1,"OrbitingInsects",[1940],10,"",2000,0,"",1,""
2,"RatTornado",[1941],1,"",1000,0,"","",1
3,"PurplePustules",[1943],1,"",2200,0,1,"",""
4,"TreeRoots",[1944],1,"",1000,0,"",1,""
5,"CrimsonWolf",[1946],1,"",1000,0,"",1,""
6,"ToadPortals",[1948],1,"",1000,0,"",1,""
7,"CorpseFissures",[1947],1,"",1000,0,"","",""
8,"CreepingFog",[1950],3,"",3000,0,"","",1
9,"Queen",[1079],1,"",1000,0,1,1,""
