"rownum","IntId","MinimapIconsKey","string_20","MiscAnimatedKey","f32_44","Id"
0,0,177,"",3097,3,"LegionRewardCurrency"
1,1,192,"",3098,3,"LegionRewardUniques"
2,2,182,"",3099,3,"LegionRewardGems"
3,3,186,"",3100,3,"LegionRewardMaps"
4,4,191,"",3101,3,"LegionRewardTrinkets"
5,5,174,"",3102,3,"LegionRewardArmour"
6,6,193,"",3103,3,"LegionRewardWeapon"
7,7,173,"",3096,3,"LegionRewardAbyss"
8,8,184,"",3105,3,"LegionRewardHarbinger"
9,9,176,"",3106,3.5,"LegionRewardBreach"
10,10,179,"",3107,3,"LegionRewardEssences"
11,11,179,"",3107,3,"LegionRewardEssences"
12,12,181,"",3108,3,"LegionRewardFragments"
13,13,189,"",3109,3,"LegionRewardScarabs"
14,14,180,"",3110,3,"LegionRewardFossils"
15,15,178,"",3112,3.5,"LegionRewardDivination"
16,16,183,"",3113,3,"LegionRewardGeneric"
17,17,190,"",3115,3,"LegionRewardTalismans"
18,18,185,"",3116,3,"LegionRewardLabyrinth"
19,19,185,"",3116,3,"LegionRewardLabyrinth2"
20,20,194,"",3117,3,"LegionRewardIncubators"
21,21,194,"",3117,3,"LegionRewardIncubators"
22,22,194,"",3117,3,"LegionRewardIncubators"
23,23,194,"",3117,3,"LegionRewardIncubators"
24,24,194,"",3117,3,"LegionRewardIncubators"
