"rownum","Id","f32_8","Actions","f32_28"
0,"Metadata/Effects/Spells/warcry_new/audio/warcry_audio.ao",0.5,"[349,6,8,265,347,348,346,351,379]",0.2
1,"Metadata/Effects/Spells/warcries/ancestral_cry/ancestral_cry.ao",0.5,[349],0.2
2,"Metadata/Effects/Spells/warcries/divine_cry/divine_cry.ao",0.5,[379],0.2
3,"Metadata/Effects/Spells/abyssal_cry/abyssal_cry.ao",0.5,[8],0.2
4,"Metadata/Effects/Spells/warcries/enduring_cry/enduring_cry.ao",0.5,[6],0.2
5,"Metadata/Effects/Spells/warcries/enduring_cry/healing_buff.ao",0.5,[6],0.2
6,"Metadata/Effects/Spells/warcries/infernal_cry/infernal_cry.ao",0.5,[347],0.2
7,"Metadata/Effects/Spells/warcries/intimidating_cry/intimidating_cry.ao",0.5,[265],0.2
8,"Metadata/Effects/Spells/warcries/rallying_cry/rallying_cry.ao",0.5,[346],0.2
9,"Metadata/Effects/Spells/warcries/seismic_cry/seismic_cry.ao",0.5,[348],0.2
10,"Metadata/Effects/Spells/warcries/spiritual_cry/spiritual_cry.ao",0.5,[351],0.2
11,"Metadata/Effects/Spells/warcries/ancestors/ancestor.ao",0.5,[351],0.2
12,"Metadata/Effects/Spells/warcries/ancestors/ancestor_f.ao",0.5,[351],0.2
13,"Metadata/Effects/Spells/blood_rage/rig.ao",0.5,[21],0.2
