"rownum","MapContent","i32_16","MapBiome","Weighting"
0,12,0,[],[1000]
1,13,0,[],[1000]
2,14,0,[],[1000]
3,15,0,[],[1000]
4,16,0,[],[1000]
5,17,0,[],[1000]
6,18,0,[],[1000]
7,19,0,[],[1000]
8,20,0,[],[1000]
9,21,0,[],[1000]
10,23,0,[],[1000]
11,24,0,[],[1000]
12,25,0,[],[1000]
13,26,0,[],[1000]
14,27,0,[],[1000]
15,28,0,[],[1000]
16,29,0,[],[1000]
17,30,0,[],[1000]
18,31,0,[],[1000]
19,32,0,[],[1000]
20,33,0,[],[1000]
21,38,0,[],[1000]
22,39,0,[],[1000]
23,40,0,[],[1000]
24,41,0,[],[0]
25,42,0,[],[0]
26,43,0,[],[1000]
27,44,0,[],[1000]
28,45,0,[],[1000]
29,46,0,[],[1000]
30,47,0,[],[1000]
31,48,0,[],[1000]
32,49,0,[],[1000]
33,50,0,[],[1000]
34,51,0,[],[1000]
35,52,0,[],[1000]
36,53,0,"[1,2,3,4,5]","[200,200,200,200,200]"
37,54,0,"[0,2,3,4,5]","[200,200,200,200,200]"
38,55,0,"[0,1,3,4,5]","[200,200,200,200,200]"
39,56,0,"[0,1,2,4,5]","[200,200,200,200,200]"
40,57,0,"[0,1,2,3,5]","[200,200,200,200,200]"
41,58,0,"[0,1,2,3,4]","[200,200,200,200,200]"
42,60,1,[],[1000]
43,61,1,[],[1000]
44,62,1,[],[1000]
45,63,1,[],[1000]
46,64,1,[],[1000]
47,65,1,[],[1000]
48,51,2,[],[10]
