"rownum","rid_0","i32_16","rid_20","rid_36","rid_52","rid_68","rid_84","rid_100","bool_116"
0,0,0,"",606,607,608,"","",""
1,3,0,2,910,911,"","","",""
2,1,0,0,606,607,608,"","",""
3,1,1,7,1231,1230,"","",1232,1
4,1,2,8,606,607,608,"","",""
5,1,3,5,606,607,608,"","",1
6,1,4,6,606,607,608,"","",""
7,1,5,12,606,607,608,"","",""
8,2,0,1,606,607,608,"","",""
9,2,1,10,606,607,608,"","",""
10,4,0,3,606,607,608,"","",""
11,4,1,9,606,607,608,"","",""
12,4,2,11,606,607,608,"","",""
13,5,0,4,"","","","","",""
14,6,0,"",1179,1178,1184,1180,"",""
