"rownum","Id","AnimatedObject","AdditionalAnimatedObjects","i32_32","i32_36","i32_40","i32_44","i32_48","i32_52","bool_56","bool_57","bool_58"
0,"MapRustbowl","Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/Rustbowl01.ao",[],0,0,0,0,-10,10,"","",""
1,"MapBackwash","Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/BackWash01.ao",[],0,0,0,0,-10,10,"","",""
2,"MapBurialBog","Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/BurialBog01.ao","[""Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/BurialBog02.ao""]",20,30,2,4,-10,10,"","",""
3,"MapWetlands","Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/Wetlands01.ao",[],0,0,0,0,-10,10,"","",""
4,"MapBloomingField","Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/BloomingField01.ao","[""Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/BloomingField02.ao""]",20,30,3,6,-10,10,"","",""
5,"MapSavanna","Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/Savanna01.ao",[],0,0,0,0,-10,10,"","",""
6,"MapFortress","Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/Fortress01.ao",[],0,0,0,0,-10,10,"","",""
7,"MapPenitentiary","Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/Penitentiary01.ao","[""Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/Penitentiary02.ao""]",20,30,4,8,-10,10,"","",""
8,"MapSandspit","Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/SandSplit01.ao",[],0,0,0,0,-10,10,"","",""
9,"MapForge","Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/Forge01.ao",[],0,0,0,0,-10,10,"","",""
10,"MapSulphuricCaverns","Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/SulphuricCaverns01.ao",[],0,0,0,0,-10,10,"","",""
11,"MapMire","Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/Mire01.ao",[],0,0,0,0,-10,10,"","",""
12,"MapWoodland","Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/Woodland01.ao",[],0,0,0,0,-10,10,"","",""
13,"MapWillow","Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/Willow01.ao",[],0,0,0,0,-10,10,"","",""
14,"MapHeadland","Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/Headland01.ao",[],0,0,0,0,-10,10,"","",""
15,"MapLoftySummit","Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/MapLoftySummit01.ao",[],0,0,0,0,-10,10,"","",""
16,"MapNecropolis","Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/Necropolis01.ao",[],0,0,0,0,-10,10,"","",""
17,"MapCrypt","Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/Crypt01.ao",[],0,0,0,0,-10,10,"","",""
18,"MapSteamingSprings","Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/SteamingSprings01.ao",[],0,0,0,0,-10,10,"","",""
19,"MapSeepage","Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/Seepage01.ao",[],0,0,0,0,-10,10,"","",""
20,"MapSteppe","Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/Steppe01.ao",[],0,0,0,0,-10,10,"","",""
21,"MapSlick","Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/Slick01.ao",[],0,0,0,0,-10,10,"","",""
22,"MapSpiderWoods","Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/SpiderForest01.ao",[],0,0,0,0,-10,10,"","",""
23,"MapMarrow","Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/Abyss01.ao",[],0,0,0,0,-10,10,"","",""
24,"MapVaalCity","Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/VaalCity01.ao",[],0,0,0,0,-10,10,"","",""
25,"MapBloodwood","Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/Bloodwood01.ao",[],0,0,0,0,-10,10,"","",""
26,"MapCenotes","Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/Cenotes01.ao",[],0,0,0,0,-10,10,"","",""
27,"MapHiddenGrotto","Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/HiddenGrotto01.ao",[],0,0,0,0,-10,10,"","",""
28,"MapRavine","Metadata/Terrain/WorldMaps/Maps/Doodads/Maps/Ravine01.ao",[],0,0,0,0,-10,10,"","",""
29,"MapUberBoss_IronCitadel","Metadata/Terrain/WorldMaps/Maps/Doodads/Cities/EzomyteBigCity01.ao",[],0,0,0,0,-10,10,"","",""
30,"MapUberBoss_StoneCitadel","Metadata/Terrain/WorldMaps/Maps/Doodads/Cities/VaalBigCity01.ao",[],0,0,0,0,-10,10,"","",""
31,"MapUberBoss_CopperCitadel","Metadata/Terrain/WorldMaps/Maps/Doodads/Cities/FaridunBigCity01.ao",[],0,0,0,0,-10,10,"","",""
