"rownum","Id","MiscBeams","MiscAnimated","i32_36","string_40","bool_48","i32_49","bool_53","i32_54","i32_58","MiscBeamsPulse","MiscAnimatedPulse","i32_94","bool_98","i32_99","i32_103","i32_107","bool_111"
0,0,102,2328,40,"root","",0,"",0,0,"","",0,"",0,2,2,1
1,1,190,3035,40,"R_Weapon","",30,"",0,0,"","",0,"",0,2,2,1
2,2,279,4192,20,"mouth_fx_mid",1,0,"",20,78,"","",0,"",0,2,2,1
3,3,279,4192,20,"mouth_fx_mid","",30,"",0,0,"","",0,"",0,2,2,1
4,4,500,"",18,"facelaser",1,10,1,0,0,"","",0,"",0,1,2,""
5,5,109,"",36,"root",1,0,"",0,0,"","",0,"",0,2,2,1
6,6,109,"",20,"root",1,0,"",0,0,"","",0,"",0,2,2,1
7,7,387,4943,15,"aux_lantern",1,0,"",20,78,"","",0,"",0,2,2,1
8,8,470,5662,20,"aux_laser",1,0,"",20,78,"","",0,"",0,2,2,1
9,9,485,5863,20,"aux_L_Weapon_attachment","",10,1,0,0,"","",0,"",0,2,2,1
10,10,532,6604,20,"death_beam",1,0,"",0,0,533,6605,30,1,0,2,2,1
11,11,659,7509,18,"stone_jntBnd",1,0,"",0,78,"","",5,"",0,1,0,1
12,12,593,7152,1,"head_Ice_dir","",0,"",16,24,"","",0,"",0,1,0,1
13,13,603,6604,30,"antenna_jntBnd_9",1,60,1,0,0,"","",0,"",0,2,2,1
14,14,675,8199,7,"laser_start",1,25,"",0,0,"","",28,"",0,2,2,1
15,15,691,8622,12,"FX_laserStart",1,25,"",0,0,"","",30,"",0,2,0,""
16,16,676,8858,7,"laser_start",1,25,"",0,0,"","",28,"",0,2,2,1
17,17,891,10569,20,"FX_laserStart",1,25,"",0,0,"","",30,"",0,2,0,""
18,18,891,10569,20,"FX_laserStart",1,25,1,0,0,"","",30,"",0,2,0,""
19,19,892,10567,20,"FX_laserStart",1,25,"",0,0,"","",30,"",0,2,0,""
20,20,892,10567,20,"FX_laserStart",1,25,1,0,0,"","",30,"",0,2,0,""
