"rownum","Id","string_8","string_16","AOFile","EffectPack","rid_48","string_64"
0,"ExplosiveShotTest","aux_front_01","","Metadata/Effects/Spells/fireball/fireball_new2.ao",480,"",""
1,"ToxicDomainArrow","aux_front_01","","",1162,"",""
2,"ShatteringConcoctionProjectile","jntBnd_botle","","Metadata/Effects/Spells/ascendancy_classes/pathfinder/flask_cold_proj.ao","","",""
3,"ExplosiveConcoctionProjectile","jntBnd_botle","","Metadata/Effects/Spells/ascendancy_classes/pathfinder/flask_fire_proj.ao","","",""
4,"FulminatingConcoctionProjectile","jntBnd_botle","","Metadata/Effects/Spells/ascendancy_classes/pathfinder/flask_lightning_proj.ao","","",""
5,"BleedingConcoctionProjectile","jntBnd_botle","","Metadata/Effects/Spells/ascendancy_classes/pathfinder/flask_blood_proj.ao","","",""
6,"PoisonousConcoctionProjectile","jntBnd_botle","","Metadata/Effects/Spells/ascendancy_classes/pathfinder/flask_poison_proj.ao","","",""
7,"MirrorOfRefractionMod","","","",1231,"",""
8,"ToxicDomainArrowNightLotus","aux_front_01","","",1288,"",""
9,"ToxicDomainArrowBlight","aux_front_01","","",1324,"",""
10,"AncestrallyBoostedSpell","pfx_bone","","",1395,"",""
11,"VoltaicBarrierProjectileBoost","","","",1434,"",""
