"rownum","Stat","bool_16","bool_17","bool_18","bool_19"
0,1835,1,"","",""
1,3339,1,"","",""
2,1774,1,"","",""
3,5458,1,"","",""
4,1834,1,"","",""
5,8711,1,"","",""
6,1759,1,"","",""
7,8712,1,"","",""
8,5082,1,"","",""
9,5144,1,"","",""
10,2429,1,"","",""
11,12572,"",1,"",""
12,2475,"","",1,""
13,2570,1,"","",""
14,4328,"","",1,""
15,3209,1,"","",""
16,3210,"","",1,""
17,3211,1,"","",""
18,11613,1,"","",""
19,4331,"","",1,""
20,5017,"","",1,""
21,1980,"","",1,""
22,2492,"","",1,""
23,3514,1,"","",""
24,4467,1,"","",""
25,4579,1,"","",""
26,4602,"","",1,""
27,11132,"","",1,""
28,4706,1,"","",""
29,2338,1,"","",""
30,3929,1,"","",""
31,8713,1,"","",""
32,5011,1,"","",""
33,4329,1,"","",""
34,3196,1,"","",""
35,5130,1,"","",""
36,5848,"","","",1
37,5982,1,"","",""
38,6004,1,"","",""
39,6060,1,"","",""
40,6784,1,"","",""
41,6842,1,"","",""
42,6880,"","",1,""
43,6968,1,"","",""
44,6984,"","","",""
45,7118,1,"","",""
46,7121,1,"","",""
47,7214,1,"","",""
48,8026,1,"","",""
49,8007,1,"","",""
50,8105,1,"","",""
51,8295,"",1,"",""
52,6112,1,"","",""
53,9024,"","",1,""
54,9246,"","",1,""
55,10243,"","",1,""
56,10999,1,"","",""
57,11016,1,"","",""
58,11063,"","","",""
59,11070,"","","",""
60,11408,1,"","",""
61,11595,1,"","",""
62,12271,1,"","",""
63,13325,1,"","",""
64,7624,"",1,"",""
65,13941,1,"","",""
66,14515,1,"","",""
67,16823,"","",1,""
68,16830,"","",1,""
69,16833,"","",1,""
70,16839,"","",1,""
71,16842,"","","",""
72,16852,"","","",""
73,16864,"","","",""
74,16867,"","","",""
75,16882,1,"","",""
76,16848,"","","",""
77,17022,"","","",""
78,17331,"","","",""
79,17350,"","","",""
80,13056,1,"","",""
81,13423,"","","",""
82,17818,"","","",""
83,17828,"","","",""
84,18247,"","","",""
85,18403,"","","",""
86,18484,"","","",""
87,24624,"","","",""
88,18492,"","","",""
89,18516,"","","",""
90,18523,"","","",""
91,18538,"","","",""
92,18716,"","","",""
93,18691,"",1,"",""
94,18854,"","","",""
95,18871,"","","",""
96,19396,"","","",""
97,19531,"","","",""
98,24102,"","","",""
99,19642,"","","",""
100,19681,"","","",""
101,19973,"","","",""
102,20002,"","","",""
103,20003,"","","",""
104,18847,"","","",""
105,19467,"","","",""
106,20412,"","","",""
107,20414,"","","",""
108,20834,"","","",""
109,21103,"","","",""
110,20956,"","","",""
111,22262,"","","",""
112,21356,"","","",""
113,21453,"","","",""
114,21455,"","","",""
115,20578,"","","",""
116,21702,"","",1,""
117,22583,"","","",""
118,21012,"","","",""
119,19454,"","","",""
120,21237,"","","",""
121,21116,"","","",""
122,12350,1,"","",1
123,22306,"","","",""
124,21346,"","","",""
125,22228,"","","",""
126,19211,"","","",""
127,22442,"","","",""
128,21050,"","","",""
129,22886,"","","",""
130,22950,"","","",""
131,23630,"","","",""
132,22352,"","","",""
133,17993,"","","",""
134,23691,"","","",""
135,23639,"","","",""
136,23864,"","","",""
137,23869,"","","",""
138,23744,"","","",""
139,23893,"","","",""
140,24099,"","","",""
141,24116,"","","",""
142,24252,"","","",""
143,24254,"","","",""
144,24257,"","","",""
145,24300,"","","",""
146,22549,1,"","",""
147,23920,"","","",""
148,24497,"","","",""
149,24705,"","","",""
150,24925,"","","",""
151,23195,"","","",""
152,24416,"","","",""
153,24393,"","","",""
154,24386,"","","",""
155,24886,"","","",""
156,23854,"","","",""
157,25947,"","","",""
158,25948,"","","",""
159,22601,"","","",""
160,25949,"","","",""
161,25950,"","","",""
162,25713,"","","",""
163,3547,"","","",""
164,25963,1,"","",""
165,26042,"","","",""
166,25226,"","",1,""
167,26168,"","",1,""
168,22883,"","",1,""
169,23120,"","","",""
170,22444,"","","",""
171,26548,"","",1,""
172,26691,"","",1,""
173,26716,"","","",""
174,26928,"","","",""
