"rownum","Id","Stats","StatValues","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","Icon","i32_56","bool_60","EffectCategory","NextEffect","string_85","BoonDesc","BoonDesc (French)","BoonDesc (German)","BoonDesc (Japanese)","BoonDesc (Korean)","BoonDesc (Portuguese)","BoonDesc (Russian)","BoonDesc (Spanish)","BoonDesc (Thai)","BoonDesc (Traditional Chinese)","CurseDesc","CurseDesc (French)","CurseDesc (German)","CurseDesc (Japanese)","CurseDesc (Korean)","CurseDesc (Portuguese)","CurseDesc (Russian)","CurseDesc (Spanish)","CurseDesc (Thai)","CurseDesc (Traditional Chinese)","i32_109","i32_113","bool_117","[rid]_118","Guard","FirstEffect","i32_158","i32_162","bool_166","bool_167","HASH16"
0,"AfflictionMonsterMoreDamage",[15212],[30],"Honed Claws","Griffes affûtées","Gewetzte Krallen","鋭い爪","날카로운 발톱","Garras Afiadas","Заточенные когти","Garras afiladas","กรงเล็บลับแหลม","磨礪之爪","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseHonedClawsIcon",13,1,1,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseHonedClaws","","","","","","","","","","","Monsters deal 30% more Damage","Les monstres infligent 30% Davantage de Dégâts.","Monster verursachen 30% mehr Schaden","モンスターのダメージが30%上昇する","몬스터가 주는 피해 30% 증폭","Monstros causam 30% mais Dano","Монстры наносят на 30% больше урона","Los monstruos infligen un 30% más de daño","มอนสเตอร์ สร้างความเสียหาย เพิ่มขึ้น อีก 30%","怪物造成 30% 更多傷害",3,0,"",[],[],"",3,0,"","",62326
1,"BoonMonsterLessDamage",[15211],[-20],"Fright Mask","Masque effrayant","Schreckensmaske","恐怖の仮面","섬뜩한 가면","Máscara do Medo","Маска страха","Máscara de pavor","หน้ากากข่มขวัญ","恐懼面具","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonFrightMaskIcon",13,1,2,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonFrightMask","Monsters deal 20% less Damage","Les monstres ont 20% de Perte de Dégâts","Monster verursachen 20% weniger Schaden","モンスターのダメージが20%低下する","몬스터가 주는 피해 20% 감폭","Monstros causam 20% menos Dano","Монстры наносят на 20% меньше урона","Los monstruos infligen un 20% menos de daño","มอนสเตอร์ สร้างความเสียหาย ลดลง อีก 20%","怪物造成 20% 更少傷害","","","","","","","","","","",3,0,"",[],[],"",3,0,"","",15442
2,"AfflictionTrapDamageMajor",[19115],[1],"Deadly Snare","Piège mortel","Tödliche Falle","致命的な罠","치명적인 올가미","Olhar Mortal","Смертельная ловушка","Trampa mortal","บ่วงปางตาย","致命陷阱","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseHeightenedSecurityIcon",13,1,3,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseHeightenedSecurity","","","","","","","","","","","Traps deal Triple Damage","Les Dégâts que les pièges infligent sont triplés","Fallen verursachen dreifachen Schaden","罠はトリプルダメージを与える","덫이 3배의 피해를 줌","Armadilhas causam Dano Triplicado","Ловушки наносят утроенный урон","Las trampas infligen el triple de daño","กับดัก สร้างความเสียหายสามเท่า","陷阱造成三倍傷害",3,0,"",[],[],"",3,0,"","",41921
3,"AfflictionTrapDamage",[19116],[100],"Dark Pit","Fosse noire","Dunkle Grube","闇の闘技場","어두운 구덩이","Fosso Sombrio","Тёмная яма","Foso oscuro","หลุมมืด","暗坑","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseDarkPitIcon",13,1,1,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseDarkPit","","","","","","","","","","","Traps deal 100% increased Damage","Les Dégâts que les pièges infligent sont augmentés de 100%","Fallen verursachen 100% erhöhten Schaden","罠のダメージが100%増加する","덫이 주는 피해 100% 증가","Armadilhas causam Dano aumentado em 100%","Урон ловушек увеличивается на 100%","Las trampas infligen daño aumentado un 100%","กับดัก สร้างความเสียหาย เพิ่มขึ้น 100%","陷阱增加 100% 傷害",3,0,"",[],[],"",3,0,"","",62584
4,"AfflictionLessSacredWater",[16149],[-50],"Low Rivers","Rivières asséchées","Niedrige Flüsse","低い川","수위가 낮은 강","Rios Baixos","Маловодные реки","Ríos bajos","แม่น้ำลดหลั่น","低淺之河","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/AfflictionLowRiversIcon",13,1,1,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/AfflictionLowRivers","","","","","","","","","","","50% less [SacredWater|Sacred Water] found","Vous avez 50% de Perte d'[SacredWater|Eaux sacrées] trouvées","50% weniger gefundenes [SacredWater|Heiliges Wasser]","見つかる[SacredWater|神聖な水]が50%低下する","발견하는 [SacredWater|신성한 물] 50% 감폭","50% menos [SacredWater|Água Sagrada] encontrada","На 50% меньше находимой [SacredWater|святой воды]","50% menos de [SacredWater|agua sagrada] encontrada","ลด [SacredWater|วารีศักดิ์สิทธิ์] ที่พบ อีก 50%","掉落 50% 更少[SacredWater|神聖之水]",3,0,"",[],[],"",3,0,"","",21680
5,"AfflictionLessDamage",[16150],[-40],"Blunt Sword","Épée émoussée","Stumpfes Schwert","切れ味の悪い剣","뭉툭한 검","Espada Cega","Тупой меч","Espada roma","ดาบทื่อ","鈍劍","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseBluntSwordIcon",13,1,1,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseBluntSword","","","","","","","","","","","You and your Minions deal 40% less Damage","Vous et vos Créatures avez 40% de Perte de Dégâts","Ihr und Eure Kreaturen verursachen 40% weniger Schaden","プレイヤーとそのミニオンのダメージが40%低下する","플레이어와 플레이어의 소환수가 주는 피해 40% 감폭","Você e seus Lacaios causam 40% menos Dano","Вы и ваши приспешники наносите на 40% меньше урона","Tú y tus esbirros infligen un 40% menos de daño","คุณและมิเนียนของคุณ\r\nสร้างความเสียหาย ลดลง อีก 40%","你和你的召喚物造成 40% 更少傷害",3,0,"",[],[],"",3,0,"","",40008
6,"AfflictionTrapSpeed",[16141],[1],"Rapid Quicksand","Sables mouvants rapides","Schneller Treibsand","素早い流砂","신속한 유사","Areia Movediça Rápida","Быстрые зыбучие пески","Emboscada rápida","ทรายดูดฉับไว","快速流沙","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseRapidQuicksandIcon",13,1,1,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseRapidQuicksand","","","","","","","","","","","Traps are faster","Les Pièges sont plus rapides","Fallen sind schneller","罠が素早くなる","덫이 빨라짐","Armadilhas são mais rápidas","Ловушки действуют быстрее","Las trampas son más rápidas","กับดัก เร็วขึ้น","陷阱被加速",3,0,"",[],[],"",3,0,"","",56047
7,"AfflictionTrapVolatiles",[16143],[1],"[UNUSED]","Attracteur d'anomalies","Anomalistische Anziehungskraft","アノマリーを引き寄せるもの","이형 유인기","Atrator de Anomalias","Аттрактор аномалий","Atracción de anomalías","เครื่องดึงดูดความวิกล","異常吸引","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseAnomalyAttractorIcon",13,1,3,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/CurseAnomalyAttractor","","","","","","","","","","","Rooms spawn [Volatiles|Volatile] Anomalies","La salle génère des [Volatiles|Orbes instables]","Räume beschwören [Volatiles|Explosive Anomalien]","部屋に[Volatiles|ボラタイル]アノマリーが出現するようになる","방이 [Volatiles|폭발성] 이형 생성","Salas geram Anomalias [Volatiles|Voláteis]","В залах появляются [Volatiles|нестабильные] аномалии","Las salas generan anomalías [Volatiles|volátiles]","ห้อง สร้าง [Volatile|พลังไล่ระเบิด]","房間產生[Volatiles|極凍]天體",3,0,"",[],[],"",3,0,"","",16773
8,"BoonMovementSpeed",[5531],[40],"Hare Foot","Patte de lièvre","Hasenpfote","ウサギの足","산토끼 발","Pé de Coelho","Кроличья лапка","Pata de liebre","ตีนกระต่ายป่า","腳兔","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonHareFootIcon",13,1,2,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonHareFoot","40% increased Movement Speed","40% d'Augmentation de Vitesse de déplacement","40% erhöhte Bewegungsgeschwindigkeit","移動スピードが40%増加する","이동 속도 40% 증가","Velocidade de Movimento aumentada em 40%","40% повышение скорости передвижения","Velocidad de movimiento aumentada un 40%","เพิ่มความเร็วในการเคลื่อนที่ 40%","增加 40% 移動速度","","","","","","","","","","",3,0,"",[],[],"",3,0,"","",13820
9,"BoonMoreSacredWater",[16207],[50],"Flooding Rivers","Rivières débordantes","Überschwemmende Flüsse","溢れる川","범람하는 강","Rios Transbordados","Разлившиеся реки","Ríos inundados","แม่น้ำท่วมท้น","氾濫之河","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonGoldFragmentRiverIcon",13,1,2,"","Art/2DArt/UIImages/InGame/Sanctum/BoonCurseIcons/BoonGoldFragmentRiver","50% more [SacredWater|Sacred Water] found","Vous trouvez 50% Davantage d'[SacredWater|Eaux sacrées]","50% mehr gefundenes [SacredWater|Heiliges Wasser]","見つかる[SacredWater|神聖な水]の量が50%上昇する","발견하는 [SacredWater|신성한 물] 50% 증폭","50% a mais de [SacredWater|Água Sagrada] encontrada ","На 50% больше находимой [SacredWater|святой воды]","50% más de [SacredWater|agua sagrada] encontrada","เพิ่ม [SacredWater|วารีศักดิ์สิทธิ์] ที่พบ อีก 50%","掉落 50% 更多[SacredWater|神聖之水]","","","","","","","","","","",3,0,"",[],[],"",3,0,"","",44476
