"rownum","BaseItemType","RadiusJewel","RubyPrefix","RubySuffix","EmeraldPrefix","EmeraldSuffix","SapphirePrefix","SapphireSuffix","DiamondPrefix","DiamondSuffix","HASH32"
0,1111,0,1766,"",1822,"",1819,"","","",3558973508
1,1112,0,1824,"",1846,"",1792,"","","",1060236306
2,1113,0,1877,"",1816,"",1790,"","","",179907527
3,1114,0,1771,"","",1772,"",1785,"","",2925687957
4,1115,0,"",1839,"",1794,1900,"","","",2534866128
5,1116,0,"",1845,"",1843,"",1853,"","",1329267521
6,1117,0,"",1889,"",1769,"",1899,"","",3302909607
7,1118,0,"",1920,"",1770,"",1799,"","",378934824
8,1119,0,1861,"","",1874,1765,"","","",2607837952
9,1120,0,"",1859,"",1860,"",1858,"",2154,2842802550
10,1121,1,1951,"",2006,"",2003,"","","",3161404305
11,1122,1,2008,"",2030,"",1977,"","","",3291328320
12,1123,1,2058,"",2000,"",1975,"","","",698967992
13,1124,1,1956,"","",1957,"",1970,"","",2406518609
14,1125,1,"",2023,"",1979,2081,"","","",1939435155
15,1126,1,"",2029,"",2027,"",2037,"","",1150604461
16,1127,1,"",2070,"",1954,"",2080,"","",3545994693
17,1128,1,"",2101,"",1955,"",1984,"","",3843095764
18,1129,1,2042,"","",2055,1950,"","","",2748975130
19,1130,1,2119,"",2121,"",2120,"","","",2010310018
20,1131,0,"",2157,"",2158,"",2159,"","",1144488204
21,1132,0,2148,2147,2148,2147,2148,2147,2148,2147,3533069787
22,1133,0,2156,2155,2156,2155,2156,2155,2156,2155,881805295
23,1134,1,2149,"",2149,"",2149,"",2149,"",3420892531
24,1135,1,"",2150,"",2152,"",2151,"",2153,2624348676
25,1136,1,2156,2155,2156,2155,2156,2155,2156,2155,220014110
