"rownum","BaseItemTypesKey","RequiredJob_HeistJobsKey","RequiredLevel"
0,1180,"",0
1,1181,"",0
2,1182,"",0
3,1183,"",0
4,1218,"",2
5,1219,"",3
6,1220,"",4
7,1221,"",5
8,1222,"",2
9,1223,"",3
10,1224,"",4
11,1225,"",5
12,1226,0,2
13,1227,0,3
14,1228,0,4
15,1229,0,5
16,1230,1,2
17,1231,1,3
18,1232,1,4
19,1233,1,5
20,1234,2,2
21,1235,2,3
22,1236,2,4
23,1237,2,5
24,1238,3,2
25,1239,3,3
26,1240,3,4
27,1241,3,5
28,1242,4,2
29,1243,4,3
30,1244,4,4
31,1245,4,5
32,1246,5,2
33,1247,5,3
34,1248,5,4
35,1249,5,5
36,1250,6,2
37,1251,6,3
38,1252,6,4
39,1253,6,5
40,1254,7,2
41,1255,7,3
42,1256,7,4
43,1257,7,5
44,1258,8,2
45,1259,8,3
46,1260,8,4
47,1261,8,5
48,1262,"",2
49,1263,"",3
50,1264,"",4
51,1265,"",5
52,1266,"",2
53,1267,"",3
54,1268,"",4
55,1269,"",5
56,1270,"",2
57,1271,"",3
58,1272,"",4
59,1273,"",5
