"rownum","rid_0","i32_16","i32_20"
0,0,0,1065353216
1,1,1,1065353216
2,1,2,1066192077
3,1,3,1067098885
4,1,4,1067975495
5,1,5,1068800095
6,1,6,1069606240
7,1,7,1070384703
8,1,8,1071054114
9,1,9,1071595179
10,1,10,1072131211
11,1,11,1072662210
12,1,12,1073185659
13,1,13,1073699881
14,1,14,1073971672
15,1,15,1074216200
16,1,16,1074452339
17,1,17,1074680090
18,1,18,1074898194
19,1,19,1075104973
20,1,20,1075300008
21,1,21,1075499237
22,1,22,1075702242
23,1,23,1075909021
24,1,24,1076120833
25,1,25,1076336001
26,1,26,1076556202
27,1,27,1076780178
28,1,28,1077009187
29,1,29,1077242390
30,1,30,1077480207
31,1,31,1077723057
32,1,32,1077970521
33,1,33,1078223438
34,1,34,1078480968
35,1,35,1078743532
36,1,36,1079011548
37,1,37,1079285016
38,1,38,1079563937
39,1,39,1079848311
40,1,40,1080138557
41,2,1,1065353216
42,2,2,1066176977
43,2,3,1067074558
44,2,4,1067948651
45,2,5,1068779962
46,2,6,1069605401
47,2,7,1070414063
48,2,8,1071129611
49,2,9,1071731914
50,2,10,1072345960
51,2,11,1072972589
52,2,12,1073611801
53,2,13,1074002290
54,2,14,1074332801
55,2,15,1074668765
56,2,16,1075008923
57,2,17,1075353695
58,2,18,1075703081
59,2,19,1076054983
60,2,20,1076410240
61,2,21,1076777242
62,2,22,1077156826
63,2,23,1077548574
64,2,24,1077953325
65,2,25,1078371497
66,2,26,1078803510
67,2,27,1079250203
68,2,28,1079711157
69,2,29,1080188050
70,2,30,1080680461
71,2,31,1081189230
72,2,32,1081714776
73,2,33,1082194185
74,2,34,1082474784
75,2,35,1082764611
76,2,36,1083064084
77,2,37,1083373624
78,2,38,1083693230
79,2,39,1084023531
80,2,40,1084364738
81,3,1,1065353216
82,3,2,1066192077
83,3,3,1067110629
84,3,4,1068014082
85,3,5,1068883142
86,3,6,1069754719
87,3,7,1070621262
88,3,8,1071404758
89,3,9,1072081718
90,3,10,1072784684
91,3,11,1073511976
92,3,12,1074003968
93,3,13,1074394458
94,3,14,1074797950
95,3,15,1075216122
96,3,16,1075647716
97,3,17,1076093990
98,3,18,1076554944
99,3,19,1077030578
100,3,20,1077520892
