"rownum","Id","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)"
0,"Currency","Currency","Objets monétaires","Währung","カレンシー","화폐","Moeda","Валюта","Objetos monetarios","เงินตรา","通貨"
1,"CurrencyQuality","Quality Currency","Objets monétaires de qualité","Qualitäts-Währung","品質カレンシー","퀄리티 화폐","Moeda de Qualidade","Валюта для повышения качества","Objetos monetarios de calidad","เงินตราค่าคุณภาพ","品質通貨"
2,"CurrencySockets","Jewellers' Currency","Objets monétaires de joaillier","Währung des Juweliers","宝飾職人のカレンシー","쥬얼러의 화폐","Moeda do Joalheiro","Валюта златокузнеца","Objetos monetarios de joyero","เงินตราสำหรับรู","工匠的通貨"
3,"CurrencyIdentification","Identification Currency","Objets monétaires d'identification","Identifikationswährung","鑑定カレンシー","식별 화폐","Moeda de Identificação","Валюта для опознавания","Objetos monetarios de identificación","เงินตราตรวจสอบไอเทม","鑑定通貨"
4,"Shards","Currency Shards","Éclats d'Objets monétaires","Währungssplitter","カレンシーシャード","화폐 파편","Fragmentos de Moeda","Осколки валюты","Esquirlas de objetos monetarios","เศษเงินตรา","通貨碎片"
5,"Fragments","Fragments","Fragments","Fragmente","フラグメント","조각","Fragmentos","Фрагменты","Fragmentos","ชิ้นส่วน","碎片"
6,"Ritual","Ritual","Rituel","Ritual","リチュアル","의식","Ritual","Ритуал","Ritual","พิธีกรรม","祭祀"
7,"FragmentsUltimatum","Ultimatum Fragments","Fragments d'Ultimatum","Ultimatumfragmente","アルティメイタムフラグメント","결전 조각","Fragmentos do Ultimato","Фрагменты Ультиматума","Fragmentos de ultimátum","ชิ้นส่วนคำขาด","最後通牒碎片"
8,"FragmentsPinnacle","Pinnacle Fragments","Fragments de la Finalité","Überfragmente","ピナクルフラグメント","최종 조각","Fragmentos Supremos","Верховные фрагменты","Fragmentos de jefes definitivos","ชิ้นส่วนอภิมหาบอส","巔峰碎片"
9,"FragmentsVaultKey","Reliquary Keys","Clés du Reliquaire","Schlüssel zur Reliquienkammer","聖廟の鍵","성유물 보관실 열쇠","Chaves do Relicário","Ключи от Реликвария","Llaves del relicario","กุญแจคลังวัตถุโบราณ","聖物鑰匙"
10,"EssencesLesser","Lesser Essences","Essences mineures","Geringere Essenzen","レッサーエッセンス","하위 에센스","Essências Menores","Малые сущности","Esencias menores","เอสเซนส์ชั้นต่ำ","低階精髓"
11,"Essences","Essences","Essences","Essenzen","エッセンス","에센스","Essências","Сущности","Esencias","เอสเซนส์","精髓"
12,"EssencesGreater","Greater Essences","Essences majeures","Größere Essenzen","グレーターエッセンス","상위 에센스","Essências Maiores","Большие Сущности","Esencias superiores","เอสเซนส์ชั้นสูง","高階精髓"
13,"EssencesPerfect","Perfect Essences","Essences parfaites","Perfekte Essenzen","パーフェクトエッセンス","완벽한 에센스","Essências Perfeitas","Совершенные Сущности","Esencias perfectas","เอสเซนส์ไร้ที่ติ","完美精髓"
14,"EssencesCorrupted","Corrupted Essences","Essences corrompues","Verderbte Essenzen","コラプトエッセンス","타락한 에센스","Essências Corrompidas","Осквернённые Сущности","Esencias corruptas","เอสเซนส์มีมลทิน","已汙染的精髓"
15,"Breach","Breach","Brèche","Riss","ブリーチ","균열","Fenda","Разлом","Fisura","บรีช","裂痕聯盟"
16,"BreachSplinters","Breach Splinters","Esquilles de Brèche","Riss-Splitter","ブリーチスプリンター","균열 파편","Fragmentos da Fenda","Осколки Разлома","Astillas de fisura","สะเก็ดบรีช","裂痕斷片"
17,"BreachCatalyst","Catalysts","Catalyseurs","Katalysatoren","カタリスト","기폭제","Catalisadores","Катализаторы","Catalizadores","ตัวเร่งปฏิกิริยา","催化劑"
18,"Delirium","Delirium","Délire","Delirium","デリリウム","환영","Delírio","Делириум","Delirio","เดลิเรียม","譫妄異域"
19,"DeliriumSplinters","Simulacrum","Simulacre","Simulacrum","シミュラクラム","복제된 영토","Simulacrum","Симулякр","Simulacro","เมืองจำแลง","幻像異界"
20,"DeliriumInstill","Liquid Emotions","Émotions liquides","Flüssige Emotionen","液化した感情","액체 감정","Emoções Líquidas","Жидкие эмоции","Emociones líquidas","กระสายอารมณ์","液態情感"
21,"DivinationCards","Divination Cards","Cartes divinatoires","Weissagungskarten","占いカード","점술 카드","Cartas de Adivinhação","Гадальные карты","Cartas","ไพ่พยากรณ์","命運卡"
22,"DivinationCardsWeaponsArmour","Divination Cards Rewarding Weapons or Armour","Cartes divinatoires octroyant des Armes ou Armures","Weissagungskarten für Waffen oder Rüstungen","武器または防具を報酬とする占いカード","무기 또는 방어구를 보상으로 주는 점술 카드","Cartas de Adivinhação que Recompensam com Armas ou Armaduras","Гадальные карты оружия и доспехов","Cartas de adivinación que otorgan armas o armadura","ไพ่พยากรณ์ที่ให้ อาวุธหรือเกราะ","命運卡獎勵武器或護甲"
23,"DivinationCardsJewelleryJewels","Divination Cards Rewarding Jewellery or Jewels","Cartes divinatoires octroyant des Accessoires ou Joyaux","Weissagungskarten für Schmuck oder Juwelen","宝飾品またはジュエルを報酬とする占いカード","장신구 또는 주얼을 보상으로 주는 점술 카드","Cartas de Adivinhação que Recompensam com Joias ou Pedrarias","Гадальные карты бижутерии и самоцветов","Cartas de adivinación que otorgan joyería o joyas","ไพ่พยากรณ์ที่ให้ เครื่องประดับหรือจิวเวล","命運卡獎勵飾品或珠寶"
24,"DivinationCardsCurrency","Divination Cards Rewarding Currency","Cartes divinatoires octroyant des Objets monétaires","Weissagungskarten für Währung","カレンシーを報酬とする占いカード","화폐를 보상으로 주는 점술 카드","Cartas de Adivinhação que Recompensam com Moedas","Гадальные карты валюты","Cartas de adivinación que otorgan objetos monetarios","ไพ่พยากรณ์ที่ให้ เงินตรา","命運卡獎勵通貨"
25,"DivinationCardsGems","Divination Cards Rewarding Gems","Cartes divinatoires octroyant des Gemmes","Weissagungskarten für Gemmen","ジェムを報酬とする占いカード","젬을 보상으로 주는 점술 카드","Cartas de Adivinhação que Recompensam com Gemas","Гадальные карты камней","Cartas de adivinación que otorgan gemas","ไพ่พยากรณ์ที่ให้ หิน","命運卡獎勵寶石"
26,"DivinationCardsMapsFragments","Divination Cards Rewarding Maps or Fragments","Cartes divinatoires octroyant des Cartes ou Fragments","Weissagungskarten für Karten oder Fragmente","マップまたはフラグメントを報酬とする占いカード","지도 또는 조각을 보상으로 주는 점술 카드","Cartas de Adivinhação que Recompensam com Fragmentos ou Mapas","Гадальные карты фрагментов и карт","Cartas de adivinación que otorgan mapas o fragmentos","ไพ่พยากรณ์ที่ให้ แผนที่หรือชิ้นส่วน","命運卡獎勵地圖或碎片"
27,"DivinationCardsFlasks","Divination Cards Rewarding Flasks","Cartes divinatoires octroyant des Flacons","Weissagungskarten für Fläschchen","フラスコを報酬とする占いカード","플라스크를 보상으로 주는 점술 카드","Cartas de Adivinhação que Recompensam com Frascos","Гадальные карты флаконов","Cartas de adivinación que otorgan frascos","ไพ่พยากรณ์ที่ให้ ขวดยา","命運卡獎勵藥劑"
28,"DivinationCardsMisc","Other Divination Cards","Autres Cartes divinatoires","Andere Weissagungskarten","その他占いカード","기타 점술 카드","Outras Cartas de Adivinhação","Другие гадальные карты","Otras cartas de adivinación","ไพ่พยากรณ์อื่นๆ","其他命運卡"
29,"Expedition","Expedition","Expédition","Expedition","エクスペディション","탐험","Expedição","Экспедиция","Expedición","กองสำรวจ","死境探險"
30,"ExpeditionArtifacts","Artifacts","Artéfacts","Artefakte","アーティファクト","유물","Artefatos","Артефакты","Artefactos","โบราณวัตถุ","文物"
31,"Verisium","Verisium","Vérisium","Verisium","ヴェリシウム","베리시움","Verísio","Веризий","Verisium","เวรีเซียม","維里西姆"
32,"Alloys","Alloys","Alliages","Legierungen","合金","합금","Ligas","Сплавы","Aleaciones","โลหะ","合金"
33,"Fluxes","Fluxes","Flux","Flussmittel","フラックス","유동체","Fluxos","Расплавы","Flujos","ไอเทมไหลเวียน","助熔劑"
34,"StarlitOre","Starlit Ore","Minerai étoilé","Sternenlichterz","星明りの鉱石","별빛 광석","Minério Estrelado","Подзвёздная руда","Mineral estelar","แร่แสงดารา","星耀礦石"
35,"Popular","Popular","Populaire","Beliebt","人気","인기","Popular","Популярное","Popular","ยอดนิยม","熱門"
36,"Owned","Owned","En votre possession","Im Besitz","所持","보유 중","Possuído","В наличии","Poseo","ที่มีอยู่","已擁有"
37,"Runes","Runes","Runes","Runen","ルーン","룬","Runas","Руны","Runas","อักขระ","符文"
38,"PerfectRunes","Perfect Runes","Runes parfaites","Perfekte Runen","パーフェクトルーン","완벽한 룬","Runas Perfeitas","Безупречные руны","Runas perfectas","อักขระไร้ที่ติ","完美符文"
39,"GreaterRunes","Greater Runes","Runes majeures","Größere Runen","グレータールーン","상위 룬","Runas Maiores","Большие руны","Runas superiores","อักขระชั้นสูง","高階符文"
40,"SoulCore","Soul Cores","Noyaux d'âme","Seelenkerne","ソウルコア","영혼 핵","Núcleos d'Alma","Ядра душ","Núcleos de alma","แกนวิญญาณ","靈魂核心"
