"rownum","Id","rid_8","[f32]_24","[rid]_40","[string]_56"
0,"FireSurgeMultiSpeed",4486,"[1,2,3]","[4486,4486,4486]","[""slow"",""medium"",""fast""]"
1,"ColdSurgeMultiSpeed",4906,"[1,2,3]","[4906,4906,4906]","[""slow"",""medium"",""fast""]"
2,"LightningSurgeMultiSpeed",4905,"[1,2,3]","[4905,4905,4905]","[""slow"",""medium"",""fast""]"
3,"FlameSurge3",2389,[],[],[]
4,"ColdSurge1",2402,[],[],[]
5,"GemlingColdSurge",2447,[],[],[]
6,"LightningSurge1",2403,[],[],[]
7,"ChaosSurge1",2404,[],[],[]
8,"HolySurge1",2413,[],[],[]
9,"PoisonSurge1",2414,[],[],[]
10,"AuraSurgeRed1",2408,[],[],[]
11,"AuraSurgePurple1",2410,[],[],[]
12,"AuraSurgeGreen1",2406,[],[],[]
13,"AuraSurgeLightGreen1",2407,[],[],[]
14,"AuraSurgeGolden1",2411,[],[],[]
15,"AuraSurgeBlue1",2409,[],[],[]
16,"FocusSurge",2493,[],[],[]
17,"VortexSurge",2609,[],[],[]
18,"HuntsmanAuraStart",2882,[],[],[]
19,"MadcapPhaseRunStart",2840,[],[],[]
20,"MoltenShellCast",3096,[],[],[]
21,"StygianMoltenShellCast",3962,[],[],[]
22,"MoltenShellCastViper",4926,[],[],[]
23,"VaalMoltenShellCast",3097,[],[],[]
24,"StygianVaalMoltenShellCast",3972,[],[],[]
25,"AuraSurgeOrange1",2412,[],[],[]
26,"MinionFocusFireSurge",3371,[],[],[]
27,"PolarisBlackAuraStart",3537,[],[],[]
28,"PolarisWhiteAuraStart",3538,[],[],[]
29,"FrenzyArrowBaseSurge",3593,[],[],[]
30,"ArrowBaseSurgeFire",3698,[],[],[]
31,"ArrowBaseSurgeIce",3699,[],[],[]
32,"ArrowBaseSurgeLightning",3700,[],[],[]
33,"ArrowBaseSurgePhys",3701,[],[],[]
34,"ArrowBaseSurgePhysRed",3702,[],[],[]
35,"ArrowBaseSurgeChaos",3703,[],[],[]
36,"BladeBurstSurge",3815,[],[],[]
37,"IllusionistBladeBlastSurgeEffect",3916,[],[],[]
38,"SawbladeBladeBlastSurgeEffect",3926,[],[],[]
39,"AuraSurgeScientist",3899,[],[],[]
40,"StygianSurgeNew",5152,[],[],[]
41,"DarkSurge",3989,[],[],[]
42,"AngelicAuraEffect",3995,[],[],[]
43,"DemonicAuraEffect",3996,[],[],[]
44,"MicrotransactionDragonHunterSurge",4000,[],[],[]
45,"DesecrateStygianSurge",3967,[],[],[]
46,"GhostflameSurge",2444,[],[],[]
47,"FlameSurgeNew",4230,[],[],[]
48,"CelestialSurge",2445,[],[],[]
49,"HarbingerSurge",2446,[],[],[]
50,"ColdSurgeNew",4231,[],[],[]
51,"LightningSurgeNew",4232,[],[],[]
52,"DetonateBrandsSurge",4311,[],[],[]
53,"SunriseAuraEffect",4396,[],[],[]
54,"NightfallAuraEffect",4397,[],[],[]
55,"VoidSurge",4783,[],[],[]
56,"BladeVortexIllusionist",4827,[],[],[]
57,"AutomatonSurge",4828,[],[],[]
58,"DeathWishSurge",4854,[],[],[]
59,"DarkwoodSurge",4891,[],[],[]
60,"ChaoticEthercraftAura",4911,[],[],[]
61,"EnragedEthercraftAura",4912,[],[],[]
62,"SavageEthercraftAura",4913,[],[],[]
63,"TranquilEthercraftAura",4914,[],[],[]
64,"BlasphemySurge",4941,[],[],[]
65,"SufferingSurge",5046,[],[],[]
66,"MiserySurge",5069,[],[],[]
67,"BlueDragonSurge",5072,[],[],[]
68,"RedDragonSurge",5073,[],[],[]
69,"CombinedDragonSurge",5074,[],[],[]
70,"MicrotransactionFrostVikingSurge",5154,[],[],[]
71,"FirestormCelestialSurge",5202,[],[],[]
72,"MicrotransactionLightbringerSurge",5212,[],[],[]
73,"MicrotransactionDarkshardSurge",5213,[],[],[]
74,"BloodTendrilsSurge",5217,[],[],[]
75,"BloodSurgeSurge",5222,[],[],[]
76,"ArcPurpleSurge",5223,[],[],[]
77,"RadiantSurge",5224,[],[],[]
78,"MicrotransactionMerchantSurge",5240,[],[],[]
79,"CelestialWaveOfConvictionSurge",5264,[],[],[]
80,"StygianWaveOfConvictionSurge",5265,[],[],[]
81,"FrenzyArrowSurgeArcane",5305,[],[],[]
82,"SummonRavenSurge",5585,[],[],[]
83,"SummonBloodRavenSurge",5586,[],[],[]
84,"SummonBeesSurge",5587,[],[],[]
85,"CelestialSummonRagingSpiritSurge",5588,[],[],[]
86,"SummonArcaneEyeSurge",5779,[],[],[]
87,"PainSuppressionSurge",5591,[],[],[]
88,"SunSurge",5603,[],[],[]
89,"BloodreapSurge",5660,[],[],[]
90,"IceShotVaalOrbSurge",145,[],[],[]
91,"RighteousFireLightbringerSurge",5696,[],[],[]
92,"ArrowSurgeStygianPuncture",5763,[],[],[]
93,"AbsolutionBlastSurge",5798,"[1,2,3]","[5798,5798,5798]","[""slow"",""medium"",""fast""]"
94,"OverseerSurge",5800,[],[],[]
95,"ScavengerSurge",5801,[],[],[]
96,"BloodTendrilsSurgeTranscendence",5858,[],[],[]
97,"VoidEmperorBladeBurstSurgeEffect",5884,[],[],[]
98,"ManaSurgeMultiSpeed",5893,"[1,2,3]","[5893,5893,5893]","[""slow"",""medium"",""fast""]"
99,"ColdSnapOverseerSurge",5903,[],[],[]
100,"VortexSurgeMyrmidon",5924,[],[],[]
101,"ArrowSurgeFireMystic",5934,[],[],[]
102,"StormCultistLightningSurge",5977,[],[],[]
103,"EyeOfWinterCelestialSurge",6007,[],[],[]
104,"SirenSurge",6251,[],[],[]
105,"DeepwaterSurge",6252,[],[],[]
106,"DirebladeFireballMultiSurge",6322,"[1,2,3]","[6322,6322,6322]","[""slow"",""medium"",""fast""]"
107,"SummonRagingSpiritsOblivionSurge",6347,[],[],[]
108,"SummonRagingSpiritsOnyxOblivionSurge",6348,[],[],[]
109,"CracklingLanceCelestial",6384,[],[],[]
110,"HeritageSurge",6394,[],[],[]
111,"DivergenceSurge",6395,[],[],[]
112,"OblivionFireballSurge",6447,"[1,2,3]","[6447,6447,6447]","[""slow"",""medium"",""fast""]"
113,"OnyxOblivionFireballSurge",6448,"[1,2,3]","[6448,6448,6448]","[""slow"",""medium"",""fast""]"
114,"MoltenShellCastDivine",6508,[],[],[]
115,"BloodTendrilsSurgeMercurial",6554,[],[],[]
116,"XenozakSurge",6637,[],[],[]
117,"FirestormMeteorShowerSurge",6647,[],[],[]
118,"IncendiaryBoltSurge",6726,[],[],[]
119,"SummonRagingSpiritsDemonicSurge",6771,[],[],[]
120,"ForbiddenRiteCatSurge",6776,[],[],[]
121,"DemonicFireballSurge",6778,"[1,2,3]","[6778,6778,6778]","[""slow"",""medium"",""fast""]"
122,"CelestialNovaSurge",6790,[],[],[]
123,"BloodSurgeHeritageSurge",6800,[],[],[]
124,"LightningArrowDivineSurge",6890,[],[],[]
125,"IceSpearVoidEmperorSurge",6891,[],[],[]
126,"MoltenShellCastMercury",6904,[],[],[]
127,"VaalMoltenShellCastMercury",6905,[],[],[]
128,"GalvanicFieldSurge",6970,[],[],[]
129,"CelestialGalvanicFieldSurge",7011,[],[],[]
130,"AutomatonGalvanicFieldSurge",7019,[],[],[]
131,"RighteousFireTranscendenceSurge",7020,[],[],[]
132,"StarfallReapSurge",7064,[],[],[]
133,"PolymorphPlayerSurgeMTX",7075,[],[],[]
134,"SummonerRingRitual",7425,[],[],[]
135,"SummonerRingStygian",7426,[],[],[]
136,"SummonerRingNecrotic",7427,[],[],[]
137,"SummonerRingDivine",7428,[],[],[]
138,"VaalVenomGyreSurge",7429,[],[],[]
139,"VaalVenomGyreSurgeIllusionist",7430,[],[],[]
140,"EyeOfWinterButterflySurge",7545,[],[],[]
141,"ColdSnapBlightedSurge",7551,[],[],[]
142,"VortexSurgeDeathly",7578,[],[],[]
143,"ColdSnapDelirium",7582,[],[],[]
144,"RollingThunderWaveOfConviction",7587,[],[],[]
145,"WildlifeGraceSurge",7627,[],[],[]
146,"WildlifeDeterminationSurge",7628,[],[],[]
147,"WildlifeDisciplineSurge",7629,[],[],[]
148,"CorruptionCreepingFrostSurge",7665,[],[],[]
149,"VineReapSurge",7675,[],[],[]
150,"FreezingBoltSurge",6727,[],[],[]
151,"ArmourPiercingBoltSurge",6728,[],[],[]
152,"CrossbowSurge",6740,[],[],[]
153,"IncendiaryPowerShotSurge",6752,[],[],[]
154,"FreezingPowerShotSurge",6753,[],[],[]
155,"ArmourPiercingPowerShotSurge",6754,[],[],[]
156,"CurseTriggerSurge",8144,[],[],[]
157,"StormblastSurge",8148,[],[],[]
158,"DemonFormSurge",8908,[],[],[]
159,"ArchmageSurge",8951,[],[],[]
160,"BloodmageSurge",8953,[],[],[]
161,"RathpithSurge",9473,[],[],[]
162,"ArbiterOfDivinitySurge",10896,[],[],[]
163,"ArbiterOfDivinityEmpoweredSurge",10897,[],[],[]
164,"VerisiumSurge",10959,[],[],[]
165,"ArbiterOfDivinityBossFightDivinity",11043,[],[],[]
166,"DivineOpportunityFlaskSurge",8952,[],[],[]
