"rownum","Id","BuffDefinition","Buff_StatValues","AuraRadius","[i32]_44","[i32]_60","BuffVisual","f32_92","bool_96","Stats","i32_113","i32_117","bool_121","rid_122","bool_138"
0,"UltimatumRecoveryDebuff1",1676,"[-40,-40,-40]",0,[],[],"",0,1,[],1,0,"","",""
1,"UltimatumAreaAndProjectileSpeedDebuff",1681,"[-50,-50]",0,[],[],"",0,1,[],1,0,"","",""
2,"UltimatumBuffsExpireFaster",1682,"[200,-66]",0,[],[],"",0,1,[],1,0,"","",""
3,"UltimatumCooldownSpeedDebuff",1683,[-80],0,[],[],"",0,1,[],1,0,"","",""
4,"UltimatumVulnerabilityDebuff",1672,[100],0,[],"[-100,1,-50]","",0,1,[],1,0,"","",""
5,"UltimatumMonsterSpeedBuff",1687,[25],0,[],"[-100,5,0]","",0,1,[],1,0,"","",""
6,"UltimatumResistancesDebuff1",1677,"[-15,-10]",0,[],[],"",0,1,[],1,0,"","",""
7,"UltimatumResistancesDebuff2",1677,"[-30,-20]",0,[],[],"",0,1,[],1,0,"","",""
8,"UltimatumDefencesDebuff1",1678,[-40],0,[],[],"",0,1,[],1,0,"","",""
9,"UltimatumDefencesDebuff2",1678,[-80],0,[],[],"",0,1,[],1,0,"","",""
10,"UltimatumBossEnrage",1680,"[25,25]",0,[],[],"",0,1,[],1,0,"","",""
11,"UltimatumBloodFog",2560,[],0,[],[],"",0,1,[],1,0,"","",""
12,"Unhinged",1593,[],0,[],[],"",0,1,[],1,0,"","",""
13,"PainSuppression",1692,"[0,0,0]",0,[],[],"",0,1,"[13053,12987,13134]",1,0,"","",""
14,"PlayerDebuffExtraCriticalRolls",1706,[-1],0,[],[],"",0,1,[],1,0,"","",""
15,"PlayerDebuffHinderedMsOnFlaskUse",1707,[4000],0,[],[],"",0,1,[],1,0,"","",""
16,"PlayerDebuffCancelFlaskEffectOnFlaskUse",1708,[1],0,[],[],"",0,1,[],1,0,"","",""
17,"PlayerDebuffCursesandNonDamagingAilmentsReflectedToSelf",1709,"[1,1]",0,[],[],"",0,1,[],1,0,"","",""
18,"PlayerDebuffRandomProjectileDirection",1710,[1],0,[],[],"",0,1,[],1,0,"","",""
19,"UltimatumFrostInfection",359,[],1,[9],[],1596,0,1,[],1,0,"","",""
20,"PlayerDebuffAurasAlsoAffectEnemies",1712,[1],0,[],[],"",0,1,[],1,0,"","",""
21,"ScionMovementSpeed",496,[8],60,"[1,2,10]",[],"",0,1,[],1,0,"","",""
22,"OccultistWitherNearbyEnemies",1153,[15000],0,[],[],"",0,1,[],1,0,"","",""
23,"ScionAuguryOfPenitence",549,[10],60,[3],[],"",0,1,[],1,0,"","",""
24,"OccultistPowerChargeOnManaSpent",858,[],0,[],[],"",0,1,[],1,0,"","",""
25,"OccultistNearbyEnemiesColdChaosResistLifeRegen",595,"[-20,-100,-20]",60,[3],[],"",0,1,[],1,0,"","",""
26,"OccultistNearbyEnemiesColdChaosResistLifeRegenHardMode",595,"[-8,-100,-8]",60,[3],[],"",0,1,[],1,0,"","",""
27,"ChampionMovementSpeed",495,[12],60,"[1,2,10]",[],"",0,1,[],1,0,"","",""
28,"JuggernautPhysDamagePreventedAsLifeRegen",990,[],0,[],[],"",0,1,[],1,0,"","",""
29,"OccultistNearbyEnemiesChilled",1406,[],60,[3],[1],"",0,1,[],1,0,"","",""
30,"ChampionFortify",1820,[],0,[],[],"",0,1,[],20,0,"","",""
31,"ChampionFortifyHardMode",1820,[],0,[],[],"",0,1,[],10,0,"","",""
32,"PendulumOfDestruction",972,[],0,[],[],"",0,1,[],1,0,"","",""
33,"ChieftanPhysicalAsFireCycle",978,[100],0,[],[],"",0,1,[],1,0,"","",""
34,"ChampionDamageAgainstImpaled",1157,"[6,12]",60,"[1,2,10]",[],"",0,1,[],1,0,"","",""
35,"SaboteurBlind",1406,[],35,[3],[9],"",0,1,[],1,0,"","",""
36,"AuguryOfPenitence",548,"[16,-8]",60,[3],[],"",0,1,[],1,0,"","",""
37,"AuguryOfPenitenceHardMode",548,"[8,-8]",60,[3],[],"",0,1,[],1,0,"","",""
38,"OccultistNearbyChilledEnemiesReducedHitDamage",1155,[-10],60,[3],[],"",0,1,[],1,0,"","",""
39,"OccultistNearbyHinderedEnemiesReducedDotDamage",1156,[-15],60,[3],[],"",0,1,[],1,0,"","",""
40,"SlayerCritMultiplier",1243,[-30],60,[3],[],"",0,1,[],1,0,"","",""
41,"GuardianDamageSpeedAreaIntimidate",1261,"[20,30,100,100]",60,"[2,10]",[],"",0,1,[],1,0,"","",""
42,"HardModeGuardianIntimidateUnnerve",1261,"[0,0,100,100]",60,"[2,10]",[],"",0,1,[],1,0,"","",""
43,"AfflictionNearbyEnemiesChilled",1406,[],30,[3],[1],"",0,1,[],1,0,"","",""
44,"AfflictionNearbyEnemiesFireExposure",1406,[],30,[3],"[3,10]","",0,1,[],1,0,"","",""
45,"ReplenishingPresenceLifeRegenAura",1448,[60],60,"[1,2,10]",[],"",0,1,[],1,0,"","",""
46,"DeadeyeTailwind",997,"[1,2,10,1]",60,"[1,2,10]",[],"",0,1,[],1,0,"","",""
47,"ScionTailwind",997,"[1,2,10,1]",60,"[1,2,10]",[],"",0,1,[],1,0,"","",""
48,"UltimatumDealNoDamageFor2SecondEvery8Seconds",1734,[],0,[],"[8000,2000]","",0,1,[],1,0,"","",""
49,"UltimatumLoseChargesEverySecond",1735,[],0,[],[1000],"",0,1,[],1,0,"","",""
50,"UltimatumAltarProtection",1738,[],22,"[3,10]",[],1628,0,1,[],1,0,"","",""
51,"UltimatumRecoveryDebuff2",1676,"[-75,-75,-75]",0,[],[],"",0,1,[],1,0,"","",""
52,"WitherNearbyEnemiesRoyale",1153,[5000],0,[],[],"",0,1,[],1,0,"","",""
