"rownum","Id","f32_8","f32_12","f32_16","f32_20","f32_24","f32_28","f32_32","i32_36","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","WorldArea","BossWorldArea","[i32]_80","AreaTag","MonsterTag","Stat","GroundType"
0,"Water",45,1.5,20,1.15,255,0.45,-60,1,"Water","Aquatique","Wasser","水","물","Água","Вода","Agua","สายน้ำ","水域","","",[25],1070,1255,25861,0
1,"Mountain",30,1.3,115,1.45,400,0.5,500,1,"Mountain","Montagne","Berg","山","산","Montanha","Гора","Montaña","ภูเขา","山地",291,"",[25],1071,1256,25862,1
2,"Grass",80,1.9,80,1.1,40,0.28,0,1,"Grass","Prairie","Gras","草原","풀","Relva","Трава","Hierba","หญ้า","草原",293,"",[33],1072,1257,25863,2
3,"Forest",150,1.95,100,1.2,0,0,0,1,"Forest","Forêt","Wald","森","숲","Floresta","Лес","Bosque","ป่า","森林",289,"",[33],1073,1258,25864,3
4,"Swamp",120,1.9,80,1.15,0,0,0,1,"Swamp","Marécage","Sumpf","沼","늪","Pântano","Болото","Pantano","หนองน้ำ","沼澤",290,"",[33],1074,1259,25865,4
5,"Desert",40,1.75,30,1.4,20,0.44,0,1,"Desert","Désert","Wüste","砂漠","사막","Deserto","Пустыня","Desierto","ทะเลทราย","沙漠",292,"",[33],1075,1260,25866,5
6,"EzomyteCity",0,0,0,0,0,0,0,1,"Ezomyte City","Cité ézomyte","Stadt der Ezomyten","エゾマイトの都市","에조미어 도시","Cidade Ezomyta","Город эзомитов","Ciudad ezomita","นครเอโซไมต์","艾茲麥城市",291,357,[40],1076,1261,25867,6
7,"FaridunCity",0,0,0,0,0,0,0,1,"Faridun City","Cité faridun","Stadt der Faridun","ファリドゥンの都市","파리둔 도시","Cidade Faridun","Город фаридунцев","Ciudad faridun","นครฟาริดัน","法里登城市",292,358,[40],1077,1262,25868,7
8,"VaalCity",0,0,0,0,0,0,0,1,"Vaal City","Cité vaal","Stadt der Vaal","ヴァールの都市","바알 도시","Cidade Vaal","Город ваал","Ciudad vaal","นครวาล์","瓦爾城市",290,359,[40],1078,1263,25869,8
9,"BreachCity",0,0,0,0,0,0,0,1,"Breach Stronghold","Bastion de Brèche","Riss-Festung","ブリーチの砦","균열 요새","Fortaleza da Fenda","Крепость Разлома","Fortificación de fisura","ฐานที่มั่นบรีช","裂痕據點",293,411,[40],1079,1256,25870,9
10,"Ocean",0,1,0,0,0,0,-60,1,"Ocean","Océan","Ozean","海","해양","Oceano","Океан","Océano","มหาสมุทร","海洋","","",[12],1080,1255,25871,10
11,"Island",120,0.8,30,0.4,0,0,0,1,"Island","Île","Insel","島","섬","Ilha","Остров","Isla","เกาะ","島嶼","","",[50],"","","",5
12,"OriathCity",0,0,0,0,0,0,0,1,"Oriath","Oriath","Oriath","オリアス","오리아스","Oriath","Ориат","Oriath","โอริอาท","奧瑞亞","","",[0],"","","",15
