"rownum","string_0","string_8","string_8 (French)","string_8 (German)","string_8 (Japanese)","string_8 (Korean)","string_8 (Portuguese)","string_8 (Russian)","string_8 (Spanish)","string_8 (Thai)","string_8 (Traditional Chinese)","string_16","string_24","string_24 (French)","string_24 (German)","string_24 (Japanese)","string_24 (Korean)","string_24 (Portuguese)","string_24 (Russian)","string_24 (Spanish)","string_24 (Thai)","string_24 (Traditional Chinese)","string_32","string_32 (French)","string_32 (German)","string_32 (Japanese)","string_32 (Korean)","string_32 (Portuguese)","string_32 (Russian)","string_32 (Spanish)","string_32 (Thai)","string_32 (Traditional Chinese)","string_40","string_40 (French)","string_40 (German)","string_40 (Japanese)","string_40 (Korean)","string_40 (Portuguese)","string_40 (Russian)","string_40 (Spanish)","string_40 (Thai)","string_40 (Traditional Chinese)"
0,"DPadUp","D-pad Up","Haut (croix direct.)","Steuerkreuz oben","方向キー上","방향패드 위","D-pad Cima","Крестовина вверх","Cruceta arriba","D-pad ขึ้น","上","DPadUp","Up","Haut","Oben","上","위","Cima","Вверх","Arriba","ขึ้น","上","D-pad Up","Haut (croix direct.)","Steuerkreuz oben","方向キー上","방향키 (상)","D-pad Cima","Крестовина вверх","Cruceta arriba","D-pad ขึ้น","上","Up","Haut","Oben","上","위","Cima","Вверх","Arriba","ขึ้น","上"
1,"DPadDown","D-pad Down","Bas (croix direct.)","Steuerkreuz unten","方向キー下","방향패드 아래","D-pad Baixo","Крестовина вниз","Cruceta abajo","D-pad ลง","下","DPadDown","Down","Bas","Unten","下","아래","Baixo","Вниз","Abajo","ลง","下","D-pad Down","Bas (croix direct.)","Steuerkreuz unten","方向キー下","방향키 (하)","D-pad Baixo","Крестовина вниз","Cruceta abajo","D-pad ลง","下","Down","Bas","Unten","下","아래","Baixo","Вниз","Abajo","ลง","下"
2,"DPadLeft","D-pad Left","Gauche (croix direct.)","Steuerkreuz links","方向キー左","방향패드 왼쪽","D-pad Esquerda","Крестовина влево","Cruceta izquierda","D-pad ซ้าย","左","DPadLeft","Left","Gauche","Links","左","왼쪽","Esquerda","Влево","Izquierda","ซ้าย","左","D-pad Left","Gauche (croix direct.)","Steuerkreuz links","方向キー左","방향키 (좌)","D-pad Esquerda","Крестовина влево","Cruceta izquierda","D-pad ซ้าย","左","Left","Gauche","Links","左","왼쪽","Esquerda","Влево","Izquierda","ซ้าย","左"
3,"DPadRight","D-pad Right","Droite (croix direct.)","Steuerkreuz rechts","方向キー右","방향패드 오른쪽","D-pad Direita","Крестовина вправо","Cruceta derecha","D-pad ขวา","右","DPadRight","Right","Droite","Rechts","右","오른쪽","Direita","Вправо","Derecha","ขวา","右","D-pad Right","Droite (croix direct.)","Steuerkreuz rechts","方向キー右","방향키 (우)","D-pad Direita","Крестовина вправо","Cruceta derecha","D-pad ขวา","右","Right","Droite","Rechts","右","오른쪽","Direita","Вправо","Derecha","ขวา","右"
4,"Start","Menu","Menu","Menü-Taste","メニュー","메뉴","Menu","Menu","Menú","Menu","選單","MenuButton","OPTIONS","OPTIONS","OPTIONS-Taste","オプション","OPTIONS","OPÇÕES","OPTIONS","OPTIONS","OPTIONS","選項","Options","Options","Optionen","オプション","옵션","Opções","Options","Opciones","Options","選項","Options","Options","Optionen","オプション","옵션","Opções","Options","Opciones","Options","選項"
5,"Back","View","Affichage","Ansicht-Taste","ビュー","보기","Ver","View","Vista","ดู","檢視","ViewButton","Touch Pad Button","Touche pavé tactile","Touchpad-Taste","タッチパッドボタン","터치패드 버튼","Botão do Touch Pad","Кнопка тачпада","Botón del panel táctil","ปุ่มทัชแพด","觸控板","View","Affichage","Ansicht","ビュー","보기","Ver","View","Ver","ดู","檢視","Touch Pad Button","Touche pavé tactile","Touchpad-Taste","タッチパッドボタン","터치패드 버튼","Botão do Touch Pad","Кнопка тачпада","Botón del panel táctil","ปุ่มทัชแพด","觸控板"
6,"LeftThumb","LS","LS","Linker Stick","LS","왼쪽 스틱","LS","LS","LS","LS","LS","LeftStickButton2","L3","L3","L3-Taste","L3","L3","L3","L3","L3","L3","L3","L3","L3","L3","L3","L3","L3","L3","L3","L3","L3","L3","L3","L3-Taste","L3","L3","L3","L3","L3","L3","L3"
7,"RightThumb","RS","RS","Rechter Stick","RS","오른쪽 스틱","RS","RS","RS","RS","RS","RightStickButton2","R3","R3","R3-Taste","R3","R3","R3","R3","R3","R3","R3","R3","R3","R3","R3","R3","R3","R3","R3","R3","R3","R3","R3","R3-Taste","R3","R3","R3","R3","R3","R3","R3"
8,"LeftShoulder","LB","LB","Linker Bumper","LB","LB","LB","LB","LB","LB","LB","ShoulderButtonLeft","L1","L1","L1-Taste","L1","L1","L1","L1","L1","L1","L1","L1","L1","L1","L1","L1","L1","L1","L1","L1","L1","L1","L1","L1-Taste","L1","L1","L1","L1","L1","L1","L1"
9,"RightShoulder","RB","RB","Rechter Bumper","RB","RB","RB","RB","RB","RB","RB","ShoulderButtonRight","R1","R1","R1-Taste","R1","R1","R1","R1","R1","R1","R1","R1","R1","R1","R1","R1","R1","R1","R1","R1","R1","R1","R1","R1-Taste","R1","R1","R1","R1","R1","R1","R1"
10,"A","A","A","A-Taste","A","A","A","A","A","A","A","Button4","Cross","Croix","Kreuz-Taste","×","십자","Cruz","Крестик","Cruz","กากบาท","X","A","A","A","A","A","A","A","A","A","A","Cross","Croix","Kreuz-Taste","×","십자","Cruz","Крестик","Cruz","กากบาท","X"
11,"B","B","B","B-Taste","B","B","B","B","B","B","B","Button3","Circle","Rond","Kreis-Taste","○","동그라미","Círculo","Круг","Círculo","วงกลม","O","B","B","B","B","B","B","B","B","B","B","Circle","Rond","Kreis-Taste","○","고리","Círculo","Круг","Círculo","วงกลม","O"
12,"X","X","X","X-Taste","X","X","X","X","X","X","X","Button1","Triangle","Triangle","Dreieck-Taste","△","세모","Triângulo","Треугольник","Triángulo","สามเหลี่ยม","△","X","X","X","X","X","X","X","X","X","X","Triangle","Triangle","Dreieck-Taste","△","세모","Triângulo","Треугольник","Triángulo","สามเหลี่ยม","△"
13,"Y","Y","Y","Y-Taste","Y","Y","Y","Y","Y","Y","Y","Button2","Square","Carré","Viereck-Taste","□","네모","Quadrado","Квадрат","Cuadrado","สี่เหลี่ยม","☐","Y","Y","Y","Y","Y","Y","Y","Y","Y","Y","Square","Carré","Viereck-Taste","□","네모","Quadrado","Квадрат","Cuadrado","สี่เหลี่ยม","☐"
14,"LeftTrigger","LT","LT","Linker Trigger","LT","왼쪽 트리거","LT","LT","LT","LT","LT","TriggerLeft","L2","L2","L2-Taste","L2","L2","L2","L2","L2","L2","L2","L2","L2","L2","L2","L2","L2","L2","L2","L2","L2","L2","L2","L2-Taste","L2","L2","L2","L2","L2","L2","L2"
15,"RightTrigger","RT","RT","Rechter Trigger","RT","오른쪽 트리거","RT","RT","RT","RT","RT","TriggerRight","R2","R2","R2-Taste","R2","R2","R2","R2","R2","R2","R2","R2","R2","R2","R2","R2","R2","R2","R2","R2","R2","R2","R2","R2-Taste","R2","R2","R2","R2","R2","R2","R2"
16,"L4","","","","","","","","","","","BackButtonLeft1","","","","","","","","","","","L4","L4","L4","L4","L4","L4","L4","L4","L4","L4","","","","","","","","","",""
17,"R4","","","","","","","","","","","BackButtonRight1","","","","","","","","","","","R4","R4","R4","R4","R4","R4","R4","R4","R4","R4","","","","","","","","","",""
18,"L5","","","","","","","","","","","BackButtonLeft2","","","","","","","","","","","L5","L5","L5","L5","L5","L5","L5","L5","L5","L5","","","","","","","","","",""
19,"R5","","","","","","","","","","","BackButtonRight2","","","","","","","","","","","R5","R5","R5","R5","R5","R5","R5","R5","R5","R5","","","","","","","","","",""
20,"Share","","","","","","","","","","","ShareButton","Share","SHARE","SHARE-Taste","共有","Share","Compartilhar","Share","Share","แชร์","Share","","","","","","","","","","","Create","Créer","Create-Taste","クリエイト","생성","Criar","Create","Crear","สร้าง","建立"
