"rownum","Id","MonsterVarietiesKey","i32_20","SummonEffect","bool_40","bool_41","i32_42","i32_46","bool_50","ModFamily","rid_67","i32_83","bool_87","i32_88","string_92","bool_100","bool_101","i32_102"
0,563,519,168,"","",1,0,0,"","","",0,1,0,"voidzone",1,1,0
1,564,501,168,"","",1,0,0,"","","",0,"",0,"","",1,0
2,567,"",121,"",1,1,0,0,1,"","",0,1,0,"temp_minion",1,1,0
3,572,524,168,"","",1,0,8,1,"","",0,"",0,"my_laser","",1,0
4,573,487,168,"","",1,0,0,1,"","",0,1,0,"","",1,0
5,576,1999,168,"","","",0,0,"","","",0,"",0,"","",1,0
6,577,"",168,"",1,1,0,0,"","","",0,"",0,"","",1,0
7,578,"",168,"","",1,0,0,1,"","",0,1,15,"","",1,0
8,580,"",168,"","",1,0,0,1,"","",0,1,10,"","",1,0
9,581,"",168,"","",1,0,0,1,"","",0,1,15,"","",1,0
10,582,"",168,"","",1,0,0,1,"","",0,1,15,"","",1,0
11,583,"",168,"","",1,0,0,1,"","",0,1,10,"","",1,0
12,584,"",168,"","",1,0,0,1,"","",0,1,10,"","",1,0
13,585,"",168,"","",1,0,0,1,"","",0,1,10,"","",1,0
14,586,"",168,"","",1,0,0,1,"","",0,1,10,"","",1,0
15,587,"",168,"","",1,0,0,1,"","",0,1,10,"","",1,0
16,588,"",168,"","",1,0,0,1,"","",0,1,15,"","",1,0
17,592,"",168,"","",1,0,0,1,"","",0,1,15,"","",1,0
18,593,"",168,"",1,1,0,0,"","","",0,"",0,"","",1,0
19,594,"",168,"",1,1,0,0,"","","",0,"",0,"","",1,0
20,595,"",168,"",1,1,0,0,"","","",0,"",0,"","",1,0
21,596,"",168,"",1,1,0,0,"","","",0,"",0,"","",1,0
22,597,"",168,"",1,1,0,0,"","","",0,"",0,"","",1,0
23,599,"",168,"",1,1,0,0,"","","",0,"",0,"voodoo_doll","",1,0
24,600,614,168,"",1,1,0,0,1,"","",0,1,0,"crystals",1,1,0
25,601,"",168,"",1,1,0,0,"","","",0,"",0,"","",1,0
26,609,"",168,"",1,"",0,0,"","","",0,"",0,"","",1,0
27,612,"",168,"","",1,0,0,"","","",0,"",0,"","",1,0
28,632,1691,168,"","",1,0,0,1,"","",0,"",0,"","",1,0
29,1000,309,168,"","",1,0,0,"","","",0,"",0,"","",1,0
30,1001,"",137,"",1,1,0,0,"","","",0,"",0,"","",1,0
31,1002,"",168,5334,1,1,0,0,"","","",0,"",0,"","",1,0
32,1003,249,168,"",1,1,0,0,"","","",0,"",0,"","",1,0
33,1004,197,168,"",1,1,0,0,"","","",0,"",0,"","",1,0
34,1005,197,168,"",1,1,0,0,"","","",0,"",0,"","",1,0
35,1006,197,168,"",1,1,0,0,"","","",0,"",0,"","",1,0
36,1007,198,168,"",1,1,0,0,"","","",0,"",0,"","",1,0
37,1008,370,168,"",1,1,0,0,"","","",0,"",0,"","",1,0
38,1009,"",137,"","","",0,0,"","","",0,"",0,"","",1,0
39,1011,"",138,"","","",0,0,"","","",0,"",0,"","",1,0
40,1013,421,168,"","",1,0,0,"","","",0,"",0,"clones",1,1,0
41,1014,648,168,"","",1,0,0,"","","",0,"",0,"","",1,0
42,1016,"",139,5514,1,1,0,0,"","","",0,"",0,"","",1,0
43,1018,717,168,"","",1,0,0,"","","",0,"",0,"totems",1,1,0
44,1019,884,168,"",1,"",0,0,"","","",0,"",0,"offense_squad",1,"",0
45,1020,885,168,"",1,"",0,0,"","","",0,"",0,"defense_squad",1,1,0
46,1021,975,168,"","","",0,0,"","","",0,"",0,"","",1,0
47,1022,961,168,"","",1,0,0,"","","",0,"",0,"","",1,0
48,1023,911,168,"",1,"",0,0,"","","",0,"",0,"","",1,0
49,1024,"",168,"",1,"",0,0,1,"","",0,"",0,"snake_storm_snakes",1,1,0
50,1025,"",168,"",1,"",0,0,1,"","",0,"",0,"snake_storm_snakes",1,1,0
51,1026,1155,168,"",1,"",0,0,1,"","",0,"",0,"jaguar_minion",1,1,0
52,1027,1196,168,"",1,"",0,0,"","","",0,"",0,"orb",1,"",0
53,1028,1222,168,"",1,1,0,-20,"","","",0,1,0,"blackhole",1,1,0
54,1029,"",168,"",1,1,0,0,"","","",0,1,0,"sun",1,1,0
55,1030,1198,168,"",1,1,0,0,"","","",0,"",0,"","",1,0
56,1031,1247,168,"",1,1,0,0,"","","",0,1,0,"","",1,0
57,1032,1248,168,"",1,1,0,0,"","","",0,1,0,"","",1,0
58,1033,1249,168,"",1,1,0,0,"","","",0,1,0,"","",1,0
59,1034,1250,168,"",1,1,0,0,"","","",0,1,0,"","",1,0
60,1035,"",141,"",1,1,0,0,"","","",0,"",0,"","",1,0
61,1036,1397,168,"",1,1,0,0,"","","",0,"",0,"my_jellyfish",1,1,0
62,1037,1436,168,"",1,1,0,0,"","","",0,"",0,"spirits",1,1,0
63,1039,"",168,"","",1,0,0,1,"","",0,1,0,"root_prison",1,1,0
64,1040,"",168,"","","",0,0,"","","",0,"",0,"ice_wall",1,1,0
65,1041,"",168,"",1,"",0,0,"","","",0,"",0,"ice_wall",1,1,0
66,649,"",168,1184,1,1,0,0,"","","",0,"",0,"","",1,0
67,1042,792,168,"",1,1,0,0,"","","",0,"",0,"soul_orb",1,1,0
68,1043,793,168,"",1,1,0,0,"","","",0,"",0,"soul_orb",1,1,0
69,1044,794,168,"",1,1,0,0,"","","",0,"",0,"soul_orb",1,1,0
70,1045,1263,168,"","",1,0,0,"","","",0,"",0,"cannon_barrage",1,1,0
71,1046,"",143,"",1,1,0,0,"","","",0,"",0,"","",1,0
72,1047,"",168,"","",1,0,0,1,"","",0,"",0,"","",1,0
73,1048,"",145,"",1,"",0,0,1,"","",0,"",0,"tentacle",1,1,0
74,1049,"",168,"",1,"",0,0,1,"","",0,"",0,"tentacle_large",1,1,0
75,1050,376,168,8262,1,1,0,0,"","","",0,"",0,"","",1,0
76,1051,371,168,"","",1,0,0,"","","",0,"",0,"wolves",1,1,0
77,1052,1643,168,"",1,"",0,0,"","","",0,"",0,"bone_wall",1,1,0
78,1053,249,168,"",1,1,0,0,"","","",0,1,0,"","",1,0
79,1054,1251,168,"",1,1,0,0,"","","",0,1,0,"","",1,0
80,1055,1252,168,"",1,1,0,0,"","","",0,1,0,"","",1,0
81,1056,323,168,"","",1,0,0,"","","",0,1,0,"skeleton_minions",1,1,0
82,1057,1691,168,"","",1,0,0,1,"","",0,"",0,"","",1,0
83,1058,1701,168,"",1,1,0,0,1,"","",0,1,0,"raging_spirits",1,1,0
84,1059,1744,168,"",1,1,0,0,"","","",0,1,0,"","",1,0
85,1060,1821,168,"","","",0,0,"","","",0,"",0,"","","",0
86,1061,"",168,"","",1,0,0,"","","",0,"",0,"","","",0
87,1062,"",148,"","",1,0,0,"","","",0,"",0,"","",1,0
88,1063,1820,168,"","",1,0,0,"","","",0,"",0,"","",1,0
89,1064,"",151,"","",1,0,0,"","","",0,"",0,"","",1,0
90,1065,"",149,"","",1,0,0,"","","",0,"",0,"","",1,0
91,1066,"",150,"","",1,0,0,"","","",0,"",0,"","",1,0
92,1067,1830,168,"",1,1,0,0,"","","",0,"",0,"","",1,0
93,1068,1831,168,"",1,1,0,0,"","","",0,"",0,"","",1,0
94,1069,1832,168,"",1,1,0,0,"","","",0,"",0,"","",1,0
95,1070,"",168,"","",1,0,0,"","","",0,"",0,"","",1,0
96,1071,"",168,"","",1,0,0,"","","",0,"",0,"","",1,0
97,1072,1833,168,"",1,1,0,0,"","","",0,"",0,"","",1,0
98,1073,1834,168,"",1,1,0,0,"","","",0,"",0,"","",1,0
99,1074,1822,168,"","",1,0,0,"","","",0,"",0,"","",1,0
100,1075,1823,168,"","",1,0,0,"","","",0,"",0,"","",1,0
101,1076,1824,168,"","",1,0,0,"","","",0,"",0,"","",1,0
102,1077,1848,168,"","","",0,0,"","","",0,"",0,"","",1,0
103,1078,"",168,"","",1,0,0,"","","",0,"",0,"","","",0
104,1079,1253,168,"",1,1,0,0,"","","",0,1,0,"","",1,0
105,1080,1850,168,"","",1,0,0,"","","",0,"",0,"runes",1,1,0
106,1081,1852,168,"","",1,0,0,"","","",0,"",0,"","",1,0
107,1082,1853,168,"",1,1,0,0,"","","",0,"",0,"","",1,0
108,1083,1967,168,"","",1,0,0,1,"","",0,1,0,"","",1,0
109,1084,2096,168,"",1,1,0,0,"","","",0,"",0,"essence_skeletons",1,1,0
110,1085,2097,168,"",1,1,0,0,"","","",0,"",0,"essence_skeletons",1,1,0
111,1086,2098,168,"",1,1,0,0,"","","",0,"",0,"essence_skeletons",1,1,0
112,1087,666,168,"",1,1,0,0,"","","",0,1,0,"","",1,0
113,1088,2099,168,"",1,1,0,0,"","","",0,1,0,"bone_walls",1,1,0
114,1089,"",168,"",1,1,0,0,"","","",0,1,0,"essence_caster",1,1,0
115,1090,"",168,"",1,1,0,0,"","","",0,1,0,"time_portals",1,1,0
116,1091,2114,168,"",1,1,0,0,"","","",0,1,0,"raging_fire",1,1,0
117,1092,"",153,9102,1,1,0,0,"","","",0,"",0,"executioner_minions",1,1,0
118,1093,2089,168,"","",1,0,0,"","","",0,"",0,"hysteria_orbs",1,1,0
119,1094,1995,168,"",1,1,0,0,"","","",0,1,0,"my_orb",1,1,0
120,1095,2182,168,"",1,1,0,0,"","","",0,"",0,"proxy_chieftain",1,1,0
121,1096,2184,168,"",1,1,0,0,"","","",0,"",0,"monkey_business",1,1,0
122,1097,2166,168,"","",1,0,0,"","","",0,"",0,"","",1,0
123,1098,2188,168,"","",1,0,0,"","","",0,"",0,"","",1,0
124,1099,2190,168,"","",1,0,0,1,"","",0,1,0,"charging_ox",1,1,0
125,1100,2208,168,"","",1,0,0,"","","",0,"",0,"my_cat",1,1,0
126,1101,"",154,"","",1,0,0,"","","",0,1,0,"my_demons",1,1,0
127,1102,2160,168,"","",1,0,0,"","","",0,"",0,"","",1,0
128,1103,2186,168,"","",1,0,0,"","","",0,"",0,"","",1,0
129,1104,2207,168,"",1,1,0,0,"","","",0,"",0,"","",1,0
130,1105,422,168,"","",1,0,0,"","","",0,"",0,"clones",1,1,0
131,1106,2094,168,"",1,1,0,0,"","","",0,"",0,"reaper","",1,0
132,1107,"",155,"","",1,0,0,"","","",0,"",0,"minions",1,1,0
133,1108,"",156,"","",1,0,0,"","","",0,"",0,"minions",1,1,0
134,1109,"",157,"","",1,0,0,"","","",0,"",0,"minions",1,1,0
135,1110,"",168,"","",1,0,0,"","","",0,"",0,"","",1,0
136,1111,2239,168,"",1,"",0,0,"","","",0,"",0,"bone_wall",1,1,0
137,1112,2235,168,"","",1,0,0,1,"","",0,1,0,"my_orbs",1,1,0
138,1113,1523,168,"","",1,0,0,"","","",0,"",0,"sky_beam",1,1,0
139,1114,2418,168,"",1,1,0,0,"","","",0,"",0,"","",1,0
140,1115,"",168,"",1,1,0,0,1,"","",0,1,0,"raging_spirits",1,1,0
141,1116,1457,168,"",1,1,3,-6,"","","",0,1,0,"my_blob",1,1,0
142,1117,2404,168,"","",1,0,0,"","","",0,1,0,"","",1,0
143,1118,"",168,"","",1,0,0,"","","",0,"",0,"","",1,0
144,1119,"",158,"","",1,0,0,1,"","",0,1,0,"my_wisps",1,1,0
145,1120,"",159,"","",1,0,0,1,"","",0,1,0,"my_wisps",1,1,0
146,1121,"",160,"","",1,0,0,1,"","",0,1,0,"my_wisps",1,1,0
147,1122,"",168,"",1,1,0,0,"","","",0,"",0,"","",1,0
148,1123,848,168,"",1,1,0,0,"","","",0,"",0,"my_bugs",1,1,0
149,1124,848,168,"",1,1,0,0,"","","",0,"",0,"my_minions",1,1,0
150,1125,848,168,"",1,1,0,0,"","","",0,"",0,"my_minions",1,1,0
151,1126,368,168,"",1,1,0,0,"","","",0,"",0,"my_minions",1,1,0
152,1127,564,168,"",1,1,0,0,"","","",0,"",0,"my_volatiles",1,1,0
153,1128,2677,168,"",1,1,0,0,"","","",0,"",0,"","",1,0
154,1129,436,168,"",1,1,0,0,"","","",0,"",0,"","",1,0
155,1130,2714,168,"",1,1,0,0,"","","",0,"",0,"","",1,0
156,156,"",161,"","",1,0,0,"","","",0,"",0,"generic_monster_pack",1,1,0
157,157,"",162,"","",1,0,0,"","","",0,"",0,"generic_monster_pack",1,1,0
158,158,"",163,"","",1,0,0,"","","",0,"",0,"generic_monster_pack",1,1,0
159,159,"",164,"","",1,0,0,"","","",0,"",0,"generic_monster_pack",1,1,0
160,160,"",165,"","",1,0,0,"","","",0,"",0,"generic_monster_pack",1,1,0
161,161,"",166,"","",1,0,0,"","","",0,"",0,"generic_monster_pack",1,1,0
162,162,"",167,"","",1,0,0,"","","",0,"",0,"generic_monster_pack",1,1,0
163,1131,2698,168,"","",1,0,0,"","","",0,"",0,"","",1,0
164,1132,2183,168,"",1,1,0,0,"","","",0,"",0,"proxy_chieftain",1,1,0
165,1133,2185,168,"",1,1,0,0,"","","",0,"",0,"monkey_business",1,1,0
166,1134,2167,168,"","",1,0,0,"","","",0,"",0,"","",1,0
167,1135,2189,168,"","",1,0,0,"","","",0,"",0,"","",1,0
168,1136,2187,168,"","",1,0,0,"","","",0,"",0,"","",1,0
169,1137,2209,168,"","",1,0,0,"","","",0,"",0,"my_cat",1,1,0
