"rownum","Id","i32_4","MonsterPack"
0,1,1,922
1,1,2,923
2,1,3,924
3,1,4,925
4,1,5,926
5,1,6,927
6,1,7,928
7,1,8,929
8,1,9,930
9,5,1,932
10,5,2,933
11,5,3,934
12,5,4,935
13,5,5,936
14,5,6,937
15,5,7,938
16,5,8,939
17,5,9,940
18,5,10,941
19,5,11,942
20,5,12,943
21,5,13,944
22,5,14,945
23,5,15,946
24,5,16,947
25,5,17,948
26,5,18,949
27,2,27,984
28,2,28,985
29,2,29,986
30,2,30,987
31,2,34,988
32,2,35,989
33,4,36,990
34,4,37,991
35,4,38,992
36,4,40,993
37,4,41,994
38,4,42,995
39,4,43,996
40,4,44,997
41,4,45,998
42,4,46,999
43,4,47,1000
44,4,48,1001
45,6,1,905
46,6,2,906
47,6,3,907
48,6,4,908
49,6,5,909
50,7,1,916
51,7,2,917
52,7,3,918
53,7,4,919
54,7,5,920
55,8,1,911
56,8,2,912
57,8,3,913
58,8,4,914
59,8,5,915
60,9,1,1036
61,9,2,1037
62,9,3,1038
63,9,4,1039
64,9,5,1040
65,10,1,1029
66,10,2,1030
67,10,3,1031
68,10,4,1032
69,10,5,1033
70,10,6,1034
71,10,7,1035
