"rownum","Id","BuffDefinition","bool_24","i32_25","Stat","bool_45","i32_46","Rarity","bool_66","Mods","i32_83","bool_87","[rid]_88","i32_104","rid_108","rid_124","i32_140","bool_144","u16_145","bool_147"
0,"IsNormal",[],"",1,[],"",1,0,"",[],0,"",[],1,"","",0,"",0,""
1,"IsMagic",[],"",1,[],"",1,1,"",[],0,"",[],1,"","",0,"",0,""
2,"IsRare",[],"",1,[],"",1,2,"",[],0,"",[],1,"","",0,"",0,""
3,"IsUnique",[],"",1,[],"",1,3,"",[],0,"",[],1,"","",0,"",0,""
4,"IsHarbinger",[],"",1,[6032],"",1,"","",[],0,"",[],1,"","",0,"",0,""
5,"IsRogueExile",[],"",1,[8328],"",1,"","",[],0,"",[],1,"","",0,"",0,""
6,"IsInvasionBoss",[],"",1,[3394],"",1,"","",[],0,"",[],1,"","",0,"",0,""
7,"IsMapBoss",[],"",1,[897],"",0,"",1,[],0,"",[],1,"","",0,"",0,""
8,"RhoaFullyEnraged",[693],"",3,[],"",1,"","",[],0,"",[],1,"","",0,"",0,""
9,"HasSoulEaterX30",[284],"",30,[],"",1,"","",[],0,"",[],1,"","",0,"",0,""
10,"HasNoLightningShield",[711],"",0,[],"",1,"","",[],0,"",[],1,"","",0,"",0,""
11,"Has4Totems",[],"",1,[3279],"",4,"","",[],0,"",[],1,"","",0,"",0,""
12,"HasDuetEnrage",[464],"",1,[],"",1,"","",[],0,"",[],1,"","",0,"",0,""
13,"IsPossessed",[],"",1,[2558],"",1,"","",[],0,"",[],1,"","",0,"",0,""
14,"IsTouchedByTormentSpirit",[],"",1,[],"",1,"","",[8874],0,"",[],1,"","",0,1,0,""
15,"IsBeyondBoss",[],"",1,[5478],"",1,"","",[],0,"",[],1,"","",0,"",0,""
16,"IsBreachMonster",[],"",1,[4949],"",1,"","",[],0,"",[],1,"","",0,"",0,""
17,"HasOnslaught",[],"",1,[16229],"",1,"","",[],0,"",[],1,"","",0,"",0,""
18,"IsPossessedByBootlegger",[],"",1,[2558],"",1,"","",[8802],0,"",[],1,"","",0,1,0,""
19,"IsPossessedByBuccaneer",[],"",1,[2558],"",1,"","",[8805],0,"",[],1,"","",0,1,0,""
20,"IsCursed",[],"",1,[746],"",1,"","",[],0,"",[],1,"","",0,"",0,""
21,"HasEssence",[],"",1,[],"",1,"","",[],1,"",[],1,"","",0,"",0,""
22,"HasEssenceX3",[],"",1,[],"",1,"","",[],3,"",[],1,"","",0,"",0,""
23,"HasEssenceX5",[],"",1,[],"",1,"","",[],5,"",[],1,"","",0,"",0,""
24,"HasEssenceX8",[],"",1,[],"",1,"","",[],8,"",[],1,"","",0,"",0,""
25,"HasTalisman",[],"",1,[],"",1,"","",[],0,1,[],1,"","",0,"",0,""
26,"IsPantingOrDancing",[],"",1,[],"",1,"","",[],0,"","[114,92]",1,"","",0,"",0,""
27,"HasIceTotemsX4",[],"",1,[],"",1,"","",[],0,"",[],1,"","",0,"",0,""
28,"HasIceMinionsX10",[],"",1,[],"",1,"","",[],0,"",[],1,"","",0,"",0,""
29,"HasBloodRavensX3",[],"",1,[],"",1,"","",[],0,"",[],1,"","",0,"",0,""
30,"HasFireSkelliesX10",[],"",1,[],"",1,"","",[],0,"",[],1,"","",0,"",0,""
31,"IsEnraged",[618],"",1,[],"",1,"","",[],0,"",[],1,"","",0,"",0,""
32,"IsScreeching",[],"",1,[],"",1,"","",[],0,"",[],1,309,"",0,"",0,""
33,"HasHotdogsX10",[],"",1,[],"",1,"","",[],0,"",[],10,"",269,0,"",0,""
34,"IsOnFullEnergyShield",[],"",1,[2329],"",1,"","",[],0,"",[],1,"","",0,"",0,""
35,"IsInAfflictionMist",[],"",1,[10997],"",1,"","",[],0,"",[],1,"","",0,"",0,""
36,"IsBleeding",[],"",1,[2022],"",1,"","",[],0,"",[],1,"","",0,"",0,""
37,"HasImmortalCall",[],"",1,[731],"",1,"","",[],0,"",[],1,"","",0,"",0,""
38,"CastingScorchingRay",[],"",1,[],"",1,"","",[],0,"",[],1,252,"",0,"",0,""
39,"IsMavenBuffed",[],"",1,[],"",1,"","",[13337],0,"",[],1,"","",0,1,0,""
