"rownum","Id","UIFile","ClientString","IsEnabled","i32_33","QuestFlags","QuestFlagComplete","i32_69","[i32]_73","bool_89","bool_90","i32_91","bool_95"
0,"SkillGemTutorial","",59,"",0,[],11,100,[],"",1,0,1
1,"LifeFlaskTutorial","",59,"",0,[],22,100,[],"",1,0,1
2,"ManaFlaskTutorial","",59,"",0,[],220,100,[],"",1,0,1
3,"SupportGemTutorial","",59,"",0,[],219,100,[],"",1,0,1
4,"PassivePointTutorial","",59,"",0,[],281,100,[],"",1,0,1
5,"SecondPassivePointTutorial","",59,"",0,[],369,100,[],"",1,0,1
6,"StashTutorial","",59,"",0,[],432,100,[],"",1,0,1
7,"OverlapMapTutorial","",59,"",0,[],433,100,[],"",1,0,1
8,"AttackInPlaceTutorial","",59,"",0,[],894,100,[],"",1,0,1
9,"WaypointTutorial","",59,"",0,[],112,100,[],"",1,0,1
10,"ItemComparisonTutorial","",59,"",0,[],91,100,[],"",1,0,1
11,"WisdomScrollTutorial","",59,"",0,[],370,100,[],"",1,0,""
12,"GemLevelUpTutorial","",59,"",0,[],371,100,[],"",1,0,1
13,"PortalScrollTutorial","",59,"",0,[],1862,100,[],"",1,0,1
14,"ReturnToCoastTutorial","",59,"",0,[],1863,100,[],"",1,0,1
15,"ShopOrCosmeticsTabOpened","",59,"",0,[],1784,100,[],"",1,0,1
16,"XboxDelveBindingTutorial","",59,"",0,[],2027,100,[],"",1,0,1
17,"AllTutorials","",59,"",0,[],368,100,[],"",1,0,1
18,"WatchstoneTutorial","",59,"",0,[],1880,100,[],"",1,0,1
19,"Example","Metadata/UI/InGameState/Tutorials/example_tutorial.ui",63,"",0,[],"",100,[],"",1,0,1
20,"LongText","Metadata/UI/InGameState/Tutorials/longtext.ui",112,"",0,[],"",100,[],"",1,0,1
21,"DisabledTutorialExample","Metadata/UI/InGameState/Tutorials/fplaceholder.ui",95,"",0,[],"",100,[],"",1,0,1
22,"HeapsOfPictures","Metadata/UI/InGameState/Tutorials/heapsofpictures.ui",172,"",0,[],"",100,[],"",1,0,1
23,"HelpPanelIntro","Metadata/UI/InGameState/TutorialPanel/TheHelpPanel.ui",3654,1,2,[2890],1761,3,[],"",1,0,1
24,"SkillGemBasics","Metadata/UI/InGameState/TutorialPanel/SkillGemBasics.ui",3083,1,2,[2890],1719,3,[],"","",0,1
25,"SupportGemRequirements","Metadata/UI/InGameState/TutorialPanel/SupportGems.ui",3059,1,2,[2890],1720,3,[],"","",0,1
26,"PassiveTree","Metadata/UI/InGameState/TutorialPanel/PassiveSkillTree.ui",3092,1,2,[2890],1721,4,[],"","",0,1
27,"Rarities","Metadata/UI/InGameState/TutorialPanel/Rarity.ui",3052,1,2,[2893],1722,4,[],"","",0,1
28,"StatsAndMods1","Metadata/UI/InGameState/TutorialPanel/StatsAndModsCalculations.ui",3053,1,2,[2893],1723,6,[],"","",0,1
29,"StatsAndMods2","Metadata/UI/InGameState/TutorialPanel/StatsAndModsWhatsImportant.ui",3054,1,2,[1723],1724,10,[],"","",0,1
30,"Flasks","Metadata/UI/InGameState/TutorialPanel/Flasks.ui",3161,1,2,[2890],1726,10,[],"",1,0,1
31,"Stash","Metadata/UI/InGameState/TutorialPanel/Stash.ui",3056,1,3,[2890],1725,7,[],"","",0,1
32,"Navigation","Metadata/UI/InGameState/TutorialPanel/Navigation.ui",3057,1,3,[1771],1727,7,[],"",1,0,1
33,"StatusAilments","Metadata/UI/InGameState/TutorialPanel/StatusAilments.ui",3055,1,3,[1772],1728,10,[],"","",0,1
34,"Strongboxes","Metadata/UI/InGameState/TutorialPanel/Strongboxes.ui",3158,1,2,[1785],1756,25,[],"",1,0,1
35,"CraftingAndCurrency","Metadata/UI/InGameState/TutorialPanel/CraftingAndCurrency.ui",3060,1,3,[1774],1731,10,[],"","",0,1
36,"AurasAndHeralds","Metadata/UI/InGameState/TutorialPanel/AurasAndHeralds.ui",3063,1,10,"[3641,1775]",1733,20,[],"",1,0,1
37,"Jewels","Metadata/UI/InGameState/TutorialPanel/Jewels.ui",3064,1,5,[1776],1734,90,[],"",1,0,1
38,"Essences","Metadata/UI/InGameState/TutorialPanel/Essences.ui",3770,1,2,[1938],1939,90,[],"",1,0,1
39,"ForsakenMasters","Metadata/UI/InGameState/TutorialPanel/ForsakenMasters.ui",3065,"",3,[3641],1735,25,[],"",1,0,1
40,"Hideouts","Metadata/UI/InGameState/TutorialPanel/Hideouts.ui",3066,"",13,[3641],1736,43,[200],"",1,0,1
41,"TheLabyrinth","Metadata/UI/InGameState/TutorialPanel/Labyrinth.ui",3125,"",7,[],1738,28,[],"",1,0,1
42,"Ascendancies","Metadata/UI/InGameState/TutorialPanel/Ascendancies.ui",3068,1,20,[2690],1739,45,[],"",1,0,1
43,"Delve","Metadata/UI/InGameState/TutorialPanel/Delve.ui",4287,"",25,[],2024,90,[9],"",1,0,1
44,"Incursion","Metadata/UI/InGameState/TutorialPanel/Incursion.ui",4118,"",45,[1963],"",90,[],"",1,0,1
45,"Bestiary","Metadata/UI/InGameState/TutorialPanel/Bestiary.ui",4000,"",2,[],1940,90,[112],"",1,0,1
46,"Pantheon","Metadata/UI/InGameState/TutorialPanel/Pantheon.ui",3073,"",40,[],1744,90,[],"",1,1,1
47,"Harbinger","Metadata/UI/InGameState/TutorialPanel/Harbinger.ui",3703,"",60,[1786],1751,90,[],"",1,0,1
48,"Abyss","Metadata/UI/InGameState/TutorialPanel/Abyss.ui",3821,"",30,[480],1879,90,[],"",1,0,1
49,"VeiledItems","Metadata/UI/InGameState/TutorialPanel/VeiledItems.ui",4798,"",50,[],2146,70,[93],"",1,1,1
50,"VendorRecipes","Metadata/UI/InGameState/TutorialPanel/VendorRecipes.ui",3113,1,4,[378],1737,90,[],"",1,1,1
51,"ParentLeaguesAndSSF","Metadata/UI/InGameState/TutorialPanel/ParentLeaguesAndSSF.ui",3069,1,15,[],1740,30,[],"","",0,1
52,"ChallengeLeagues","Metadata/UI/InGameState/TutorialPanel/ChallengeLeagues.ui",3070,1,15,[],1741,35,[],"","",0,1
53,"HelpfulTips","Metadata/UI/InGameState/TutorialPanel/HelpfulTipsPC.ui",3062,1,12,[],1732,20,[],"","",0,1
54,"SocialPanel","Metadata/UI/InGameState/TutorialPanel/Social.ui",3031,1,7,[],1729,25,[],1,"",0,1
55,"DivinationCards","Metadata/UI/InGameState/TutorialPanel/DivinationCards.ui",3071,1,15,[1777],1742,50,[],"",1,1,1
56,"Microtransactions","Metadata/UI/InGameState/TutorialPanel/ShopMicrotransactions.ui",3072,1,10,"[3972,1784]",1743,90,[],"","",0,1
57,"Mapping","Metadata/UI/InGameState/TutorialPanel/Mapping.ui",3074,"",55,[1783],1745,75,[1035],"",1,0,1
58,"AtlasObjectives","Metadata/UI/InGameState/TutorialPanel/AtlasObjectives.ui",4797,"",60,[],2147,72,[295],"","",0,1
59,"Ladders","Metadata/UI/InGameState/TutorialPanel/Ladders.ui",3075,"",8,[3641],"",8,[],"",1,0,1
60,"Races","Metadata/UI/InGameState/TutorialPanel/Races.ui",3076,"",8,[3641],"",8,[],"",1,0,1
61,"PvP","Metadata/UI/InGameState/TutorialPanel/PvP.ui",3077,"",20,[],1746,27,[],1,1,1,1
62,"Atziri","Metadata/UI/InGameState/TutorialPanel/Atziri.ui",3078,"",60,[3641],"",75,[],"",1,0,1
63,"Curses","Metadata/UI/InGameState/TutorialPanel/Curses.ui",3079,"",10,[1773],1747,25,[],"",1,0,1
64,"Warcries","Metadata/UI/InGameState/TutorialPanel/Warcries.ui",3080,"",20,[1778],1748,40,[],"",1,0,1
65,"Minions","Metadata/UI/InGameState/TutorialPanel/Minions.ui",3081,"",4,[1779],1749,40,[],"",1,0,1
66,"Glossary","Metadata/UI/InGameState/TutorialPanel/Glossary.ui",3082,1,2,[],1759,2,[],"","",0,1
67,"CustomerSupport","Metadata/UI/InGameState/TutorialPanel/CustomerSupport.ui",3067,1,2,[],1760,2,[],"","",0,1
68,"TrapsAndMines","Metadata/UI/InGameState/TutorialPanel/TrapsMinesTotems.ui",3153,"",2,[1780],"",10,[],"",1,0,1
69,"UpcomingContent","Metadata/UI/InGameState/Tutorials/example_tutorial.ui",3154,"",2,[],"",10,[],"",1,0,1
70,"DamageTypesAndConversion","Metadata/UI/InGameState/TutorialPanel/Damage.ui",3155,"",2,[],"",10,[],"",1,0,1
71,"Defenses","Metadata/UI/InGameState/TutorialPanel/Defenses.ui",3156,"",2,[],"",10,[],"",1,0,1
72,"Corruption","Metadata/UI/InGameState/TutorialPanel/Corruption.ui",3157,"",2,[1782],"",10,[],"",1,0,1
73,"OtherCombatMechanics","Metadata/UI/InGameState/TutorialPanel/OtherCombatMechanics.ui",3159,"",2,[],"",10,[],"",1,0,1
74,"TormentedSpirits","Metadata/UI/InGameState/TutorialPanel/TormentedSpirits.ui",3160,"",2,[],"",10,[],"",1,0,1
