"rownum","Stat","Tags","ApplyToExplicit","i32_33","ApplyToImplicit","Multiplier"
0,9915,[318],1,0,1,35
1,9916,[34],1,0,1,35
2,9917,[321],1,0,1,35
3,9918,[319],1,0,1,35
4,9919,[325],1,0,1,35
5,9920,[311],1,0,1,35
6,9921,[584],1,0,1,35
7,9922,[315],1,0,1,35
8,9923,[326],1,0,1,35
9,9924,[314],1,0,1,35
10,9925,[312],1,0,1,35
11,9926,[313],1,0,1,35
12,9927,[322],1,0,1,35
13,2412,[321],"",1,"",35
14,2411,[34],"",1,"",35
15,11628,[315],1,0,"",35
16,11629,[311],1,0,"",35
17,11630,[313],1,0,"",35
18,11631,[312],1,0,"",35
19,11632,[314],1,0,"",35
20,11633,[614],1,0,"",35
21,11634,[325],1,0,"",35
22,11635,[326],1,0,"",35
23,11636,[575],1,0,"",35
24,11637,[584],1,0,"",35
25,11638,[589],1,0,"",35
26,11639,[582],1,0,"",35
27,11681,[318],1,0,"",35
28,11723,[319],1,0,"",35
29,11724,[583],1,0,"",35
30,11999,[],1,0,"",35
31,13145,[665],1,0,"",35
32,17119,[322],1,0,"",35
33,17120,[611],1,0,"",35
34,17121,"[612,659]",1,0,"",35
35,3701,[],"",0,1,35
36,26917,[],1,0,"",1
37,26918,[],1,0,"",2
