"rownum","RecipeId","Description","Description (French)","Description (German)","Description (Japanese)","Description (Korean)","Description (Portuguese)","Description (Russian)","Description (Spanish)","Description (Thai)","Description (Traditional Chinese)","CraftingItemClassCategoriesKeys","UnlockDescription","Rank","UnlockArea"
0,142,"Attributes - Rank 3","Attributs - Rang 3","Attribute - Rang 3","能力値 - ランク 3","능력치 - 3단계","Atritutos - Rank 3","Характеристики - уровень 3","Atributos - Nivel 3","ค่าคุณสมบัติ - ระดับ 3","能力值－階級 3","[0,1,2,3,4,5,6,7,8,9,10,11,13]","",3,""
1,237,"Socket Numbers - 5 Sockets","Nombre de Châsses - 5 Châsses","Fassungsanzahl - 5 Fassungen","ソケット数 - 5ソケット","홈 개수 - 홈 5개","Número de Encaixes - 5 Encaixes","Количество гнёзд - 5 гнёзд","Número de engarces: 5 engarces","จำนวนรู - 5 รู","插槽數量 - 5 個插槽","[0,1,2,3,6,7,8,5,4]","",0,""
2,238,"Socket Numbers - 6 Sockets","Nombre de Châsses - 6 Châsses","Fassungsanzahl - 6 Fassungen","ソケット数 - 6ソケット","홈 개수 - 홈 6개","Número de Encaixes - 6 Encaixes","Количество гнёзд - 6 гнёзд","Número de engarces: 6 engarces","จำนวนรู - 6 รู","插槽數量 - 6 個插槽","[0,1,2,3,6,7,8,5,4]","",0,""
3,242,"Socket Links - 5 Linked Sockets","Liens des Châsses - 5 Châsses reliées","Fassungsverbindungen - 5 verbundene Fassungen","ソケットリンク - 5リンクソケット","홈 연결부 - 연결된 홈 5개","Conexões de Encaixes - 5 Encaixes Conectados","Количество связей - 5 связанных гнёзд","Vínculos entre engarces: 5 engarces vinculados","เชื่อมรู - 5 เชื่อม","插槽連結 - 5 個相連插槽","[0,1,2,3,6,7,8,5,4]","",0,""
4,243,"Socket Links - 6 Linked Sockets","Liens des Châsses - 6 Châsses reliées","Fassungsverbindungen - 6 verbundene Fassungen","ソケットリンク - 6リンクソケット","홈 연결부 - 연결된 홈 6개","Conexões de Encaixes - 6 Encaixes Conectados","Количество связей - 6 связанных гнёзд","Vínculos entre engarces: 6 engarces vinculados","เชื่อมรู - 6 เชื่อม","插槽連結 - 6 個相連插槽","[0,1,2,3,6,7,8,5,4]","",0,""
5,151,"Life and Mana - Rank 4","Vie et Mana - Rang 4","Leben und Mana - Rang 4","ライフおよびマナ - ランク 4","생명력 및 마나 - 4단계","Vida e Mana - Rank 4","Здоровье и мана - уровень 4","Vida y maná - Nivel 4","พลังชีวิตและมานา - ระดับ 4","生命和魔力－階級 4","[0,1,2,3,6,7,8,5,4]","",4,""
6,196,"Attack and Spell Block - Rank 1","Blocage des attaques et des sorts - Rang 1","Blocken und Entgehen von Angriffen - Rang 1","アタックおよびスペルブロック - ランク 1","공격 및 주문 막기 - 1단계","Ataque e Bloqueio Mágico - Rank 1","Блок атак и чар - уровень 1","Bloqueo de ataques y hechizos - Nivel 1","การบล็อคโจมตีและเวท - ระดับ 1","攻擊和法術格擋－階級 1",[4],"",1,""
7,193,"Flask Duration - Rank 2","Durée des Flacons - Rang 2","Fläschchendauer - Rang 2","フラスコ効果時間 - ランク 2","플라스크 지속시간 - 2단계","Duração de Frasco - Rank 2","Длительность флакона - уровень 2","Duración de frascos - Nivel 2","ระยะเวลาของขวดยา - ระดับ 2","藥劑持續時間－階級 2",[11],"",2,""
8,195,"Ailment, Stun and Curse Mitigation - Rank 2","Atténuation des Altérations, des Étourdissements et des Malédictions - Rang 2","Minderung von Beeinträchtigungen, Betäuben und Flüchen - Rang 2","状態異常、スタンおよび呪い緩和 - ランク 2","상태 이상, 기절 및 저주 완화 - 2단계","Afecções, Atordoamentos e Mitigação de Maldições - Rank 2","Облегчение состояний, оглушения и проклятий - уровень 2","Mitigación de estados alterados, aturdimiento y maldiciones - Nivel 2","การบรรเทาสถานะ เจ็บป่วย, มึนงง, คำสาป - ระดับ 2","異常狀態、暈眩和詛咒減免－階級 2","[5,7,8,9]","",2,""
9,191,"Criticals - Rank 2","Critiques - Rang 2","Kritische Chance - Rang 2","クリティカル - ランク 2","치명타 - 2단계","Críticos - Rank 2","Критические - уровень 2","Críticos - Nivel 2","คริติคอล - ระดับ 2","暴擊－階級 2","[0,1,2,3,10,13]","",2,""
10,199,"Special Defences - Rank 2","Défenses spéciales - Rang 2","Besondere Verteidigungen - Rang 2","特殊防御力 - ランク 2","특수 방어력 - 2단계","Defesas Especiais - Rank 2","Особые виды защиты - уровень 2","Defensas especiales - Nivel 2","ค่าป้องกันแบบพิเศษ - ระดับ 2","特殊防禦－階級 2","[6,4,5,7,8]","",2,""
11,197,"Attack and Spell Block - Rank 2","Blocage des attaques et des sorts - Rang 2","Blocken und Entgehen von Angriffen - Rang 2","アタックおよびスペルブロック - ランク 2","공격 및 주문 막기 - 2단계","Ataque e Bloqueio Mágico - Rank 1","Блок атак и чар - уровень 2","Bloqueo de ataques y hechizos - Nivel 2","การบล็อคโจมตีและเวท - ระดับ 2","攻擊和法術格擋－階級 2",[4],"",2,""
12,253,"Global Energy Shield - Rank 2","Bouclier d'énergie Global - Rang 2","Globaler Energieschild - Rang 2","グローバルエナジーシールド - ランク 2","에너지 보호막 재충전 - 2단계","Escudo de Energia Global - Rank 2","Глобальный энергетический щит - уровень 2","Escudo de energía global - Nivel 2","โล่พลังงาน ของตัวละคร - ระดับ 2","全域能量護盾－階級 2","[10,9]","",2,""
13,172,"Fire Damage - Rank 3","Dégâts de feu - Rang 3","Feuerschaden - Rang 3","火ダメージ - ランク 3","화염 피해 - 3단계","Dano de Fogo - Rank 3","Урон от огня - уровень 3","Daño de fuego - Nivel 3","ความเสียหาย ไฟ - ระดับ 3","火焰傷害－階級 3","[0,1,2,3]","",3,""
14,190,"Criticals - Rank 1","Critiques - Rang 1","Kritische Chance - Rang 1","クリティカル - ランク 1","치명타 - 1단계","Críticos - Rank 1","Критические - уровень 1","Críticos - Nivel 1","คริติคอล - ระดับ 1","暴擊－階級 1","[0,1,2,3,10,13]","",1,""
15,175,"Cold Damage - Rank 3","Dégâts de froid - Rang 3","Kälteschaden - Rang 3","冷気ダメージ - ランク 3","냉기 피해 - 3단계","Dano de Gelo - Rank 3","Урон от холода - уровень 3","Daño de hielo - Nivel 3","ความเสียหาย น้ำแข็ง - ระดับ 3","冰冷傷害－階級 3","[0,1,2,3]","",3,""
16,179,"Lightning Damage - Rank 3","Dégâts de foudre - Rang 3","Blitzschaden - Rang 3","雷ダメージ - ランク 3","번개 피해 - 3단계","Dano de Raio - Rank 3","Урон от молнии - уровень 3","Daño de rayo - Nivel 3","ความเสียหาย สายฟ้า - ระดับ 3","閃電傷害－階級 3","[0,1,2,3]","",3,""
17,198,"Special Defences - Rank 1","Défenses spéciales - Rang 1","Besondere Verteidigungen - Rang 1","特殊防御力 - ランク 1","특수 방어력 - 1단계","Defesas Especiais - Rank 1","Особые виды защиты - уровень 1","Defensas especiales - Nivel 1","ค่าป้องกันแบบพิเศษ - ระดับ 1","特殊防禦－階級 1","[6,4,5,7,8]","",1,""
