"rownum","Id","StoredItem","XOffset","YOffset","FirstSlotIndex","Width","Height","ShowIfEmpty","SlotSize","SlotStyle","SubGroup"
0,"Metadata/Items/SoulCores/RuneFireLesser",633,29,111,0,1,1,1,78,0,0
1,"Metadata/Items/SoulCores/RuneFire",623,119,111,1,1,1,1,78,2,0
2,"Metadata/Items/SoulCores/RuneFireGreater",643,209,111,2,1,1,1,78,3,0
3,"Metadata/Items/SoulCores/RuneColdLesser",634,339,111,3,1,1,1,78,0,0
4,"Metadata/Items/SoulCores/RuneCold",624,429,111,4,1,1,1,78,2,0
5,"Metadata/Items/SoulCores/RuneColdGreater",644,519,111,5,1,1,1,78,3,0
6,"Metadata/Items/SoulCores/RuneLightningLesser",635,649,111,6,1,1,1,78,0,0
7,"Metadata/Items/SoulCores/RuneLightning",625,739,111,7,1,1,1,78,2,0
8,"Metadata/Items/SoulCores/RuneLightningGreater",645,829,111,8,1,1,1,78,3,0
9,"Metadata/Items/SoulCores/RuneEnhanceLesser",636,29,211,9,1,1,1,78,0,0
10,"Metadata/Items/SoulCores/RuneEnhance",626,119,211,10,1,1,1,78,2,0
11,"Metadata/Items/SoulCores/RuneEnhanceGreater",646,209,211,11,1,1,1,78,3,0
12,"Metadata/Items/SoulCores/RuneLifeLesser",637,339,211,12,1,1,1,78,0,0
13,"Metadata/Items/SoulCores/RuneLife",627,429,211,13,1,1,1,78,2,0
14,"Metadata/Items/SoulCores/RuneLifeGreater",647,519,211,14,1,1,1,78,3,0
15,"Metadata/Items/SoulCores/RuneManaLesser",638,649,211,15,1,1,1,78,0,0
16,"Metadata/Items/SoulCores/RuneMana",628,739,211,16,1,1,1,78,2,0
17,"Metadata/Items/SoulCores/RuneManaGreater",648,829,211,17,1,1,1,78,3,0
18,"Metadata/Items/SoulCores/RuneAccuracyLesser",642,29,311,18,1,1,1,78,0,0
19,"Metadata/Items/SoulCores/RuneAccuracy",632,119,311,19,1,1,1,78,2,0
20,"Metadata/Items/SoulCores/RuneAccuracyGreater",652,209,311,20,1,1,1,78,3,0
21,"Metadata/Items/SoulCores/RuneLifeRecoveryLesser",639,339,311,21,1,1,1,78,0,0
22,"Metadata/Items/SoulCores/RuneLifeRecovery",629,429,311,22,1,1,1,78,2,0
23,"Metadata/Items/SoulCores/RuneLifeRecoveryGreater",649,519,311,23,1,1,1,78,3,0
24,"Metadata/Items/SoulCores/RuneManaRecoveryLesser",640,649,311,24,1,1,1,78,0,0
25,"Metadata/Items/SoulCores/RuneManaRecovery",630,739,311,25,1,1,1,78,2,0
26,"Metadata/Items/SoulCores/RuneManaRecoveryGreater",650,829,311,26,1,1,1,78,3,0
27,"Metadata/Items/SoulCores/RuneStunLesser",641,29,511,27,1,1,1,78,0,0
28,"Metadata/Items/SoulCores/RuneStun",631,119,511,28,1,1,1,78,2,0
29,"Metadata/Items/SoulCores/RuneStunGreater",651,209,511,29,1,1,1,78,3,0
30,"Metadata/Items/SoulCores/RuneStrengthLesser",663,29,411,30,1,1,1,78,0,0
31,"Metadata/Items/SoulCores/RuneStrength",664,119,411,31,1,1,1,78,2,0
32,"Metadata/Items/SoulCores/RuneStrengthGreater",665,209,411,32,1,1,1,78,3,0
33,"Metadata/Items/SoulCores/RuneDexterityLesser",667,339,411,33,1,1,1,78,0,0
34,"Metadata/Items/SoulCores/RuneDexterity",668,429,411,34,1,1,1,78,2,0
35,"Metadata/Items/SoulCores/RuneDexterityGreater",669,519,411,35,1,1,1,78,3,0
36,"Metadata/Items/SoulCores/RuneIntelligenceLesser",671,649,411,36,1,1,1,78,0,0
37,"Metadata/Items/SoulCores/RuneIntelligence",672,739,411,37,1,1,1,78,2,0
38,"Metadata/Items/SoulCores/RuneIntelligenceGreater",673,829,411,38,1,1,1,78,3,0
39,"Metadata/Items/SoulCores/RuneSpecial1",678,29,631,54,1,1,1,78,2,0
40,"Metadata/Items/SoulCores/RuneSpecial2",679,129,631,55,1,1,1,78,2,0
41,"Metadata/Items/SoulCores/RuneSpecial3",680,229,631,56,1,1,1,78,2,0
42,"Metadata/Items/SoulCores/RuneSpecial4",681,329,631,57,1,1,1,78,2,0
43,"Metadata/Items/SoulCores/RuneSpecial5",682,329,731,69,1,1,1,78,2,0
44,"Metadata/Items/SoulCores/RuneSpecial6",683,429,731,70,1,1,1,78,2,0
45,"Metadata/Items/SoulCores/RuneSpecial25",702,529,731,71,1,1,1,78,2,0
46,"Metadata/Items/SoulCores/RuneSpecial8",685,729,831,72,1,1,1,78,2,0
47,"Metadata/Items/SoulCores/RuneSpecial9",686,829,831,73,1,1,1,78,2,0
48,"Metadata/Items/SoulCores/RuneSpecial10",687,729,731,74,1,1,1,78,2,0
49,"Metadata/Items/SoulCores/RuneSpecial11",688,129,831,75,1,1,1,78,2,0
50,"Metadata/Items/SoulCores/RuneSpecial24",701,229,831,76,1,1,1,78,2,0
51,"Metadata/Items/SoulCores/RuneSpecial13",690,629,631,77,1,1,1,78,2,0
52,"Metadata/Items/SoulCores/RuneSpecial18",695,829,731,78,1,1,1,78,2,0
53,"Metadata/Items/SoulCores/RuneSpecial15",692,329,831,79,1,1,1,78,2,0
54,"Metadata/Items/SoulCores/RuneSpecial16",693,429,831,80,1,1,1,78,2,0
55,"Metadata/Items/SoulCores/RuneSpecial17",694,529,831,81,1,1,1,78,2,0
56,"Metadata/Items/SoulCores/RuneSpecial19",696,229,731,82,1,1,1,78,2,0
57,"Metadata/Items/SoulCores/RuneSpecial14",691,629,731,83,1,1,1,78,2,0
58,"Metadata/Items/SoulCores/RuneSpecial20",697,629,831,84,1,1,1,78,2,0
59,"Metadata/Items/SoulCores/RuneSpecial21",698,729,631,85,1,1,1,78,2,0
60,"Metadata/Items/SoulCores/RuneSpecial22",699,829,631,86,1,1,1,78,2,0
61,"Metadata/Items/SoulCores/RuneSpecial23",700,29,731,87,1,1,1,78,2,0
62,"Metadata/Items/SoulCores/RuneSpecial7",684,129,731,88,1,1,1,78,2,0
63,"Metadata/Items/SoulCores/RuneSpecial12",689,29,831,89,1,1,1,78,2,0
64,"Metadata/Items/SoulCores/SoulCoreElemental",748,79,286,39,1,1,1,78,0,2
65,"Metadata/Items/SoulCores/SoulCoreChaos",739,179,286,40,1,1,1,78,0,2
66,"Metadata/Items/SoulCores/SoulCoreBleed",740,279,286,41,1,1,1,78,0,2
67,"Metadata/Items/SoulCores/SoulCoreMaxLife",741,379,286,42,1,1,1,78,0,2
68,"Metadata/Items/SoulCores/SoulCoreMaxMana",742,479,286,43,1,1,1,78,0,2
69,"Metadata/Items/SoulCores/SoulCoreEnlighten",743,579,286,44,1,1,1,78,0,2
70,"Metadata/Items/SoulCores/SoulCoreIgnite",744,679,286,45,1,1,1,78,0,2
71,"Metadata/Items/SoulCores/SoulCoreFreeze",745,779,286,46,1,1,1,78,0,2
72,"Metadata/Items/SoulCores/SoulCoreShock",746,129,386,47,1,1,1,78,0,2
73,"Metadata/Items/SoulCores/SoulCoreSpeed",749,229,386,48,1,1,1,78,0,2
74,"Metadata/Items/SoulCores/SoulCoreCrit",750,329,386,49,1,1,1,78,0,2
75,"Metadata/Items/SoulCores/SoulCoreStrength",751,429,386,50,1,1,1,78,0,2
76,"Metadata/Items/SoulCores/SoulCoreDexterity",752,529,386,51,1,1,1,78,0,2
77,"Metadata/Items/SoulCores/SoulCoreIntelligence",753,629,386,52,1,1,1,78,0,2
78,"Metadata/Items/SoulCores/SoulCoreLight",747,729,386,53,1,1,1,78,0,2
79,"Metadata/Items/SoulCores/SoulCoreSpecial4",727,79,556,90,1,1,1,78,2,2
80,"Metadata/Items/SoulCores/SoulCoreSpecial1",724,179,556,91,1,1,1,78,2,2
81,"Metadata/Items/SoulCores/SoulCoreSpecial2",725,279,556,92,1,1,1,78,2,2
82,"Metadata/Items/SoulCores/SoulCoreSpecial3",726,379,556,93,1,1,1,78,2,2
83,"Metadata/Items/SoulCores/SoulCoreSpecial13",736,479,556,94,1,1,1,78,2,2
84,"Metadata/Items/SoulCores/SoulCoreSpecial5",728,579,556,95,1,1,1,78,2,2
85,"Metadata/Items/SoulCores/SoulCoreSpecial6",729,679,556,96,1,1,1,78,2,2
86,"Metadata/Items/SoulCores/SoulCoreSpecial7",730,779,556,97,1,1,1,78,2,2
87,"Metadata/Items/SoulCores/SoulCoreSpecial8",731,129,656,98,1,1,1,78,2,2
88,"Metadata/Items/SoulCores/SoulCoreSpecial9",732,229,656,99,1,1,1,78,2,2
89,"Metadata/Items/SoulCores/SoulCoreSpecial10",733,329,656,100,1,1,1,78,2,2
90,"Metadata/Items/SoulCores/SoulCoreSpecial11",734,429,656,101,1,1,1,78,2,2
91,"Metadata/Items/SoulCores/SoulCoreSpecial12",735,529,656,102,1,1,1,78,2,2
92,"Metadata/Items/SoulCores/SoulCoreSpecial15",738,629,656,103,1,1,1,78,2,2
93,"Metadata/Items/SoulCores/SoulCoreSpecial14",737,729,656,104,1,1,1,78,2,2
94,"Metadata/Items/SoulCores/TalismanSnake",754,79,146,58,1,1,1,78,0,3
95,"Metadata/Items/SoulCores/TalismanMonkey",755,179,146,59,1,1,1,78,0,3
96,"Metadata/Items/SoulCores/TalismanOwl",756,279,146,60,1,1,1,78,0,3
97,"Metadata/Items/SoulCores/TalismanCat",757,379,146,61,1,1,1,78,0,3
98,"Metadata/Items/SoulCores/TalismanWolf",758,479,146,62,1,1,1,78,0,3
99,"Metadata/Items/SoulCores/TalismanStag",759,179,266,63,1,1,1,78,2,3
100,"Metadata/Items/SoulCores/TalismanBoar",760,579,146,64,1,1,1,78,0,3
101,"Metadata/Items/SoulCores/TalismanBear",761,679,146,65,1,1,1,78,0,3
102,"Metadata/Items/SoulCores/TalismanOx",762,779,146,66,1,1,1,78,0,3
103,"Metadata/Items/SoulCores/TalismanRabbit",763,279,266,67,1,1,1,78,2,3
104,"Metadata/Items/SoulCores/TalismanFox",764,379,266,68,1,1,1,78,2,3
105,"Metadata/Items/SoulCores/TalismanSpecial1",704,129,436,105,1,1,1,78,2,3
106,"Metadata/Items/SoulCores/TalismanSpecial2",705,229,436,106,1,1,1,78,2,3
107,"Metadata/Items/SoulCores/TalismanSpecial3",706,329,436,107,1,1,1,78,2,3
108,"Metadata/Items/SoulCores/TalismanSpecial4",707,429,436,108,1,1,1,78,2,3
109,"Metadata/Items/SoulCores/TalismanSpecial5",708,529,436,109,1,1,1,78,2,3
110,"Metadata/Items/SoulCores/TalismanSpecial6",709,629,436,110,1,1,1,78,2,3
111,"Metadata/Items/SoulCores/TalismanSpecial7",710,729,436,111,1,1,1,78,2,3
112,"Metadata/Items/SoulCores/IdolCorrupted1",718,329,776,112,1,1,1,78,3,3
113,"Metadata/Items/SoulCores/IdolCorrupted2",719,429,776,113,1,1,1,78,3,3
114,"Metadata/Items/SoulCores/IdolCorrupted3",720,529,776,114,1,1,1,78,3,3
115,"Metadata/Items/SoulCores/IdolSpecial1",711,129,606,115,1,1,1,78,3,3
116,"Metadata/Items/SoulCores/IdolSpecial2",712,229,606,116,1,1,1,78,3,3
117,"Metadata/Items/SoulCores/IdolSpecial3",713,329,606,117,1,1,1,78,3,3
118,"Metadata/Items/SoulCores/IdolSpecial4",714,429,606,118,1,1,1,78,3,3
119,"Metadata/Items/SoulCores/IdolSpecial5",715,529,606,119,1,1,1,78,3,3
120,"Metadata/Items/SoulCores/IdolSpecial6",716,629,606,120,1,1,1,78,3,3
121,"Metadata/Items/SoulCores/IdolSpecial7",717,729,606,121,1,1,1,78,3,3
122,"Metadata/Items/SoulCores/AmanamusGaze",765,279,131,122,1,1,1,78,3,4
123,"Metadata/Items/SoulCores/TecrodsGaze",766,379,131,123,1,1,1,78,3,4
124,"Metadata/Items/SoulCores/KurgalsGaze",767,479,131,124,1,1,1,78,3,4
125,"Metadata/Items/SoulCores/UlamansGaze",768,579,131,125,1,1,1,78,3,4
126,"Metadata/Items/SoulCores/ThesisOfBlood",769,279,301,126,1,1,1,78,3,4
127,"Metadata/Items/SoulCores/ThesisOfSacrifice",770,379,301,127,1,1,1,78,3,4
128,"Metadata/Items/SoulCores/ThesisOfSouls",771,479,301,128,1,1,1,78,3,4
129,"Metadata/Items/SoulCores/ThesisOfExperiments",772,579,301,129,1,1,1,78,3,4
130,"Metadata/Items/SoulCores/EmergentVigor",773,279,641,130,1,1,1,78,3,4
