"rownum","ChestMod","ArchnemesisMod"
0,16680,33
1,16681,65
2,16682,67
3,16683,69
4,16684,12
5,16685,14
6,16686,16
7,16687,35
8,16688,37
9,16689,39
10,16690,47
11,16691,6
12,16692,8
13,16693,10
14,16694,41
15,16695,43
16,16696,49
17,16697,51
18,16698,22
19,16699,25
20,16700,28
21,16701,59
22,16702,61
23,16703,63
24,16704,18
25,16705,20
26,16706,53
27,16707,55
28,16708,57
29,16709,0
30,16710,2
31,16711,4
32,16712,45
33,16713,71
34,16714,73
35,16715,75
36,16716,80
37,16717,83
38,16718,85
39,16719,88
40,16720,91
41,16721,93
42,16722,96
43,16723,98
44,16724,100
45,16725,102
46,16726,105
47,16727,107
48,16728,109
49,16729,111
50,16730,113
51,16731,117
52,16732,120
53,16733,122
54,16734,124
55,16735,126
56,16736,129
57,16737,131
58,16738,133
59,16739,135
60,16740,137
61,16741,139
62,16742,141
63,16743,143
64,16744,145
65,16745,147
66,16746,149
67,16747,151
68,16748,153
