"rownum","QuestFlag","CompletionString","Boss","bool_40"
0,185,5034,"Atziri",""
1,978,5035,"UberAtziri",""
2,979,5036,"Shaper",""
3,980,5037,"Elder",""
4,981,5038,"UberElder",""
5,1898,6321,"Sirus",""
6,982,5074,"SiriusAL8",""
7,2183,5381,"Oshabi",""
8,2358,5732,"Maven",""
9,2609,6322,"SearingExarch",""
10,2610,6323,"EaterOfWorlds",""
11,2611,6324,"SotABossEvent",""
12,2616,6513,"UberEater",""
13,2617,6514,"UberExarch",""
14,2618,6515,"UberMaven",""
15,2622,6519,"UberShaper",""
16,2619,6516,"UberSirus",""
17,2621,6518,"UberUberElder",""
18,2620,6517,"UberVenarius",""
19,2615,6512,"UberUberBossEvent",""
20,3000,7555,"ActOneComplete",""
21,3725,7556,"ActTwoComplete",""
22,3907,7557,"ActThreeComplete",""
