"rownum","Id","Projectile","bool_20","bool_21","bool_22","i32_23"
0,0,13,"","","",0
1,1,37,"","","",0
2,2,79,"","","",0
3,3,94,"","","",0
4,4,79,"","","",0
5,5,100,"","","",0
6,6,20,"","","",0
7,7,105,"","","",0
8,8,125,"","","",0
9,9,65,"","","",0
10,10,133,"","","",0
11,11,134,"","","",0
12,12,148,"","","",0
13,13,169,"","","",0
14,14,216,"","","",0
15,15,237,"","","",0
16,16,287,"","","",0
17,17,288,"","","",0
18,18,294,"","","",0
19,19,221,"","","",0
20,20,277,"","","",0
21,21,314,"","","",0
22,22,129,"","","",0
23,23,278,"","","",0
24,24,333,"","","",0
25,25,332,"","","",0
26,26,339,"","","",0
27,27,389,"","","",0
28,28,410,"","","",0
29,29,419,"","","",0
30,30,439,"","","",0
31,31,448,"","","",0
32,32,449,"","","",0
33,33,450,"","","",0
34,34,451,"","","",0
35,35,452,"","","",0
36,36,453,"","","",0
37,37,455,"","","",0
38,38,458,"","","",0
39,39,544,"","","",0
40,40,545,"","","",0
41,41,546,"","","",0
42,42,576,"","","",0
43,43,566,"","","",0
44,44,588,"","","",0
45,45,512,1,"","",0
46,46,583,"","","",0
47,47,589,"","","",0
48,48,592,"","","",0
49,49,593,"","","",0
50,50,590,"","","",0
51,51,601,"","","",0
52,52,606,"","","",0
53,53,609,"","","",0
54,54,614,"","","",0
55,55,623,"","","",0
56,56,629,"","","",0
57,57,630,"","","",0
58,58,631,"","","",0
59,59,632,"","","",0
60,60,633,"","","",0
61,61,634,"","","",0
62,62,635,"","","",0
63,63,636,"","","",0
64,64,637,"","","",0
65,65,638,"","","",0
66,66,639,"","","",0
67,67,640,"","","",0
68,68,568,"","","",0
69,69,682,"","","",0
70,70,683,1,1,"",0
71,71,700,"","","",0
72,72,691,1,"","",0
73,73,707,"","","",0
74,74,687,"","","",0
75,75,690,1,"","",0
76,76,725,"","","",0
77,77,614,"","","",0
78,78,708,"","","",0
79,79,709,"","","",0
80,80,570,"","","",0
81,81,572,"","","",0
82,82,790,"","","",0
83,85,816,1,"","",0
84,86,818,"","","",0
85,87,821,1,"","",10
86,88,822,1,"","",0
87,91,827,"",1,"",0
88,92,830,"","","",0
89,93,831,1,"","",0
90,96,837,1,"","",10
91,97,839,1,"","",5
92,98,840,1,"","",5
93,99,857,1,"","",5
94,100,859,"","","",0
95,101,860,1,"","",0
96,102,864,1,"","",0
97,103,872,1,"","",0
98,104,858,1,"","",0
99,105,886,"","","",0
100,106,877,"","","",0
101,107,891,"","","",0
102,108,894,"","","",0
103,109,898,"","","",0
104,110,905,1,"","",0
105,111,909,"","","",0
106,112,912,"","","",0
107,113,913,1,"","",7
108,114,935,"","","",0
109,115,937,"","","",0
110,116,135,"","","",0
111,117,942,1,"","",60
112,118,237,"","","",0
113,119,943,1,"","",100
114,120,961,"","","",0
115,121,956,"",1,"",0
116,122,964,"","","",0
117,123,957,"",1,"",0
118,124,969,"","","",0
119,125,970,"","","",0
120,126,971,"",1,"",0
121,127,977,"","","",0
122,128,955,"",1,"",0
123,129,1009,"","","",0
124,130,1010,"","","",0
125,131,1011,"","","",0
126,132,1012,"","","",0
127,133,1009,"","","",0
128,134,1010,"","","",0
129,135,1013,"",1,"",0
130,136,1014,"",1,"",0
131,137,1030,"","","",0
132,138,1038,"","","",0
133,139,114,1,"","",0
134,140,1059,1,"","",0
135,141,1168,"","",1,0
136,142,1169,"","",1,0
137,143,1174,1,"","",0
138,144,1187,"","","",0
139,145,1188,"",1,"",0
140,146,1189,"",1,"",0
141,147,1197,"","","",0
142,148,1198,"","","",0
143,149,1199,"","","",0
144,150,1215,"","","",0
145,151,1223,"","","",0
146,152,1224,"","","",0
147,153,1228,1,"","",0
148,154,1247,"","","",0
149,155,1249,"","","",0
150,156,1248,"","","",0
151,157,21,"","","",0
152,158,623,"","","",0
153,159,708,"","","",0
154,160,1712,"","","",0
155,161,1714,"","","",10
156,1000,1077,1,"","",15
157,1001,1085,"","","",0
158,1002,1078,"","","",15
159,1003,1079,"","","",15
160,1004,1080,"","","",15
161,1005,1081,"","","",15
162,1006,1082,"","","",15
163,1007,1103,"","","",0
164,1008,1103,"","","",0
165,1010,1103,"","","",0
166,1011,1103,"","","",0
167,1012,1103,"","","",0
168,1014,100,"","","",0
169,1015,100,"","","",0
170,1016,1107,"",1,"",0
171,1017,1108,"","","",0
172,1018,1120,1,"","",0
173,1019,1124,1,"","",100
174,1020,1131,1,"","",40
175,1021,1138,"",1,"",0
176,1022,1137,"",1,"",0
177,1023,1141,"",1,"",0
178,1024,1142,"","",1,0
179,1025,1161,"",1,"",0
180,1026,1317,1,"","",0
181,1028,389,"","","",0
182,1029,389,"","","",0
183,1030,1355,"",1,"",15
184,1031,1362,"","","",0
185,1032,1366,"",1,"",0
186,1033,1094,1,"","",10
187,1034,1380,1,"","",0
188,1035,1381,"","","",0
189,1036,1333,"","","",0
190,1037,1427,"","","",0
191,1038,1436,"","","",0
192,1039,1439,1,"","",10
193,1041,1443,1,"","",0
194,1042,1444,1,"","",0
195,1043,1428,1,"","",7
196,1044,1430,"","","",0
197,1045,1431,"","","",0
198,1046,1438,"","","",0
199,1047,1450,"","","",0
200,1048,1453,"","","",15
201,1049,1084,"","","",15
202,1050,1390,"","","",10
203,1051,1455,"","","",0
204,1052,1478,"","","",0
205,1053,1479,1,"","",0
206,1054,1480,1,"","",35
207,1055,1481,"","","",0
208,1056,1483,"","","",0
209,1057,1485,"","","",0
210,1058,1486,1,"","",18
211,1059,1487,1,"","",18
212,1060,1488,1,"","",0
213,1061,1490,"","","",0
214,1062,1515,1,"","",0
215,1063,1516,1,"","",15
216,1064,1517,1,"","",-10
217,1065,1518,1,"","",10
218,1066,1520,1,"","",0
219,1067,1526,1,"","",0
220,1068,1529,"","","",0
221,1069,1530,1,"","",20
222,1070,1531,1,"","",40
223,1071,1532,"","","",0
224,1072,1533,1,"","",0
225,1073,1535,"","","",0
226,1074,1536,1,"","",0
227,1075,1537,"","","",0
228,1076,1539,"","","",0
229,1077,1540,"","","",0
230,1078,1545,1,"","",35
231,1079,1547,"","","",20
232,1080,1552,"","","",0
233,1081,1554,"","","",0
234,1082,1555,"","","",0
235,1083,1559,"","","",0
236,1084,1132,1,"","",0
237,1085,1429,1,"","",0
238,1086,1577,1,"","",10
239,1087,1578,1,"","",10
240,1088,1579,1,"","",10
241,1089,1582,1,"","",15
242,1090,1583,1,"","",15
243,1091,1584,1,"","",15
244,1092,1585,1,"","",15
245,1093,1586,1,"","",15
246,1094,1572,1,"","",4
247,1095,1601,"","","",0
248,1096,1602,"","","",0
249,1097,1603,"","","",0
250,1098,65,"","","",0
251,1099,1631,"","","",0
252,1100,1632,"","","",0
253,1101,1642,"","","",0
254,1102,22,1,"","",-8
255,1103,1647,1,"","",35
256,1104,1648,1,"","",0
257,1105,1653,1,"","",0
258,1106,1655,1,"","",10
259,1107,1657,1,"","",0
260,1108,1680,1,"","",0
261,1109,1335,1,"","",-7
262,1110,1656,1,"","",0
263,1111,1654,1,"","",0
264,1112,1652,1,"","",0
265,1113,1652,"","","",15
266,1114,1090,"","","",10
267,1115,1696,"","","",-8
268,1116,1102,"","","",0
269,1117,1100,"","","",0
270,1118,1094,"","","",0
271,1119,1700,"","","",30
272,1120,1708,"","","",0
273,1121,1649,1,"","",0
274,1122,1709,1,"","",0
275,1123,1710,"","","",0
276,1124,1484,1,"","",30
277,1125,1680,1,"","",-10
278,1126,100,1,"","",0
279,1127,1715,1,"","",0
280,1128,1722,"","","",0
281,1129,1724,"","","",0
282,1130,25,"","","",-10
283,1131,1736,1,"","",0
284,1132,1742,"","","",0
285,1133,1746,"","","",15
286,1134,1766,"","","",0
287,1135,1408,1,"","",15
288,1136,1768,1,"","",10
289,1137,1725,"","","",0
290,1138,1795,1,"","",10
291,1139,1800,"","","",20
292,1140,873,"","","",0
293,1141,1370,1,"","",10
294,1142,1814,"","","",0
295,1143,1815,"","","",0
296,1144,1818,1,"","",-3
297,1145,1835,"",1,"",0
298,1146,1841,1,"","",0
299,1147,1842,1,"","",0
300,1148,24,1,"","",-8
301,1149,1845,"","","",0
302,1150,1140,1,"","",0
303,1151,1692,1,"","",0
304,1152,1849,1,"","",0
305,1153,101,1,"","",0
306,1154,26,"","","",-10
307,1155,1888,"","","",-10
308,1156,1889,1,"","",-10
309,1157,1891,"","","",0
310,1158,1892,1,"","",0
311,1159,1907,1,"","",0
312,1160,1915,1,"","",0
313,1161,1916,1,"","",0
314,1162,1556,1,"","",0
315,1163,1927,"","","",0
316,1164,1932,1,"","",0
317,1165,1935,"","","",0
318,1166,1943,1,"","",0
319,1167,1947,1,"","",0
320,1168,1932,1,"","",0
321,1169,1950,"","","",0
322,1170,1745,"","","",0
323,1171,1491,"","","",0
324,1172,1953,"","","",0
325,1173,1482,"","","",0
326,1174,1489,"","","",0
327,1175,1960,1,"","",0
328,1176,1977,"","","",0
329,1177,1537,"","","",0
330,1178,1999,1,"","",0
331,1179,2000,1,"","",-10
332,1180,2036,1,"","",10
333,1181,2055,"","","",0
334,1182,2039,1,"","",-20
335,1184,1133,"","","",0
336,1185,2071,"","","",0
337,1186,1986,1,"","",0
338,1187,2076,"","","",0
339,1188,2077,1,"","",0
340,1189,23,1,"","",-8
341,1190,1650,1,"","",0
342,1191,1651,1,"","",0
343,1192,2084,1,"","",0
344,1193,2040,1,"","",-20
345,1194,2098,1,"","",0
346,1195,2097,1,1,"",40
