"rownum","Id","QuestKey","QuestFlag","i32_40","RewardWindowTake","bool_60","bool_61","RewardWindowTitle","bool_78","bool_79","bool_80","bool_81","rid_82","rid_98","i32_114"
0,"TheMiller",0,2936,4833,"","","","","","","","","","",0
1,"MudBurrower",1,2929,4833,"","","","","","","","","","",100
2,"MudBurrower2",1,141,4833,"","","","","","","","","","",0
3,"TreeOfSouls",2,"",4833,"","",1,"","","","","","","",0
4,"UnaLute",6,"",4833,"","",1,"","","","","","","",0
5,"GraveyardFight",7,3129,4833,"","","","","","","","","","",0
6,"TheOutcast",8,4791,4833,"","","","","","","","","","",0
7,"TheExecutioner",9,2994,4833,"","","","","","","","","","",0
8,"TheIronCount",10,3132,4833,"","","","","","","","","","",0
9,"FindTheSuicideNote",23,"",4833,"","",1,"","","","","","","",0
10,"AscentToPower",25,4885,4833,"","","","","","","","","","",0
11,"AscentToPower2",25,"",4833,"","",1,"","","","","","","",0
12,"CaravanRescue",16,3704,4833,"","","","","","","","","","",200
13,"OpenTheDesertGates",17,4778,4833,"","","","","","","","","","",0
14,"PryTheFlameRuby",20,4568,4833,"","","","","","","","","","",400
15,"BurnTheWaterGoddess",18,4571,4833,"","","","","","","","","","",400
16,"StealTheMastodonTusks",19,4573,4833,"","","","","","","","","","",400
17,"HornOfTheVastiri",17,"",4833,"","",1,"","","","","","","",0
18,"Act4KillGoblinBeast",32,"",4833,"","",1,"","","","","","","",0
19,"Act4ScourgeSkies",33,4073,4833,"","","","","","","","","","",0
20,"Act4KillSiren",36,4125,4833,"","","","","","","","","","",0
21,"Act4KillPrisoner",37,4131,4833,"","","","","","","","","","",0
22,"Act4RescueMedicineWoman",39,"",4833,"","",1,"","","","","","","",0
23,"Act4DeliriumUnlock",40,"",4833,"","",1,"","","","","","","",0
24,"Act4DeliriumUnlockEmotions",41,"",4833,"","",1,"","","","","","","",0
25,"Act4DeliriumUnlockEmotions2",41,320,4833,"","","","","","","","","","",7500
26,"JungleDepthsLandmark",27,4869,4833,"","","","","","","","","","",0
27,"CleanseTheSnakePit",28,"",4833,"","",1,"","","","","","","",0
28,"CleanseTheSnakePit2",28,137,4833,"","","","","","","","","","",0
29,"RaidTheTreasureVault",29,4864,4833,"","","","","","","","","","",1000
30,"RaidTheTreasureVault2",29,139,4833,"","","","","","","","","","",0
31,"KillTheBogWitch",30,3778,4833,"","","","","","","","","","",0
32,"SearchForTheVaalRepository",26,"",224,"","","","","","","","","","",0
33,"FindTheSpearPiecesBoatCharter",31,"",4833,"","",1,"","","","","","","",0
34,"Act4GenericGemReward1",32,4317,4833,"","","","","","","","","","",0
35,"Act4GenericGemReward2",33,4317,4833,"","","","","","","","","","",0
36,"Act4GenericGemReward3",36,4317,4833,"","","","","","","","","","",0
37,"Act4GenericGemReward4",37,4317,4833,"","","","","","","","","","",0
38,"Act5EstatesRescueTibbsAndTullina",49,4476,4833,"","","","","","","","","","",0
39,"Act5IceCistern",47,4455,4833,"","","","","","","","","","",0
40,"Act5GladiatorArena",48,4466,4833,"","","","","","","","","","",0
41,"Act5BlightedCoreBomb",51,"",4833,"","",1,"","","","","","","",0
42,"Act5DenOfPleasure",50,4478,4833,"","","","","","","","","","",0
43,"EndgameQuestlineTier1",62,"",4833,"","",1,"","","","","","","",0
44,"EndgameQuestlineTier2",62,"",4833,"","",1,"","","","","","","",0
45,"EndgameQuestlineTier3",62,"",4833,"","",1,"","","","","","","",0
46,"EndgameQuestlineTier4",62,"",4833,"","",1,"","","","","","","",0
47,"EndgameQuestlineTier5",62,"",4833,"","",1,"","","","","","","",0
48,"EndgameQuestlineTier6",62,"",4833,"","",1,"","","","","","","",0
49,"EndgameQuestlineTier7",62,"",4833,"","",1,"","","","","","","",0
50,"EndgameQuestlineTier8",62,"",4833,"","",1,"","","","","","","",0
51,"EndgameQuestlineTier9",62,"",4833,"","",1,"","","","","","","",0
52,"EndgameQuestlineTier10",62,"",4833,"","",1,"","","","","","","",0
53,"EndgameQuestlineTier11",62,"",4833,"","",1,"","","","","","","",0
54,"EndgameQuestlineTier12",62,"",4833,"","",1,"","","","","","","",0
55,"EndgameQuestlineTier13",62,"",4833,"","",1,"","","","","","","",0
56,"EndgameQuestlineTier14",62,"",4833,"","",1,"","","","","","","",0
57,"EndgameQuestlineTier15",62,"",4833,"","",1,"","","","","","","",0
58,"EndgameUniqueMaps1",75,"",4833,"","",1,"","","","","","","",0
59,"EndgameUniqueMaps2",75,"",4833,"","",1,"","","","","","","",0
60,"EndgameUniqueMaps3",75,"",4833,"","",1,"","","","","","","",0
61,"EndgameUniqueMaps4",75,"",4833,"","",1,"","","","","","","",0
62,"EndgameUniqueMaps5",75,"",4833,"","",1,"","","","","","","",0
63,"EndgameQuestInvestigateTower",63,"",4833,"","",1,"","","","","","","",0
64,"EndgameLeagueBreach1","","",4125,"","","","","","","","","","",0
65,"EndgameLeagueBreach2","","",4833,"","",1,"","","","","","","",0
66,"EndgameLeagueDelirium1",67,"",4129,"","","","","","","","","","",0
67,"EndgameLeagueDelirium2",67,"",4833,"","",1,"","","","","","","",0
68,"EndgameLeagueRitual1",69,"",4136,"","","","","","","","","","",0
69,"EndgameLeagueRitual2",69,"",4833,"","",1,"","","","","","","",0
70,"EndgameLeagueExpedition1",71,"",4144,"","","","","","","","","","",0
71,"EndgameLeagueExpedition2",71,"",4833,"","",1,"","","","","","","",0
72,"EndgamePrecursorTower",77,"",91,"","","","","","","","","","",0
73,"EndgameBreachAtlasSkillBooks1",78,"",4833,"","",1,"","","","","","","",0
74,"EndgameBreachAtlasSkillBooks2",78,"",4833,"","",1,"","","","","","","",0
75,"EndgameBreachAtlasSkillBooks3",78,"",4833,"","",1,"","","","","","","",0
76,"EndgameBreachAtlasSkillBooks4",78,"",4833,"","",1,"","","","","","","",0
77,"EndgameRitualAtlasSkillBooks1",79,"",4833,"","",1,"","","","","","","",0
78,"EndgameRitualAtlasSkillBooks2",79,"",4833,"","",1,"","","","","","","",0
79,"EndgameRitualAtlasSkillBooks3",79,"",4833,"","",1,"","","","","","","",0
80,"EndgameRitualAtlasSkillBooks4",79,"",4833,"","",1,"","","","","","","",0
81,"EndgameExpeditionAtlasSkillBooks1",80,"",4833,"","",1,"","","","","","","",0
82,"EndgameExpeditionAtlasSkillBooks2",80,"",4833,"","",1,"","","","","","","",0
83,"EndgameExpeditionAtlasSkillBooks3",80,"",4833,"","",1,"","","","","","","",0
84,"EndgameExpeditionAtlasSkillBooks4",80,"",4833,"","",1,"","","","","","","",0
85,"EndgameDeliriumAtlasSkillBooks1",81,"",4833,"","",1,"","","","","","","",0
86,"EndgameDeliriumAtlasSkillBooks2",81,"",4833,"","",1,"","","","","","","",0
87,"EndgameDeliriumAtlasSkillBooks3",81,"",4833,"","",1,"","","","","","","",0
88,"EndgameDeliriumAtlasSkillBooks4",81,"",4833,"","",1,"","","","","","","",0
89,"EndgameMapBossAtlasSkillBooks1",82,"",4833,"","",1,"","","","","","","",0
90,"EndgameMapBossAtlasSkillBooks2",82,"",4833,"","",1,"","","","","","","",0
91,"EndgameMapBossAtlasSkillBooks3",82,"",4833,"","",1,"","","","","","","",0
92,"EndgameMapBossAtlasSkillBooks4",82,"",4833,"","",1,"","","","","","","",0
93,"EndgameMapBossAtlasSkillBooks5",82,"",4833,"","",1,"","","","","","","",0
94,"BlankRuneQuest",85,131,4833,"","","","","","","","","","",0
95,"GreaterBlankRuneQuest",86,873,4833,"","","","","","","","","","",0
96,"HallsOfTheDeadBlankTattoo1",87,"",4833,"","",1,"","","","","","","",0
97,"HallsOfTheDeadBlankTattoo2",88,"",4833,"","",1,"","","","","","","",0
98,"HallsOfTheDeadBlankTattoo3",89,"",4833,"","",1,"","","","","","","",0
99,"Act4SirenPearl",90,283,4833,"","","","","","","","","","",0
100,"Act4KaruiElder",44,"",4833,"","",1,"","","","","","","",0
101,"AbyssQuest",91,365,4833,"","","","","","","","","","",100
102,"InterludePart3YetiQuadrillaQuest",98,"",4833,"","",1,"","","","","","","",0
103,"InterludePart2DjinnRewardRing",100,5322,4833,"","","","","","","","","","",0
104,"InterludePart2DjinnRewardAmulet",101,5323,4833,"","","","","","","","","","",0
105,"InterludePart2DjinnRewardJewel",102,5324,4833,"","","","","","","","","","",0
106,"InterludePart2DjinnRewardRing2",103,5325,4833,"","","","","","","","","","",0
107,"InterludePart2DjinnRewardAmulet2",104,5326,4833,"","","","","","","","","","",0
108,"InterludePart2DjinnRewardJewel2",105,5327,4833,"","","","","","","","","","",0
109,"InterludePart2ScorpionAndWormQuest",97,"",4833,"","",1,"","","","","","","",0
110,"InterludeToEndgameConnectorQuest",95,"",4833,"","",1,"","","","","","","",0
111,"EndgameLeagueBreach",114,"",4833,"","",1,"","","","","","","",0
112,"EndgameLeagueBreachSplinters",114,"",4372,"","","","","","","","","","",0
113,"EndgameLeagueBreachTablet",114,"",4304,"","","","","","","","","","",0
114,"EndgameLeagueBreachWombgift",114,"",170,"","","","","","","","","","",0
115,"EndgameLeagueBreachPinnacleKey",114,"",4833,"","",1,"","","","","","","",0
116,"DeliriumEndgameSplinters",115,"",4332,"","","","","","","","","","",0
117,"DeliriumEndgameTablet",115,"",643,"","","","","","","","","","",0
118,"DeliriumEndgameQuestEmotions",115,"",647,"",1,"","","","","","","","",0
119,"DeliriumEndgameQuestAmulet",115,"",648,"","","","","","","","","","",0
120,"DeliriumEndgameQuestPinnacleKey",115,"",4833,"","",1,"","","","","","","",0
121,"Expedition2Act1Verisium",121,1365,4833,"","","","","","","","","","",0
122,"EndgameLeagueRitualEffigy1",116,"",4833,"","",1,"","","","","","","",0
123,"EndgameLeagueRitualEffigy2",116,"",4833,"","",1,"","","","","","","",0
124,"EndgameLeagueRitualEffigy3",116,"",4833,"","",1,"","","","","","","",0
125,"EndgameLeagueRitualEffigy4",116,"",4833,"","",1,"","","","","","","",0
126,"EndgameLeagueRitualEffigy5",116,"",4833,"","",1,"","","","","","","",0
127,"EndgameLeagueExpeditionFirstLogbook",117,"",4833,"","",1,"","","","","","","",0
128,"EndgameLeagueExpeditionSecondLogbook",117,"",4833,"","",1,"","","","","","","",0
129,"EndgameLeagueExpeditionThirdLogbook",117,"",4833,"","",1,"","","","","","","",0
130,"EndgameLeagueExpeditionFourthLogbook",117,"",4833,"","",1,"","","","","","","",0
131,"EndgameLeagueExpeditionPinnacleKeyShard",117,"",4833,"","",1,"","","","","","","",0
132,"EndgameLeagueExpeditionPinnacleKey",117,"",4833,"","",1,"","","","","","","",0
133,"EndgameLeagueRitualKingInTheMistsHead",116,"",4833,"","",1,"","","","","","","",0
134,"EndgameBurningMonolithKey1",63,"",4833,"","",1,"","","","","","","",0
135,"EndgameBurningMonolithKey2",63,"",4833,"","",1,"","","","","","","",0
136,"EndgameBurningMonolithKey3",63,"",4833,"","",1,"","","","","","","",0
137,"EndgameMothersoulEggQuest",63,"",4833,"","",1,"","","","","","","",0
138,"EndgameMothersoulEmbryoQuest",63,"",4833,"","",1,"","","","","","","",0
139,"FarrowGivenInfusedManaRune",124,5586,4833,"","","","","","","","","","",0
140,"EndgameLeagueRitualAudienceWithTheKing",116,"",4833,"","",1,"","","","","","","",0
141,"EndgameLeagueAbyssPinnacleKey",113,"",4833,"","",1,"","","","","","","",0
