"rownum","QuestFlag","i32_16","RewardStats","RewardStatsValues","QuestKey","i32_68","Message","i32_88","bool_92","Achievement"
0,2690,0,[],[],"",2,"",0,"",""
1,2691,0,[],[],"",2,"",0,"",12
2,2692,0,[],[],"",2,"",0,"",12
3,2693,0,[],[],"",2,"",0,"",12
4,2992,0,[117],[10],8,0,"",0,"",""
5,4330,0,[139],[10],"",0,"",0,"",""
6,4333,2,[],[],23,0,"",2,"",""
7,3735,0,"[117,25370]","[20,1]","",0,"",0,"",""
8,3733,0,"[141,25370]","[10,1]","",0,"",0,"",""
9,3738,2,[25370],[1],"",0,"",2,"",""
10,3741,2,[],[],6,0,"",2,"",""
11,3783,0,[3340],[25],"",0,"",0,"",""
12,4686,0,[9877],[30],"",0,"",0,"",""
13,4688,0,[124],[25],"",0,"",0,"",""
14,3785,0,"[139,25370]","[10,1]","",0,"",0,"",""
15,4066,0,[143],[10],34,0,"",0,"",""
16,3803,0,[],[],32,0,"",0,"",""
17,3699,0,"[136,145]","[-30,-30]","",0,3039,0,"",""
18,3742,0,[424],[10],"",0,"",0,"",""
19,4753,0,"[16091,25370]","[30,1]","",0,"",0,"",""
20,4755,0,"[16091,25370]","[30,1]","",0,"",0,"",""
21,3744,0,[],[],"",0,"",0,"",""
22,3746,0,[],[],"",0,"",0,"",""
23,4347,2,[25370],[1],"",0,"",2,"",""
24,4349,0,[],[],"",0,"",0,"",""
25,4351,0,[],[],"",0,"",0,"",""
26,4353,0,[564],[10],"",0,"",0,"",""
27,4682,2,[25370],[1],"",0,"",2,"",""
28,3789,0,[],[],"",0,"",0,"",""
29,3791,0,[],[],"",0,"",0,"",""
30,3793,0,[],[],"",0,"",0,"",""
31,3795,0,[],[],"",0,"",0,"",""
32,4133,0,[],[],"",0,"",0,"",""
33,4135,0,[],[],"",0,"",0,"",""
34,334,0,[118],[5],"",0,"",0,"",""
35,4291,0,[],[],"",0,"",0,"",""
36,4293,0,[],[],"",0,"",0,"",""
37,4295,0,[],[],"",0,"",0,"",""
38,4297,0,[],[],"",0,"",0,"",""
39,4299,0,[],[],"",0,"",0,"",""
40,4301,0,[],[],"",0,"",0,"",""
41,4303,0,[],[],"",0,"",0,"",""
42,1804,0,[],[],"",0,"",0,"",""
43,4528,0,[],[],"",0,"",30,"",""
44,4637,0,"[19899,15918]","[30,1]","",0,"",0,"",""
45,4638,0,"[19901,15918]","[30,1]","",0,"",0,"",""
46,4665,0,[],[],"",0,"",6,"",""
47,4831,2,[],[],"",0,"",2,"",""
48,4898,0,[143],[10],"",0,"",0,"",""
49,152,0,[390],[30],"",0,"",0,"",""
50,153,0,[391],[30],"",0,"",0,"",""
51,305,0,[570],[5],"",0,"",0,"",""
52,307,0,[567],[5],"",0,"",0,"",""
53,309,0,[564],[5],"",0,"",0,"",""
54,471,0,[143],[5],"",0,"",0,"",""
55,473,0,[141],[5],"",0,"",0,"",""
56,475,0,[139],[5],"",0,"",0,"",""
57,999,2,[],[],"",0,"",2,"",""
58,1000,2,[],[],"",0,"",2,"",""
59,1001,2,[25370],[1],"",0,"",2,"",""
60,1002,2,[25370],[1],"",0,"",2,"",""
61,1003,2,[25370],[1],"",0,"",2,"",""
62,1004,2,[],[],"",0,"",2,"",""
63,1005,0,"[16091,25370]","[40,1]","",0,"",0,"",""
64,1006,0,[564],[10],"",0,"",0,"",""
65,1007,0,[594],[5],"",0,"",0,"",""
66,1762,0,[122],[5],"",0,"",0,"",""
67,5175,0,[136],[5],"",0,"",0,"",""
68,5176,0,[172],[3],"",0,"",0,"",""
69,5177,0,[1990],[15],"",0,"",0,"",""
70,5178,0,[18279],[20],"",0,"",0,"",""
71,5179,0,[3224],[12],"",0,"",0,"",""
72,5180,0,[593],[5],"",0,"",0,"",""
73,5181,0,"[152,136,172,1990,18279,3224,3223]","[5,-5,-3,-15,-20,-12,-5]","",0,"",0,"",""
74,5356,0,[118],[5],"",0,"",0,"",""
