"rownum","Id","Class","KeystoneArt","KeystoneArtActive","Stats","StatValues","Name","Name (French)","Name (German)","Name (Japanese)","Name (Korean)","Name (Portuguese)","Name (Russian)","Name (Spanish)","Name (Thai)","Name (Traditional Chinese)","FlavourText","FlavourText (French)","FlavourText (German)","FlavourText (Japanese)","FlavourText (Korean)","FlavourText (Portuguese)","FlavourText (Russian)","FlavourText (Spanish)","FlavourText (Thai)","FlavourText (Traditional Chinese)","u16_88","i32_90"
0,"JadoKeystone1",3,"Art/2DArt/SkillIcons/passives/AtlasMasters/JadoKeystone1.dds","Art/2DArt/SkillIcons/passives/AtlasMasters/JadoKeystoneActive1.dds","[19647,12952]","[100,100]","Trove Seekers","Chasseurs de trésors","Schatzsucher","財宝を追う者","발견물 탐색자","Buscadores do Tesouro","Искатели кладов","Buscadores de tesoros","Trove Seekers","秘寶探求者","The Order hunts and secures artefacts\r\ntoo powerful for the world to handle.","L'Ordre chasse et place en sûreté les artéfacts\r\ntrop puissants pour ce monde.","Der Orden spürt Artefakte auf und sichert jene, die für die Welt zu mächtig sind.","結社は、この世界では扱いきれぬほど強力な　\r\nアーティファクトを追い、確保している。","결사단은 세상 사람들이 다루기에\r\n지나치게 강력한 유물들을 찾아 확보한다.","A ordem caça e assegura artefatos poderosos\r\ndemais para o mundo suportar.","Орден выискивает и прячет артефакты,\r\nс могуществом которых миру не совладать.","La orden busca y recupera artefactos\r\ndemasiado poderosos para el mundo.","ภาคีตามล่าและยึดครองโบราณวัตถุ\r\nที่ทรงพลังจนโลกไม่อาจต้านทานได้","教團狩獵並保護著那些對於這世界而言過於強大的神器。",60546,1
1,"JadoKeystone2",3,"Art/2DArt/SkillIcons/passives/AtlasMasters/JadoKeystone2.dds","Art/2DArt/SkillIcons/passives/AtlasMasters/JadoKeystoneActive2.dds",[26738],[1],"In The Wrong Hands","Entre de mauvaises mains","In den falschen Händen","持つべきでない者の手に","엉뚱한 자의 손","Nas Mãos Erradas","Не в тех руках","En las manos equivocadas","In The Wrong Hands","落入敵手","...there is no telling what damage\r\ncould be wrought by such relics.","… Il est impossible de connaître les ravages\r\nque pourraient engendrer de telles reliques.","… man kann nicht vorhersagen, welchen Schaden solche Relikte anrichten könnten.","......あのような遺物が、どれほどの災厄を\r\nもたらしうるか知る術はない。","...그러한 유물이 어떤 해악을\r\n끼칠지는 짐작할 수조차 없다.","Não há como prever os estragos que\r\ntais relíquias poderiam causar.","...невозможно предугадать, какой\r\nвред могут нанести подобные реликвии.","...es imposible saber el daño que\r\npodrían infligir tales reliquias.","...เราไม่มีทางรู้ว่าโบราณวัตถุเหล่านี้\r\nสร้างความเสียหายในวงกว้างถึงเพียงใด","……沒人能預料這些遺物會造成多大的破壞。",41251,1
2,"JadoKeystone3",3,"Art/2DArt/SkillIcons/passives/AtlasMasters/JadoKeystone3.dds","Art/2DArt/SkillIcons/passives/AtlasMasters/JadoKeystoneActive3.dds","[25871,25870]","[1,1]","Unexpected Missions","Missions inattendues","Unerwartete Missionen","予期せぬ任務","뜻밖의 임무","Missões Inesperadas","Неожиданные задания","Misiones inesperadas","Unexpected Missions","突發任務","We go where our duty demands.","Nous allons là où le devoir nous appelle.","Wir folgen unserer Pflicht, wohin sie uns auch führt.","我らは、義務の命ずるところに行く。","우리는 의무가 시키는 곳으로 간다.","O dever nos levará aonde for preciso.","Мы идём туда, куда требует долг.","Vamos allá donde nos reclama el deber.","เราไปในถิ่นที่หน้าที่เราต้องการ","責任所在，我等所向。",35554,1
3,"JadoKeystone4",3,"Art/2DArt/SkillIcons/passives/AtlasMasters/JadoKeystone4.dds","Art/2DArt/SkillIcons/passives/AtlasMasters/JadoKeystoneActive4.dds",[26628],[5],"Unforeseen Threats","Menaces inattendues","Unvorhergesehene Gefahren","予期せぬ脅威","예기치 못한 위협","Ameaças Imprevistas","Непредвиденные угрозы","Amenazas imprevistas","Unforeseen Threats","未知威脅","We must remain vigilant.","Nous devons rester vigilants.","Wir müssen wachsam bleiben.","警戒を怠ってはならない。","경계를 게을리해선 안 된다.","Precisamos permanecer vigilantes.","Мы должны хранить бдительность.","Debemos permanecer alerta.","เราต้องพึงระวังอยู่เสมอ","我們必須保持警惕。",60818,2
4,"JadoKeystone5",3,"Art/2DArt/SkillIcons/passives/AtlasMasters/JadoKeystone5.dds","Art/2DArt/SkillIcons/passives/AtlasMasters/JadoKeystoneActive5.dds","[26625,26626]","[1,5]","Mysterious Gifts","Mysterious Gifts","Geheimnisvolle Geschenke","謎めいた贈り物","수수께끼의 선물","Dons Misteriosos","Загадочные дары","Regalos misteriosos","Mysterious Gifts","神秘饋贈","I have no answers for you.\r\nSome things... simply exist.","I have no answers for you.\r\nSome things... simply exist.","Ich habe keine Antworten für Euch.\r\nManche Dinge ... existieren einfach.","答えなどない。\r\nただ……存在しているだけのものもある。","네게 줄 답은 없다.\r\n그저... 존재하는 것도 있는 법이다.","Não tenho respostas para você. Algumas\r\ncoisas... simplesmente existem.","У меня нет для тебя ответов.\r\nНекоторые вещи... просто существуют.","No tengo respuestas para ti.\r\nAlgunas cosas... simplemente existen.","ข้าไม่มีคำตอบให้เจ้าดอก\r\nบางสิ่ง... ก็มีตัวตนอยู่เพียงเท่านั้น","我沒有辦法回答你。\r\n有些事情……本來就存在。",21395,2
5,"JadoKeystone6",3,"Art/2DArt/SkillIcons/passives/AtlasMasters/JadoKeystone6.dds","Art/2DArt/SkillIcons/passives/AtlasMasters/JadoKeystoneActive6.dds",[26739],[10],"Eastern Knowledge","Savoir oriental","Wissen aus dem Osten","東方の知識","동방의 지식","Conhecimento Oriental","Восточные знания","Conocimiento del este","Eastern Knowledge","東方知識","The Order has had Kalguuran\r\nmembers... at times.","L'Ordre a compté des membres\r\nkalguuriens… il fut un temps.","Der Orden hatte zeitweise … Mitglieder der Kalguur.","結社には……かつてカルグール人の\r\n者もいたことがある。","결사단에는 칼구르인이 소속되어\r\n있었던... 적도 있었다.","A ordem já teve membros kalguuranos\r\nem algumas ocasiões...","Калгууранцы тоже бывали\r\nчленами Ордена... порой.","La Orden ha tenido miembros\r\nkalguranos... en el pasado.","บางทีภาคีก็มีสมาชิกชาวคาลเกอร์...\r\nในบางครั้งบางคราว","教團有時候也有過卡爾葛的\r\n成員……偶爾如此。",59365,2
6,"JadoKeystone7",3,"Art/2DArt/SkillIcons/passives/AtlasMasters/JadoKeystone7.dds","Art/2DArt/SkillIcons/passives/AtlasMasters/JadoKeystoneActive7.dds",[20102],[20],"Partial Translations","Traductions partielles","Unvollständige Übersetzungen","部分的な翻訳","부분적인 해독","Traduções Parciais","Частичный перевод","Traducciones parciales","Partial Translations","殘缺譯本","We have spent centuries deciphering\r\nPrecursor writings. We know... a little.","Nous avons passé des siècles à déchiffrer\r\nles écrits des Prédécesseurs. Nous en savons… un peu.","Wir haben Jahrhunderte damit verbracht, die Schriften der Wegbereiter zu entschlüsseln. Wir wissen … ein wenig.","我々は何世紀もかけて先人の文章を解読してきた。\r\n分かっていることは......ほんの少しだけだ。","우리는 몇 세기 동안 선조자의 문헌을 해독하느라\r\n애썼다. 우리가 아는 것은... 거의 없다.","Passamos séculos decifrando escritos\r\nPrecursores. Sabemos... um pouco.","Мы потратили столетия на расшифровку\r\nзаписей Предтеч. Мы знаем... чуть-чуть.","Hemos dedicado siglos a descifrar las escrituras\r\nde los precursores. Sabemos... un poco.","เราใช้เวลาถอดรหัสลายลักษณ์\r\nของกลุ่มชนก่อนกาลมาหลายศตวรรษ\r\nเราพอรู้... อยู่เล็กน้อย","我們花費數個世紀來解碼先行者的文字。\r\n我們已經了解了……一點點。",6537,3
7,"JadoKeystone8",3,"Art/2DArt/SkillIcons/passives/AtlasMasters/JadoKeystone8.dds","Art/2DArt/SkillIcons/passives/AtlasMasters/JadoKeystoneActive8.dds",[26624],[1],"Stolen Relics","Stolen Relics","Gestohlene Relikte","盗まれた遺物","도둑맞은 유물","Relíquias Roubadas","Украденные реликвии","Reliquias robadas","Stolen Relics","失竊遺物","Twenty years ago, the Order lost\r\nmuch. We will recover it.","Twenty years ago, the Order lost\r\nmuch. We will recover it.","Vor zwanzig Jahren hat der Orden vieles verloren.\r\nWir werden es zurückbringen.\r\n","20年前、結社はあまりに多くを失った。\r\n必ず取り戻してみせる。","20년 전, 결사단은 많은 것을 잃었다.\r\n우리가 모두 되찾을 것이다.","Há vinte anos, a ordem perdeu\r\nmuito. Vamos recuperar tudo.","Двадцать лет назад Орден\r\nмногое потерял. Мы это вернём.","Hace veinte años, la Orden\r\nperdió mucho. Lo recuperaremos.","เมื่อยี่สิบปีก่อน ภาคีสูญเสียไปมากนัก\r\nเราจะเก็บคืนมาให้ได้","二十年前，教團失去了許多東西。\r\n我們會將它們奪回。",58441,3
8,"JadoKeystone9",3,"Art/2DArt/SkillIcons/passives/AtlasMasters/JadoKeystone9.dds","Art/2DArt/SkillIcons/passives/AtlasMasters/JadoKeystoneActive9.dds",[21689],[20],"Long Days","Long Days","Lange Tage","長き日々","기나긴 나날","Dias Longos","Долгие дни","Días largos","Long Days","漫長時日","We do not have the benefit of rest.\r\nOur task is never complete.","We do not have the benefit of rest.\r\nOur task is never complete.","Wir können es uns nicht leisten, auszuruhen.\r\nUnsere Aufgabe ist niemals beendet.","我々に休む余裕はない。\r\nこの務めに終わりはない。","우리에게 휴식이라는 사치는 없다.\r\n우리의 임무는 끝이 나지 않으니.","Não temos o privilégio de descansar.\r\nNossa tarefa nunca chega ao fim.","У нас нет роскоши отдыха.\r\nНаша задача не бывает выполнена.","No podemos permitirnos descansar.\r\nNuestro trabajo nunca se completa.","เราย่อมไม่มีสิทธิ์พัก\r\nงานของเราไม่มีวันจบ","我們享受不了休息的奢侈。\r\n我們的任務永遠沒有終點。",13257,3
9,"JadoKeystone10",3,"Art/2DArt/SkillIcons/passives/AtlasMasters/JadoKeystone10.dds","Art/2DArt/SkillIcons/passives/AtlasMasters/JadoKeystoneActive10.dds",[25436],[50],"Keen Appraisal","Expertise aiguisée","Scharfsinnige Einschätzung","鋭い鑑定","예리한 감정","Avaliação Perspicaz","Внимательная оценка","Valoración minuciosa","Keen Appraisal","敏銳鑑定","As a seeker of powerful artefacts,\r\nI know how to spot master works.","En tant que chercheur d'artéfacts puissants,\r\nje sais reconnaître l'œuvre d'un maître au premier coup d'œil.","Als jemand, der nach mächtigen Artefakten sucht, weiß ich, woran man Meisterwerke erkennt.","強力なアーティファクトを追う者として\r\n真の逸品を見抜く目を持っている。","강력한 유물을 찾는 것이 업인 나는\r\n걸작을 알아보는 눈이 있다.","Como um caçador de artefatos poderosos,\r\nsei identificar obras-primas.","Будучи искателем могущественных артефактов,\r\nя знаю, как опознать шедевры.","Como buscador de artefactos poderosos,\r\nsé distinguir obras maestras.","ข้าย่อมรู้วิธีดูผลงานยอดฝีมือ\r\nในฐานะผู้แสวงหาโบราณวัตถุทรงพลังผู้หนึ่ง","作為一名強大神器的尋求者，\r\n我知道該如何辨識出大師級的作品。",22624,4
